,t,ReservoirEbrew.Q,ReservoirEbrew.W,ReservoirEbrew.z,Reservoir1w.Q,Reservoir1w.W,Reservoir1w.z,Irrigation1w.Qin,Irrigation1w.Qout,Pump1w.Qin,Pump1w.Qout,Pump1w.H,Pump1w.Ph,Pump1w.Pe,Pump1w.PumpOn,Pump1w.npu2,Pump2w.Qin,Pump2w.Qout,Pump2w.H,Pump2w.Ph,Pump2w.Pe,Pump2w.PumpOn,Pump2w.npu2,Pipe1w.Q,Pipe1w.H,Pipe1w.zlow,Pipe1w.zhigh,Pipe1w.Qp,Pipe1w.Qn,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,EBpvw.P_bal,Batw.E,Batw.P,Batw.Pch,Batw.Pdc,ReservoirEbres.Q,ReservoirEbres.W,ReservoirEbres.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Irrigation1s.Qin,Irrigation1s.Qout,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.PumpOn,Pump1s.npu2,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.PumpOn,Pump2s.npu2,Pipe1s.Q,Pipe1s.H,Pipe1s.zlow,Pipe1s.zhigh,Pipe1s.Qp,Pipe1s.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBgs.P_bal,EBpvs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,p1r0w_expanded.Q,p1c1_Qw_expanded.Q,p1ebw_expanded.P,p2r0w_expanded.Q,p2c1_Qw_expanded.Q,p2ebw_expanded.P,c1r1_Qw_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,batebw_expanded.P,p1r0s_expanded.Q,p1c1_Qs_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2c1_Qs_expanded.Q,p2ebs_expanded.P,c1r1_Qs_expanded.Q,r1i1s_expanded.Q,gridebs_expanded.P,pvebs_expanded.P,batebs_expanded.P
0,0,-4.057336064344774e-13,199999.99999999863,29.833333333333332,-0.003888888888483155,9986.00000000146,139.60892307692376,-0.0038888888888888888,0.0038888888888888888,-4.057336064344774e-13,4.057336064344774e-13,109.77558407634073,0.0,0.0,3.904841086367098e-12,0.9032053980281448,0.0,2.6020852139652106e-18,109.77558407634073,0.0,0.0,7.488015004216434e-17,0.9032053980281449,4.057336064344774e-13,109.77558407634073,29.833333333333332,139.60892307692376,0.0003086853083057682,0.0003086853079000345,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.034749999130844554,199874.90000312895,29.83312483333855,0.02308333246418285,10083.099996871058,139.65373846009436,-0.011666666666666665,0.011666666666666665,-0.03474999913084455,0.0347499991308492,109.89243457264287,37462.05527774407,46827.56909718009,1.0,0.9425655699692705,0.0,0.0,109.89243457264287,0.0,0.0,0.0,0.9041668139924541,0.034749999130849446,109.89243457264287,29.833124833338548,139.65373846009436,0.03474999913084944,0.0,0.0,0.0,-46827.56909718008,0.0,46827.56909718008,0,0,0.0,0.0,0.0,0.0,-4.057336064344774e-13,4.057336064344774e-13,0.0,0.0,2.6020852139652106e-18,0.0,4.057336064344774e-13,-0.0038888888888888888,0.0,0.0,0.0,-0.03474999913084455,0.0347499991308492,46827.56909718009,0.0,0.0,0.0,0.034749999130849446,-0.011666666666666665,-46827.56909718008,0.0,0.0
1,1,0.0,199999.9999999986,29.833333333333332,-0.00630056188611111,9963.31797721146,139.59845445102067,-0.006300561886111111,0.006300561886111111,0.0,0.0,109.76512111768734,0.0,0.0,0.0,0.903119311483358,0.0,0.0,109.76512111768734,0.0,0.0,0.0,0.9031193114833579,0.0,109.76512111768734,29.83333333333334,139.59845445102067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.054494573486730494,199678.71953857676,29.83279786589763,0.03930351895615521,10224.592665113218,139.7190427685138,-0.015191054530555555,0.015191054530555555,-0.05449457348673049,0.054494573486730376,110.06286370736187,58838.655638034565,73548.3195475432,1.0,1.0,0.0,0.0,110.06286370736187,0.0,0.0,0.0,0.9055690612749865,0.05449457348673038,110.06286370736187,29.83279786589763,139.7190427685138,0.05449457348673039,0.0,0.0,0.0,-73548.3195475432,0.0,73548.31954754319,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300561886111111,0.0,0.0,0.0,-0.05449457348673049,0.054494573486730376,73548.3195475432,0.0,0.0,0.0,0.05449457348673038,-0.015191054530555555,-73548.3195475432,0.0,0.0
2,2,0.0,199999.9999999986,29.833333333333332,-0.00489860566611111,9945.68299681346,139.5903152292985,-0.004898605666111111,0.004898605666111111,0.0,0.0,109.75698189596518,0.0,0.0,0.0,0.9030523440510545,0.0,0.0,109.75698189596518,0.0,0.0,0.0,0.9030523440510546,0.0,109.75698189596518,29.83333333333334,139.5903152292985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.05436299015339476,199483.01277402454,29.832471687956712,0.03364117447006049,10345.700893205436,139.77493887378714,-0.020721815683333332,0.020721815683333332,-0.05436299015339476,0.054362990153397905,110.11823857999075,58726.1092449277,73407.6365561596,1.0,1.0,0.0,0.0,110.11823857999075,0.0,0.0,0.0,0.9060246715483852,0.05436299015339792,110.11823857999075,29.832471687956712,139.77493887378714,0.05436299015339792,0.0,0.0,0.0,-73407.6365561596,0.0,73407.6365561596,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004898605666111111,0.0,0.0,0.0,-0.05436299015339476,0.054362990153397905,73407.6365561596,0.0,0.0,0.0,0.05436299015339792,-0.020721815683333332,-73407.6365561596,0.0,0.0
3,3,0.0,199999.9999999986,29.833333333333332,-0.005808921101666666,9924.770880847462,139.58066348346807,-0.005808921101666666,0.005808921101666666,0.0,0.0,109.74733015013472,0.0,0.0,0.0,0.9029729319576658,0.0,0.0,109.74733015013472,0.0,0.0,0.0,0.9029729319576656,0.0,109.74733015013472,29.83333333333334,139.58066348346807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,199483.01277402457,29.832471687956712,-0.03618098538444444,10215.449345821435,139.7148227749945,-0.03618098538444444,0.03618098538444444,0.0,0.0,109.882348830678,0.0,0.0,0.0,0.9040838310899947,0.0,0.0,109.882348830678,0.0,0.0,0.0,0.9040838310899948,0.0,109.882348830678,29.832471687956712,139.7148227749945,5.14419609103126e-06,5.14419609103126e-06,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005808921101666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,199999.9999999986,29.833333333333332,-0.006556711727222934,9901.166718629458,139.56976925475206,-0.006556711727222222,0.006556711727222222,0.0,0.0,109.73643059529208,0.0,0.0,0.0,0.902883253211223,0.0,2.6020852139652106e-18,109.73643059529208,0.0,0.0,0.0,0.9028832532112231,0.0,109.73643059529208,29.83333333333334,139.56976925475206,0.0002992509176620679,0.0002992509176620679,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,199483.01277402457,29.832471687956712,-0.03261269932666667,10098.043628245434,139.66063552072865,-0.03261269932666667,0.03261269932666667,0.0,0.0,109.82816246505662,2.250902771088095e-11,2.8136284638601188e-11,0.0,0.9036379995479397,0.0,0.0,109.82816246505662,0.0,0.0,0.0,0.9036379995479398,0.0,109.82816246505662,29.832471687956712,139.66063552072865,2.3613483699428084e-06,2.3613483699428084e-06,0.0,0.0,-2.8136284638601188e-11,0.0,2.8136284638601188e-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6020852139652106e-18,0.0,0.0,-0.006556711727222222,0.0,0.0,0.0,0.0,0.0,2.8136284638601188e-11,0.0,0.0,0.0,0.0,-0.03261269932666667,-2.8136284638601188e-11,0.0,0.0
5,5,0.0,199999.9999999986,29.833333333333332,-0.007012048015,9875.923345775458,139.55811846728102,-0.007012048015,0.007012048015,0.0,0.0,109.7247798053941,0.0,0.0,0.0,0.9027873934950967,0.0,6.071532165918825e-18,109.7247798053941,0.0,0.0,0.0,0.9027873934950971,0.0,109.7247798053941,29.83333333333334,139.55811846728102,0.00029931908830329077,0.00029931908830329077,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,199483.01277402457,29.832471687956712,-0.07031697765555554,9844.902508685436,139.5438011578548,-0.07031697765555554,0.07031697765555554,0.0,0.0,109.71132635514014,0.0,0.0,0.0,0.9026767019511279,0.0,0.0,109.71132635514014,0.0,0.0,0.0,0.9026767019511283,0.0,109.71132635514014,29.832471687956712,139.5438011578548,0.00022884511247177593,0.00022884511247177593,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.071532165918825e-18,0.0,0.0,-0.007012048015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199999.9999999986,29.833333333333332,-0.006066417089444444,9854.084244253458,139.54803888196315,-0.006066417089444444,0.006066417089444444,0.0,0.0,109.71470554862981,0.0,0.0,0.0,0.9027045050899276,0.0,0.0,109.71470554862981,0.0,0.0,0.0,0.9027045050899275,0.0,109.71470554862981,29.83333333333334,139.54803888196315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,199483.01277402457,29.832471687956712,-0.09616290988888868,9498.716033085435,139.38402278450098,-0.09616290988888887,0.09616290988888887,0.0,0.0,109.55154419176763,1.5744991639824744e-10,1.968123954978093e-10,0.0,0.9013620552227053,0.0,0.0,109.55154419176763,0.0,0.0,0.0,0.9013620552227053,0.0,109.55154419176763,29.832471687956712,139.38402278450098,0.00017036249624409063,0.00017036249624409063,0.07357298277434086,0.0,-1.968123954978093e-10,0.0,1.968123954978093e-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006066417089444444,0.0,0.0,0.0,0.0,0.0,1.968123954978093e-10,0.0,0.0,0.0,0.0,-0.09616290988888887,-1.968123954978093e-10,0.0,0.0
7,7,0.0,199999.9999999986,29.833333333333332,-0.005193655942222221,9835.387082861458,139.53940942285914,-0.005193655942222221,0.005193655942222221,0.0,0.0,109.70607075712105,0.0,0.0,0.0,0.9026334602363094,0.0,0.0,109.70607075712105,0.0,0.0,3.7440075021082174e-16,0.9026334602363094,0.0,109.70607075712105,29.83333333333334,139.53940942285914,0.0002994272353537766,0.00029942723535377657,0.07477177315670108,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.04385593587359913,199325.13140487965,29.832208552341466,-0.021754905304178656,9420.398373990394,139.34787617261097,-0.06561084117777777,0.06561084117777777,0.0,0.0,109.63006036172447,0.0,0.0,0.0,0.9020080661652496,-0.04385593587359913,0.04385593587359912,109.63006036172447,47165.75256304361,58957.1907038045,1.0,0.9631670017130136,0.043855935873599115,109.63006036172447,29.832208552341466,139.34787617261097,0.04385593587359911,0.0,0.27945187048193765,-58957.1907038045,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005193655942222221,0.0,0.0,0.0,0.0,0.0,0.0,-0.043855935873599115,0.04385593587359912,58957.1907038045,0.043855935873599115,-0.06561084117777777,0.0,-58957.1907038045,0.0
8,8,-0.035935973383834786,199870.6304958168,29.833117717493028,0.03375260017239036,9956.896443482065,139.5954906662225,-0.002183373211444444,0.002183373211444444,0.0,0.0,109.83917990916015,0.0,0.0,0.0,0.9037286482570357,-0.035935973383834786,0.03593597338383479,109.83917990916015,38721.81466649182,48402.26833311477,1.0,0.9447931557327994,0.0359359733838348,109.83917990916015,29.833117717493035,139.5954906662225,0.0359359733838348,0.0,0.2358591708815945,-48402.268333114764,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.05532995668787938,199125.94356080328,29.83187657260134,0.006143511960100806,9442.515017046757,139.35808385402157,-0.04918644472777778,0.04918644472777778,0.0,0.0,109.70828732340254,0.0,0.0,0.0,0.9026516975761274,-0.05532995668787857,0.05532995668787858,109.70828732340254,59548.218591072124,74435.27323884015,1.0,1.0,0.05532995668787857,109.70828732340254,29.83187657260134,139.35808385402157,0.05532995668787857,0.0,0.4971078908988494,-74435.27323884013,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035935973383834786,0.03593597338383479,48402.26833311477,0.0359359733838348,-0.002183373211444444,0.0,-48402.268333114764,0.0,0.0,0.0,0.0,-0.055329956687879385,0.05532995668787858,74435.27323884015,0.05532995668787857,-0.04918644472777778,0.0,-74435.27323884013,0.0
9,9,0.0,199870.6304958168,29.833117717493028,-0.018940665461666666,9888.710047820065,139.56402002207082,-0.018940665461666666,0.018940665461666666,0.0,0.0,109.73089920877852,0.0,0.0,0.0,0.9028377423792867,0.0,0.0,109.73089920877852,0.0,0.0,0.0,0.9028377423792867,0.0,109.73089920877852,29.833117717493035,139.56402002207082,0.0002281475873046159,0.0002281475873046159,0.3846877203897489,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.05528795424610741,198926.9069255173,29.831544844875864,0.010797890757207797,9481.387423772703,139.37602496481819,-0.044490063488888884,0.044490063488888884,0.0,0.0,109.72628381689472,0.0,0.0,0.0,0.9027997681166258,-0.05528795424609667,0.055287954246096664,109.72628381689472,59512.72873094368,74390.9109136796,1.0,1.0,0.05528795424609667,109.72628381689472,29.831544844875868,139.37602496481819,0.05528795424609667,0.0,0.6902159686444646,-74390.9109136796,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018940665461666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.05528795424610741,0.055287954246096664,74390.9109136796,0.05528795424609667,-0.044490063488888884,0.0,-74390.9109136796,0.0
