,t,ReservoirEbrew.Q,ReservoirEbrew.W,ReservoirEbrew.z,Reservoir1w.Q,Reservoir1w.W,Reservoir1w.z,Irrigation1w.Qin,Irrigation1w.Qout,Pump1w.Qin,Pump1w.Qout,Pump1w.H,Pump1w.Ph,Pump1w.Pe,Pump1w.PumpOn,Pump1w.npu2,Pump2w.Qin,Pump2w.Qout,Pump2w.H,Pump2w.Ph,Pump2w.Pe,Pump2w.PumpOn,Pump2w.npu2,Turb1w.Qin,Turb1w.Qout,Turb1w.H,Turb1w.Ph,Turb1w.Pe,Pipe1w.Q,Pipe1w.H,Pipe1w.zlow,Pipe1w.zhigh,Pipe1w.Qp,Pipe1w.Qn,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,EBpvw.P_bal,Batw.E,Batw.P,Batw.Pch,Batw.Pdc,ReservoirEbres.Q,ReservoirEbres.W,ReservoirEbres.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Irrigation1s.Qin,Irrigation1s.Qout,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.PumpOn,Pump1s.npu2,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.PumpOn,Pump2s.npu2,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe1s.Q,Pipe1s.H,Pipe1s.zlow,Pipe1s.zhigh,Pipe1s.Qp,Pipe1s.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBgs.P_bal,EBpvs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,p1r0w_expanded.Q,p1c1_Qw_expanded.Q,p1ebw_expanded.P,p2r0w_expanded.Q,p2c1_Qw_expanded.Q,p2ebw_expanded.P,t1r0w_expanded.Q,t1c1_Qw_expanded.Q,t1ebw_expanded.P,c1r1_Qw_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,batebw_expanded.P,p1r0s_expanded.Q,p1c1_Qs_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2c1_Qs_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1c1_Qs_expanded.Q,t1ebs_expanded.P,c1r1_Qs_expanded.Q,r1i1s_expanded.Q,gridebs_expanded.P,pvebs_expanded.P,batebs_expanded.P
0,0,1.9992073419015824e-14,200000.00000000006,29.833333333333336,-0.0038888888888888883,9986.0,139.60892307692308,-0.0038888888888888888,0.0038888888888888888,0.0,0.0,109.77558974358978,0.0,0.0,0.0,0.9032054446568188,0.0,0.0,109.77558974358978,0.0,0.0,0.0,0.9032054446568188,0.0,0.0,109.77558974358978,0.0,0.0,0.0,109.77558974358978,29.833333333333336,139.60892307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,200000.00000000003,29.833333333333336,-0.011666666666666665,9957.999999999998,139.596,-0.011666666666666665,0.011666666666666665,0.0,0.0,109.76266420135661,0.0,0.0,0.0,0.9030990966048759,0.0,0.0,109.76266420135661,0.0,0.0,0.0,0.9030990966048758,0.0,0.0,109.76266420135661,0.0,0.0,0.0,109.76266420135661,29.833333333333336,139.596,0.00020359409738071886,0.00020359409738071886,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011666666666666665,0.0,0.0,0.0
1,1,0.0,200000.00000000003,29.833333333333336,-0.006300561886111111,9963.317977210001,139.59845445102002,-0.006300561886111111,0.006300561886111111,0.0,0.0,109.76512111768666,0.0,0.0,0.0,0.9031193114833524,0.0,0.0,109.76512111768666,0.0,0.0,0.0,0.9031193114833523,0.0,0.0,109.76512111768666,0.0,0.0,0.0,109.76512111768666,29.83333333333334,139.59845445102002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.05462938661273805,199803.33420819417,29.83300555701366,0.03943833208216904,10099.977995495807,139.66152830561347,-0.015191054530555555,0.015191054530555555,-0.05462938661272027,0.05462938661272384,110.00602059238037,58953.79761147687,73692.2470143461,1.0,1.0,0.0,0.0,110.00602059238037,0.0,0.0,0.0,0.9051013706794501,0.0,0.0,110.00602059238037,0.0,0.0,0.05462938661272384,110.00602059238037,29.83300555701366,139.66152830561347,0.05462938661272386,0.0,0.0,0.0,-73692.24701434608,0.0,73692.24701434608,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300561886111111,0.0,0.0,0.0,-0.05462938661272027,0.05462938661272384,73692.2470143461,0.0,0.0,0.0,0.0,0.0,0.0,0.05462938661272384,-0.015191054530555555,-73692.24701434608,0.0,0.0
2,2,0.0,200000.00000000006,29.83333333333333,-0.004898605666111111,9945.682996811998,139.59031522929786,-0.004898605666111111,0.004898605666111111,0.0,0.0,109.75698189596453,0.0,0.0,0.0,0.9030523440510492,0.0,0.0,109.75698189596453,0.0,0.0,0.0,0.9030523440510495,0.0,0.0,109.75698189596453,0.0,0.0,0.0,109.75698189596453,29.83333333333333,139.59031522929786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.054497582695320866,199607.14291049098,29.832678571517487,0.033775767012000676,10221.570756739009,139.71764804157186,-0.020721815683333332,0.020721815683333332,-0.05449758269532085,0.05449758269533402,110.06161185142916,58841.28049309237,73551.60061636547,1.0,1.0,0.0,0.0,110.06161185142916,0.0,0.0,0.0,0.9055587613249068,0.0,0.0,110.06161185142916,0.0,0.0,0.05449758269533402,110.06161185142916,29.832678571517487,139.71764804157186,0.05449758269533402,0.0,0.0,0.0,-73551.60061636547,0.0,73551.60061636547,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004898605666111111,0.0,0.0,0.0,-0.05449758269532085,0.05449758269533402,73551.60061636547,0.0,0.0,0.0,0.0,0.0,0.0,0.05449758269533402,-0.020721815683333332,-73551.60061636547,0.0,0.0
3,3,0.0,200000.00000000006,29.83333333333333,-0.005808921101666668,9924.770880846,139.5806634834674,-0.005808921101666666,0.005808921101666666,0.0,0.0,109.74733015013405,0.0,0.0,0.0,0.9029729319576604,0.0,0.0,109.74733015013405,0.0,0.0,0.0,0.9029729319576605,0.0,0.0,109.74733015013405,0.0,0.0,0.0,109.74733015013405,29.83333333333333,139.5806634834674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.03474999999999999,199482.04291049097,29.832470071517488,-0.0014309853844444527,10216.41920935501,139.71527040431772,-0.03618098538444444,0.03618098538444444,-0.03474999999999999,0.03474999999999999,109.95462132005025,37483.25552145182,46854.06940181479,1.0,0.9430772492187777,0.0,0.0,109.95462132005025,0.0,0.0,0.0,0.9046784706273674,0.0,0.0,109.95462132005025,0.0,0.0,0.03474999999999999,109.95462132005025,29.832470071517488,139.71527040431772,0.03474999999999999,0.0,0.0,0.0,-46854.06940181479,0.0,46854.06940181478,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005808921101666666,0.0,0.0,0.0,-0.03474999999999999,0.03474999999999999,46854.06940181479,0.0,0.0,0.0,0.0,0.0,0.0,0.03474999999999999,-0.03618098538444444,-46854.06940181479,0.0,0.0
4,4,0.0,200000.00000000003,29.833333333333332,-0.006556711727222223,9901.166718628,139.56976925475138,-0.006556711727222222,0.006556711727222222,0.0,0.0,109.73643592141804,0.0,0.0,0.0,0.9028832970332239,0.0,0.0,109.73643592141804,0.0,0.0,0.0,0.9028832970332238,0.0,0.0,109.73643592141804,0.0,0.0,0.0,109.73643592141804,29.83333333333334,139.56976925475138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,199482.04291049097,29.832470071517488,-0.03261269932666667,10099.01349177901,139.66108315005184,-0.03261269932666667,0.03261269932666667,0.0,0.0,109.82861307853437,0.0,0.0,0.0,0.9036417070802566,0.0,0.0,109.82861307853437,0.0,0.0,0.0,0.9036417070802565,0.0,0.0,109.82861307853437,0.0,0.0,0.0,109.82861307853437,29.832470071517488,139.66108315005184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006556711727222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,200000.00000000003,29.833333333333332,-0.007012048014999071,9875.923345774001,139.55811846728034,-0.007012048015,0.007012048015,0.0,0.0,109.724785133947,0.0,0.0,0.0,0.9027874373370658,0.0,0.0,109.724785133947,0.0,0.0,0.0,0.902787437337066,0.0,0.0,109.724785133947,0.0,0.0,0.0,109.724785133947,29.833333333333336,139.55811846728034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,199482.04291049097,29.832470071517488,-0.070316977655556,9845.872372219008,139.544248787178,-0.07031697765555554,0.07031697765555554,0.0,0.0,109.71177871566053,0.0,0.0,0.0,0.9026804238576643,0.0,0.0,109.71177871566053,0.0,0.0,0.0,0.9026804238576643,0.0,0.0,109.71177871566053,0.0,0.0,0.0,109.71177871566053,29.832470071517488,139.544248787178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007012048015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,200000.00000000003,29.833333333333332,-0.006066417089444444,9854.084244252002,139.54803888196247,-0.006066417089444444,0.006066417089444444,0.0,0.0,109.71470554862914,0.0,0.0,0.0,0.9027045050899222,0.0,0.0,109.71470554862914,0.0,0.0,0.0,0.9027045050899222,0.0,0.0,109.71470554862914,0.0,0.0,0.0,109.71470554862914,29.833333333333336,139.54803888196247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,199482.04291049097,29.832470071517484,-0.09616290988888886,9499.685896619008,139.38447041382415,-0.09616290988888887,0.09616290988888887,0.0,0.0,109.55199781297027,0.0,0.0,0.0,0.9013657875018123,0.0,0.0,109.55199781297027,0.0,0.0,0.0,0.9013657875018123,0.0,0.0,109.55199781297027,0.0,0.0,0.0,109.55199781297027,29.83247007151749,139.38447041382415,0.0002062209187621943,0.0002062209187621943,0.07357298277434086,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006066417089444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09616290988888887,0.0,0.0,0.0
7,7,0.0,200000.00000000003,29.833333333333332,-0.005193655942222221,9835.387082860003,139.53940942285848,-0.005193655942222221,0.005193655942222221,0.0,0.0,109.70607608952514,0.0,0.0,0.0,0.902633504109965,0.0,0.0,109.70607608952514,0.0,0.0,0.0,0.9026335041099649,0.0,0.0,109.70607608952514,0.0,0.0,0.0,109.70607608952514,29.833333333333336,139.53940942285848,0.0,0.0,0.07477177315670108,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.1368683772161603e-13,0.0,-0.04385572918630986,199324.16228542026,29.832206937142367,-0.021755111991457916,9421.36749344976,139.3483234585153,-0.06561084117777777,0.06561084117777777,0.0,0.0,109.63050819755541,0.0,0.0,0.0,0.9020117508437996,-0.04385572918631986,0.04385572918631986,109.63050819755541,47165.752563043614,58957.19070380451,1.0,0.9631706772003796,0.0,0.0,109.63050819755541,0.0,0.0,0.04385572918631986,109.63050819755541,29.832206937142367,139.3483234585153,0.043855729186319865,0.0,0.27945187048193765,-58957.19070380451,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005193655942222221,0.0,0.0,0.0,0.0,0.0,0.0,-0.04385572918631986,0.04385572918631986,58957.19070380451,0.0,0.0,0.0,0.04385572918631986,-0.06561084117777777,0.0,-58957.19070380451,0.0
8,8,-0.03694216579075861,199867.00820315327,29.833111680338593,0.03475879257931416,9960.518736145534,139.59716249360565,-0.002183373211444444,0.002183373211444444,0.0,0.0,109.8452191148853,0.0,0.0,0.0,0.9037783372954195,-0.03694216579075861,0.03694216579075861,109.8452191148853,39808.1976489935,49760.24706124188,1.0,0.9471745005631531,0.0,0.0,109.8452191148853,0.0,0.0,0.03694216579075861,109.8452191148853,29.833111680338593,139.59716249360565,0.0369421657907586,0.0,0.2358591708815945,-49760.24706124186,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.05532907070353994,199124.9776308875,29.831874962718143,0.006142625975758579,9443.48094696249,139.35852966782883,-0.04918644472777778,0.04918644472777778,0.0,0.0,109.70872893879115,0.0,0.0,0.0,0.9026553310744707,-0.055329070703539936,0.055329070703536355,109.70872893879115,59547.50535546621,74434.38169433277,1.0,1.0,0.0,0.0,109.70872893879115,0.0,0.0,0.05532907070353636,109.70872893879115,29.831874962718146,139.35852966782883,0.05532907070353636,0.0,0.4971078908988494,-74434.38169433275,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03694216579075861,0.03694216579075861,49760.24706124188,0.0,0.0,0.0,0.03694216579075861,-0.002183373211444444,0.0,-49760.24706124186,0.0,0.0,0.0,0.0,-0.055329070703539936,0.055329070703536355,74434.38169433277,0.0,0.0,0.0,0.05532907070353636,-0.04918644472777778,0.0,-74434.38169433275,0.0
9,9,-0.05464069281805975,199670.30170900826,29.83278383618168,0.03570002735639307,10089.03883462855,139.65647946213628,-0.018940665461666666,0.018940665461666666,0.0,0.0,110.00126748746821,0.0,0.0,0.0,0.9050622633492529,-0.054640692818059756,0.05464069281805976,110.00126748746821,58963.45219964385,73704.31524955481,1.0,1.0,0.0,0.0,110.00126748746821,0.0,0.0,0.05464069281805975,110.00126748746821,29.83278383618168,139.65647946213628,0.05464069281805975,0.0,0.3846877203897489,-73704.31524955481,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.05528694471159391,198925.94462992577,29.83154324104988,0.01079688122269648,9482.3497193642,139.37646910124502,-0.044490063488888884,0.044490063488888884,0.0,0.0,109.72672294837804,0.0,0.0,0.0,0.902803381178032,-0.055286944711593906,0.05528694471158536,109.72672294837804,59511.926857293896,74389.90857161736,1.0,1.0,0.0,0.0,109.72672294837804,0.0,0.0,0.05528694471158536,109.72672294837804,29.831543241049886,139.37646910124502,0.05528694471158536,0.0,0.6902159686444646,-74389.90857161736,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054640692818059756,0.05464069281805976,73704.31524955481,0.0,0.0,0.0,0.05464069281805975,-0.018940665461666666,0.0,-73704.31524955481,0.0,0.0,0.0,0.0,-0.055286944711593906,0.05528694471158536,74389.90857161736,0.0,0.0,0.0,0.05528694471158536,-0.044490063488888884,0.0,-74389.90857161736,0.0
