,t,ReservoirEbrew.Q,ReservoirEbrew.W,ReservoirEbrew.z,Reservoir1w.Q,Reservoir1w.W,Reservoir1w.z,Irrigation1w.Qin,Irrigation1w.Qout,Pump1w.Qin,Pump1w.Qout,Pump1w.H,Pump1w.Ph,Pump1w.Pe,Pump1w.PumpOn,Pump1w.npu2,Pump2w.Qin,Pump2w.Qout,Pump2w.H,Pump2w.Ph,Pump2w.Pe,Pump2w.PumpOn,Pump2w.npu2,Pipe1w.Q,Pipe1w.H,Pipe1w.zlow,Pipe1w.zhigh,Pipe1w.Qp,Pipe1w.Qn,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,Batw.E,Batw.P,Batw.Pch,Batw.Pdc,ReservoirEbres.Q,ReservoirEbres.W,ReservoirEbres.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Irrigation1s.Qin,Irrigation1s.Qout,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.PumpOn,Pump1s.npu2,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.PumpOn,Pump2s.npu2,Pipe1s.Q,Pipe1s.H,Pipe1s.zlow,Pipe1s.zhigh,Pipe1s.Qp,Pipe1s.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBgs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,p1r0w_expanded.Q,p1c1_Qw_expanded.Q,p1ebw_expanded.P,p2r0w_expanded.Q,p2c1_Qw_expanded.Q,p2ebw_expanded.P,c1r1_Qw_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,batebw_expanded.P,p1r0s_expanded.Q,p1c1_Qs_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2c1_Qs_expanded.Q,p2ebs_expanded.P,c1r1_Qs_expanded.Q,r1i1s_expanded.Q,gridebs_expanded.P,pvebs_expanded.P,batebs_expanded.P
0,0,0.0,200000.0,29.833333333333332,-0.0038888888889598468,9985.999999999744,139.60892307692296,-0.0038888888888888888,0.0038888888888888888,0.0,0.0,109.77558974358963,0.0,0.0,0.0,0.9032050842043851,0.0,0.0,109.77558974358963,0.0,0.0,0.0,0.9032050842043851,0.0,109.77558974358963,29.833333333333336,139.60892307692296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,199999.99999999994,29.833333333333332,-0.011666666666667342,9957.999999999998,139.596,-0.011666666666666665,0.011666666666666665,0.0,0.0,109.76266666666668,0.0,0.0,0.0,0.9030991168888155,0.0,0.0,109.76266666666668,0.0,0.0,0.0,0.9030991168888155,0.0,109.76266666666668,29.833333333333336,139.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011666666666666665,0.0,0.0,0.0
1,1,0.0,199999.99999999997,29.833333333333332,-0.006300561886111112,9963.317977209746,139.59845445101988,-0.006300561886111111,0.006300561886111111,0.0,0.0,109.76512111768652,0.0,0.0,0.0,0.9031193114833512,0.0,0.0,109.76512111768652,0.0,0.0,0.0,0.9031193114833512,0.0,109.76512111768652,29.833333333333336,139.59845445101988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,199999.99999999994,29.833333333333332,-0.015191054530555557,9903.312203689999,139.57075947862614,-0.015191054530555555,0.015191054530555555,0.0,0.0,109.73742614529283,0.0,0.0,0.0,0.9028914443417213,0.0,0.0,109.73742614529283,0.0,0.0,0.0,0.9028914443417213,0.0,109.73742614529283,29.833333333333336,139.57075947862614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300561886111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,0.0,199999.99999999994,29.833333333333332,-0.004898605666111111,9945.682996811747,139.59031522929772,-0.004898605666111111,0.004898605666111111,0.0,0.0,109.7569818959644,0.0,0.0,0.0,0.9030523440510482,0.0,0.0,109.7569818959644,0.0,0.0,0.0,0.9030523440510482,0.0,109.7569818959644,29.833333333333336,139.59031522929772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.03475000000000002,199874.89999999997,29.83312483333333,0.014028184316666685,9953.813667229999,139.59406784641382,-0.020721815683333332,0.020721815683333332,-0.03475000000000002,0.03475000000000001,109.83276400033051,37441.71466580269,46802.143332253356,1.0,0.9420746383933725,0.0,0.0,109.83276400033051,0.0,0.0,0.0,0.9036758598019623,0.03475000000000002,109.83276400033051,29.83312483333333,139.59406784641382,0.034750000000000024,0.0,0.0,0.0,-46802.143332253356,0.0,46802.14333225335,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004898605666111111,0.0,0.0,0.0,-0.03475000000000002,0.03475000000000001,46802.143332253356,0.0,0.0,0.0,0.03475000000000002,-0.020721815683333332,-46802.143332253356,0.0,0.0
3,3,0.0,199999.9999999999,29.833333333333332,-0.005808921101666668,9924.770880845748,139.58066348346728,-0.005808921101666666,0.005808921101666666,0.0,0.0,109.74733015013393,0.0,0.0,0.0,0.9029729319576594,0.0,0.0,109.74733015013393,0.0,0.0,0.0,0.9029729319576594,0.0,109.74733015013393,29.833333333333336,139.58066348346728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,199874.8999999999,29.83312483333333,-0.036180985384412896,9823.562119846114,139.53395174762127,-0.03618098538444444,0.03618098538444444,0.0,0.0,109.70082691428796,0.0,0.0,0.0,0.902590315240151,0.0,0.0,109.70082691428796,0.0,0.0,0.0,0.902590315240151,0.0,109.70082691428796,29.83312483333333,139.53395174762127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005808921101666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,199999.99999999985,29.833333333333332,-0.006556711727222223,9901.16671862775,139.56976925475126,-0.006556711727222222,0.006556711727222222,0.0,0.0,109.73643592141794,0.0,0.0,0.0,0.9028831215700438,0.0,0.0,109.73643592141794,0.0,0.0,0.0,0.9028831215700438,0.0,109.73643592141794,29.833333333333336,139.56976925475126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,199874.89999999988,29.83312483333333,-0.032612699326666675,9706.156402270113,139.47976449335545,-0.03261269932666667,0.03261269932666667,0.0,0.0,109.64663966002212,0.0,0.0,0.0,0.9021444763865568,0.0,0.0,109.64663966002212,0.0,0.0,0.0,0.9021444763865568,0.0,109.64663966002212,29.83312483333333,139.47976449335545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006556711727222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,199999.9999999998,29.833333333333332,-0.007012048015000001,9875.92334577375,139.5581184672802,-0.007012048015,0.007012048015,0.0,0.0,109.72478513394688,0.0,0.0,0.0,0.9027870750997624,0.0,0.0,109.72478513394688,0.0,0.0,0.0,0.9027874373370649,0.0,109.72478513394688,29.833333333333336,139.5581184672802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,199874.89999999985,29.83312483333333,-0.07031697765555554,9453.015282710114,139.3629301304816,-0.07031697765555554,0.07031697765555554,0.0,0.0,109.52980529714831,0.0,0.0,0.0,0.9011831931639649,0.0,0.0,109.52980529714831,0.0,0.0,0.0,0.9011831931639649,0.0,109.52980529714831,29.83312483333333,139.3629301304816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007012048015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,-1.3994451393311074e-13,199999.9999999993,29.833333333333332,-0.0060664170893045015,9854.084244252255,139.54803888196258,-0.006066417089444444,0.006066417089444444,0.0,0.0,109.71470554862924,0.0,0.0,0.0,0.9027041428473639,0.0,1.399445139331107e-13,109.71470554862924,3.3043627962392096e-08,4.182737716758493e-08,0.0,0.902704505089923,0.0,109.71470554862924,29.833333333333336,139.54803888196258,0.0,0.0,0.0,0.0,-4.1827377167584925e-08,0.0,4.1827377167584925e-08,0,0.0,0.0,0.0,0.0,0.0,199874.89999999982,29.83312483333333,-0.09616290988888876,9106.828807110116,139.20315175712778,-0.09616290988888887,0.09616290988888887,0.0,0.0,109.37002692379446,0.0,0.0,0.0,0.8998685776188451,0.0,0.0,109.37002692379446,0.0,0.0,0.0,0.8998685776188451,0.0,109.37002692379446,29.83312483333333,139.20315175712778,0.00019121748008476262,0.00019121748008476264,0.07357298277434086,-15522.0158970269,15522.0158970269,15522.015897026899,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399445139331107e-13,4.182737716758493e-08,0.0,-0.006066417089444444,-4.1827377167584925e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09616290988888887,15522.0158970269,-15522.0158970269,0.0
7,7,0.0,199999.99999999933,29.833333333333332,-0.005193655942222222,9835.387082860256,139.53940942285857,-0.005193655942222221,0.005193655942222221,0.0,0.0,109.70607608952523,0.0,0.0,0.0,0.9026335041099655,0.0,0.0,109.70607608952523,0.0,0.0,0.0,0.9026335041099655,0.0,109.70607608952523,29.833333333333336,139.53940942285857,0.0,0.0,0.07477177315670108,-15774.929978671114,15774.929978671114,15774.929978671113,0.0,0,0.0,0.0,0.0,0.0,-0.03593617253608256,199745.52977886994,29.832909216298116,-0.02967466864169521,9000.000000000013,139.15384615384616,-0.06561084117777777,0.06561084117777777,-0.035936172536082556,0.035936172536082556,109.39774474715142,38566.3503907409,48207.93798842613,1.0,0.9411615063095702,0.0,0.0,109.39774474715142,0.0,0.0,0.0,0.9000966327723497,0.035936172536082556,109.39774474715142,29.83290921629812,139.15384615384616,0.03593617253608257,0.0,0.27945187048193765,-58957.19070380451,10749.25271537839,10749.25271537839,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005193655942222221,15774.929978671114,-15774.929978671114,0.0,-0.035936172536082556,0.035936172536082556,48207.93798842613,0.0,0.0,0.0,0.035936172536082556,-0.06561084117777777,10749.25271537839,-58957.19070380451,0.0
8,8,0.0,199999.99999999936,29.833333333333332,-0.0021833732114444446,9827.526939299058,139.53578166429187,-0.002183373211444444,0.002183373211444444,0.0,0.0,109.70244833095853,0.0,0.0,0.0,0.9026036558413569,0.0,0.0,109.70244833095853,0.0,0.0,0.0,0.9026036558413569,0.0,109.70244833095853,29.833333333333336,139.53578166429187,0.0,0.0,0.2358591708815945,-49760.24706124187,49760.24706124187,49760.24706124188,0.0,0,0.0,0.0,0.0,0.0,-0.049186444727777785,199568.45857784996,29.83261409762975,0.0,9000.000000000013,139.15384615384616,-0.04918644472777778,0.04918644472777778,-0.04918644472777778,0.04918644472777777,109.46512189530816,52819.00358465105,66023.75448081382,1.0,0.9775838142377005,0.0,0.0,109.46512189530816,0.0,0.0,0.0,0.9006509946956405,0.04918644472777778,109.46512189530816,29.83261409762975,139.15384615384616,0.049186444727777785,0.0,0.4971078908988494,-104877.03901765021,38853.28453683641,38853.28453683641,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002183373211444444,49760.24706124187,-49760.24706124187,0.0,-0.04918644472777778,0.04918644472777777,66023.75448081382,0.0,0.0,0.0,0.04918644472777778,-0.04918644472777778,38853.28453683641,-104877.03901765021,0.0
9,9,0.0,199999.99999999942,29.833333333333332,-0.018940665461644694,9759.340543637136,139.50431102014022,-0.018940665461666666,0.018940665461666666,0.0,0.0,109.67097587326512,0.0,0.0,0.0,0.9023447085178962,0.0,0.0,109.67097587326512,0.0,0.0,0.0,0.9023447085178963,0.0,109.67097587326512,29.833333333333336,139.50431102014022,2.540999436676497e-08,2.540999436676497e-08,0.3846877203897489,-81159.26099659504,81159.26099659504,81159.26099659503,0.0,0,0.0,0.0,0.0,0.0,-0.07908666367474593,199283.74658862088,29.832139577647705,0.03459660018585689,9124.547760669098,139.21132973569345,-0.044490063488888884,0.044490063488888884,-0.04433666367474592,0.04433666367474591,109.75119471730187,47735.3734511363,59669.216813920364,1.0,0.965512470671914,-0.03474999999999999,0.034749999999999996,109.75119471730187,37413.90790114142,47359.37709005243,1.0,0.941403507218215,0.0790866636747459,109.75119471730187,29.832139577647702,139.21132973569345,0.0790866636747459,0.0,0.6902159686444646,-145617.89985518472,38589.30595121193,38589.30595121192,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018940665461666666,81159.26099659504,-81159.26099659504,0.0,-0.04433666367474592,0.04433666367474591,59669.216813920364,-0.03474999999999999,0.034749999999999996,47359.37709005243,0.0790866636747459,-0.044490063488888884,38589.30595121193,-145617.89985518472,0.0
