,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,0.0,200000.0,29.833333333333332,-0.011666666666666665,9958.0,140.39159999999998,0.011666666666666665,-0.011666666666666665,0.011666666666666665,0.0,0.0,110.55826666666665,2765.8841940527564,0.0,0.0,0.0,0.0,0.0,110.55826666666665,2765.8841940527564,0.0,0.0,0.0,0.0,110.55826666666665,29.833333333333332,140.39159999999998,110.55826666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011666666666666665,0.0,0.0,0.0
1,1,0.0,200000.0,29.833333333333332,-0.015191054530555555,9903.31220369,140.38066244073798,0.015191054530555555,-0.015191054530555555,0.015191054530555555,0.0,0.0,110.54732910740465,2765.7473758326287,0.0,0.0,0.0,0.0,0.0,110.54732910740465,2765.7473758326287,0.0,0.0,0.0,0.0,110.54732910740465,29.833333333333332,140.38066244073798,110.54732910740465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,-0.08111332305093243,199707.99203701664,29.832846653395027,0.060391507367599094,10120.721630213357,140.42414432604266,0.020721815683333332,-0.020721815683333332,0.020721815683333332,-0.08111332305093243,0.08111332305093243,110.59142926007117,2766.299009140604,88000.0,110000.0,1.0,0.0,0.0,110.59142926007117,2766.298984454458,0.0,0.0,0.0,0.08111332305093243,110.59142926007117,29.832846653395027,140.42414432604266,110.59129767264764,1.0,0.0,0.0,-110000.0,0.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08111332305093243,0.08111332305093243,110000.0,0.0,0.0,0.0,0.08111332305093243,-0.020721815683333332,-110000.0,0.0,0.0
3,3,0.0,199707.99203701664,29.832846653395027,-0.03618098538444444,9990.470082829357,140.39809401656586,0.03618098538444444,-0.03618098538444444,0.03618098538444444,0.0,0.0,110.56524736317084,2765.9715122332077,0.0,0.0,0.0,0.0,0.0,110.56524736317084,2765.9715122332077,0.0,0.0,0.0,0.0,110.56524736317084,29.832846653395027,140.39809401656586,110.56524736317084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,199707.99203701664,29.832846653395027,-0.03261269932666667,9873.064365253356,140.37461287305067,0.03261269932666667,-0.03261269932666667,0.03261269932666667,0.0,0.0,110.54176621965564,2765.6777869249718,0.0,0.0,0.0,0.0,0.0,110.54176621965564,2765.6777869249718,0.0,0.0,0.0,0.0,110.54176621965564,29.832846653395027,140.37461287305067,110.54176621965564,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,199707.99203701664,29.832846653395027,-0.07031697765555554,9619.923245693357,140.32398464913865,0.07031697765555554,-0.07031697765555554,0.07031697765555554,0.0,0.0,110.49113799574363,2765.0443729892186,0.0,0.0,0.0,0.0,0.0,110.49113799574363,2765.0443729892186,0.0,0.0,0.0,0.0,110.49113799574363,29.832846653395027,140.32398464913865,110.49113799574363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199707.99203701664,29.832846653395027,-0.09616290988888887,9273.736770093357,140.25474735401866,0.09616290988888887,-0.09616290988888887,0.09616290988888887,0.0,0.0,110.42190070062364,2764.177904431577,0.0,0.0,0.0,0.0,0.0,110.42190070062364,2764.177904431577,0.0,0.0,0.0,0.0,110.42190070062364,29.832846653395027,140.25474735401866,110.42190070062364,1.0,0.07357298277434086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09616290988888887,0.0,0.0,0.0
7,7,0.0,199707.99203701664,29.832846653395027,-0.06561084117777777,9037.537741853357,140.20750754837067,0.06561084117777777,-0.06561084117777777,0.06561084117777777,0.0,0.0,110.37466089497565,2763.5865670475123,0.0,0.0,0.0,0.0,0.0,110.37466089497565,2763.5865670475123,0.0,0.0,0.0,0.0,110.37466089497565,29.832846653395027,140.20750754837067,110.37466089497565,1.0,0.27945187048193765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06561084117777777,0.0,0.0,0.0
8,8,-0.04437449111641989,199548.24386899752,29.83258040644833,-0.004811953611357887,9020.214708852469,140.2040429417705,0.04918644472777778,-0.04918644472777778,0.04918644472777778,0.0,0.0,110.3715019172314,2763.5470191528475,0.0,0.0,0.0,-0.04437449111641989,0.04437449111641989,110.3715019172314,2763.547026548354,48046.23325936796,60057.79157420995,1.0,0.04437449111641989,110.3715019172314,29.83258040644833,140.2040429417705,110.37146253532217,1.0,0.4971078908988494,-60057.79157420995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04437449111641989,0.04437449111641989,60057.79157420995,0.04437449111641989,-0.04918644472777778,0.0,-60057.79157420995,0.0
9,9,-0.061605239083781224,199326.46500829593,29.832210775013827,0.017115175594892337,9081.829340994082,140.2163658681988,0.044490063488888884,-0.044490063488888884,0.044490063488888884,0.0,0.0,110.38423099729462,2763.7063736803534,0.0,0.0,0.0,-0.061605239083781224,0.061605239083781224,110.38423099729462,2763.7063879335215,66710.42249775984,83388.0281221998,1.0,0.061605239083781224,110.38423099729462,29.832210775013827,140.2163658681988,110.38415509318497,1.0,0.6902159686444646,-83388.0281221998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061605239083781224,0.061605239083781224,83388.0281221998,0.061605239083781224,-0.044490063488888884,0.0,-83388.0281221998,0.0
