,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,0.0,200000.0,29.833333333333332,-0.011666666666664135,9958.00000000001,139.596,0.011666666666666665,-0.011666666666666665,0.011666666666666665,0.0,0.0,109.76266666666666,2755.9142669698535,2.130308544362131e-09,2.6628856804526633e-09,0.0,0.0,0.0,109.76266666666663,2755.9142669698535,0.0,0.0,0.0,-4.933726572157515e-15,0.0,109.76266666666666,-5.325771360905328e-09,-2.6628856804526637e-09,0.0,109.76266666666666,29.833333333333332,139.596,109.76266666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6628856804526633e-09,0.0,0.0,0.0,0.0,-4.933726572157515e-15,-2.6628856804526637e-09,0.0,-0.011666666666666665,0.0,0.0,0.0
1,1,0.0,199999.99999999997,29.833333333333336,-0.015191054530555555,9903.31220369001,139.57075947862614,0.015191054530555555,-0.015191054530555555,0.015191054530555555,0.0,0.0,109.73742614529283,2755.5973570498927,0.0,0.0,0.0,0.0,0.0,109.7374261452928,2755.5973570498927,0.0,0.0,0.0,-5.149960319306146e-19,0.0,109.73742614529283,0.0,0.0,0.0,109.73742614529283,29.833333333333336,139.57075947862614,109.73742614529282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.149960319306146e-19,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,0.0,200000.00000000003,29.833333333333336,-0.020721815683333332,9828.713667230008,139.5363293848754,0.020721815683333332,-0.020721815683333332,0.020721815683333332,0.0,0.0,109.70299605154179,2755.1650160812496,0.0,0.0,0.0,0.0,0.0,109.7029960515418,2755.1650160812496,0.0,0.0,0.0,-4.836558128822055e-19,0.0,109.70299605154179,0.0,0.0,0.0,109.70299605154179,29.833333333333336,139.5363293848754,109.70299605154206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.836558128822055e-19,0.0,0.0,-0.020721815683333332,0.0,0.0,0.0
3,3,0.0,200000.0,29.833333333333332,-0.03618098538444444,9698.462119846006,139.47621328608278,0.03618098538444444,-0.03618098538444444,0.03618098538444444,0.0,0.0,109.64287995274948,2754.4099886886606,0.0,0.0,0.0,0.0,0.0,109.64287995274948,2754.4099886886606,0.0,0.0,0.0,-3.184843881676169e-18,0.0,109.64287995274948,0.0,0.0,0.0,109.64287995274948,29.833333333333332,139.47621328608278,109.64287995274947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.184843881676169e-18,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,200000.00000000003,29.833333333333336,-0.03261269932666667,9581.056402270007,139.42202603181693,0.03261269932666667,-0.03261269932666667,0.03261269932666667,0.0,0.0,109.58869269848358,2753.729244844559,0.0,0.0,0.0,0.0,0.0,109.58869269848358,2753.729244844559,0.0,0.0,0.0,-2.728716639579729e-18,0.0,109.58869269848358,0.0,0.0,0.0,109.58869269848358,29.833333333333336,139.42202603181693,109.58869269848357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.728716639579729e-18,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,200000.00000000003,29.833333333333336,-0.07031697765555554,9327.915282710008,139.3051916689431,0.07031697765555554,-0.07031697765555554,0.07031697765555554,0.0,0.0,109.47185833560977,2752.2609545653195,0.0,0.0,0.0,0.0,0.0,109.47185833560977,2752.2609545653195,0.0,0.0,0.0,0.0,0.0,109.47185833560977,0.0,0.0,0.0,109.47185833560977,29.833333333333336,139.3051916689431,109.47185833560977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199999.99999999997,29.833333333333332,-0.09616290988888887,8981.728807110007,139.14541329558924,0.09616290988888887,-0.09616290988888887,0.09616290988888887,0.0,0.0,109.3120799622559,2750.251820987118,0.0,0.0,0.0,0.0,0.0,109.3120799622559,2750.251820987121,0.0,0.0,0.0,-4.449887588400467e-18,0.0,109.3120799622559,0.0,0.0,0.0,109.3120799622559,29.833333333333332,139.14541329558924,109.31207996225591,0.0,0.07357298277434086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.449887588400467e-18,0.0,0.0,-0.09616290988888887,0.0,0.0,0.0
7,7,-0.043997818275861265,199841.60785420693,29.833069346423677,-0.021613022901916492,8903.921924663104,139.1095024267676,0.06561084117777777,-0.06561084117777777,0.06561084117777777,0.0,0.0,109.27647179641133,2749.8038403086584,0.0,0.0,0.0,-0.043997818275861265,0.04399781827586128,109.27647179641129,2749.803847615458,47165.752563043614,58957.19070380452,1.0,0.0,0.0,109.27647179641133,0.0,0.0,0.04399781827586128,109.27647179641133,29.833069346423677,139.1095024267676,109.27643308034393,1.0,0.27945187048193765,-58957.19070380451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043997818275861265,0.04399781827586128,58957.19070380452,0.0,0.0,0.0,0.04399781827586128,-0.06561084117777777,0.0,-58957.19070380451,0.0
8,8,-0.07823135122446503,199559.97498979888,29.83259995831633,0.02904490649668572,9008.483588051175,139.15776165602358,0.04918644472777778,-0.04918644472777778,0.04918644472777778,0.0,0.0,109.32528410058853,2750.4179216089883,0.0,0.0,0.0,-0.07823135122446503,0.07823135122446262,109.32528410058858,2750.417944704672,83901.63121412019,104877.03901765024,1.0,0.0,0.0,109.32528410058853,0.0,0.0,0.0782313512244626,109.32528410058853,29.83259995831633,139.15776165602358,109.32516169770726,1.0,0.4971078908988494,-104877.03901765023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07823135122446503,0.07823135122446262,104877.03901765024,0.0,0.0,0.0,0.0782313512244626,-0.04918644472777778,0.0,-104877.03901765023,0.0
9,9,-0.08200560376177321,199264.75481625652,29.832107924693762,0.037515540272873814,9143.53953303352,139.2200951690924,0.044490063488888884,-0.044490063488888884,0.044490063488888884,0.0,0.0,109.38812174277096,2751.2082463317997,0.0,0.0,0.0,-0.0820056037617732,0.08200560376176279,109.388121742771,2751.2082717022436,87999.99999999999,109999.99999999997,1.0,0.0,0.0,109.38812174277096,0.0,0.0,0.08200560376176277,109.38812174277096,29.83210792469376,139.2200951690924,109.38798724439862,1.0,0.6902159686444646,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0820056037617732,0.08200560376176279,109999.99999999997,0.0,0.0,0.0,0.08200560376176277,-0.044490063488888884,0.0,-109999.99999999999,0.0
