,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,-4.898057987658876e-13,199999.99999999825,29.83333333333333,-0.01166666666617686,9958.000000001763,139.59600000000083,0.011666666666666665,-0.011666666666666665,0.011666666666666665,-4.898057987658876e-13,4.898057987658876e-13,109.76266666666749,2755.914289856453,5.27409051995351e-07,6.592613149941887e-07,0.0,0.0,0.0,109.76266666666749,2755.914289856453,0.0,0.0,0.0,4.898057987658876e-13,109.76266666666749,29.83333333333333,139.59600000000083,109.7626666666675,1.0,0.0,0.0,-6.592613149941888e-07,0.0,6.592613149941889e-07,0.0,0.0,0.0,0.0,0.0,0.0,-4.898057987658876e-13,4.898057987658876e-13,6.592613149941887e-07,0.0,0.0,0.0,4.898057987658876e-13,-0.011666666666666665,-6.592613149941888e-07,0.0,0.0
1,1,0.0,199999.99999999825,29.833333333333332,-0.015191054530555555,9903.312203691763,139.57075947862697,0.015191054530555555,-0.015191054530555555,0.015191054530555555,0.0,0.0,109.73742614529364,2755.5974029081135,0.0,0.0,0.0,0.0,0.0,109.73742614529364,2755.5974029081135,0.0,0.0,0.0,0.0,109.73742614529364,29.833333333333332,139.57075947862697,109.73742614529364,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,-1.827402812404344e-12,199999.9999999917,29.833333333333318,-0.02072181568150593,9828.713667238342,139.53632938487922,0.020721815683333332,-0.020721815683333332,0.020721815683333332,-1.827402812404344e-12,1.827402812404344e-12,109.70299605154591,2755.1650849505854,1.96662603807009e-06,2.4582825475876123e-06,0.0,0.0,0.0,109.70299605154591,2755.1650849505854,0.0,0.0,0.0,1.827402812404344e-12,109.70299605154591,29.833333333333318,139.53632938487922,109.70299605154591,1.0,0.0,0.0,-2.4582825475876123e-06,0.0,2.4582825475876123e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.827402812404344e-12,1.827402812404344e-12,2.4582825475876123e-06,0.0,0.0,0.0,1.827402812404344e-12,-0.020721815683333332,-2.4582825475876123e-06,0.0,0.0
3,3,0.0,199999.9999999917,29.833333333333318,-0.03618098538443734,9698.462119854368,139.47621328608665,0.03618098538444444,-0.03618098538444444,0.03618098538444444,0.0,0.0,109.64287995275333,2754.4100806231454,1.8668627122067323e-10,2.3335783902584154e-10,0.0,0.0,0.0,109.64287995275333,2754.4100806231454,0.0,0.0,0.0,0.0,109.64287995275333,29.833333333333318,139.47621328608665,109.64287995275333,1.0,0.0,0.0,-2.3335783902584154e-10,0.0,2.333578390258415e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3335783902584154e-10,0.0,0.0,0.0,0.0,-0.03618098538444444,-2.3335783902584154e-10,0.0,0.0
4,4,0.0,199999.99999999176,29.83333333333332,-0.03261269932666667,9581.056402278367,139.4220260318208,0.03261269932666667,-0.03261269932666667,0.03261269932666667,0.0,0.0,109.58869269848748,2753.7293598826436,0.0,0.0,0.0,0.0,0.0,109.58869269848748,2753.7293598826436,0.0,0.0,0.0,0.0,109.58869269848748,29.83333333333332,139.4220260318208,109.58869269848748,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,199999.99999999176,29.833333333333318,-0.07031697765555554,9327.915282718368,139.30519166894692,0.07031697765555554,-0.07031697765555554,0.07031697765555554,0.0,0.0,109.4718583356136,2752.2610696621196,0.0,0.0,0.0,0.0,0.0,109.4718583356136,2752.2610696621196,0.0,0.0,0.0,0.0,109.4718583356136,29.833333333333318,139.30519166894692,109.4718583356136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199999.99999999176,29.83333333333332,-0.09616290988888887,8981.728807118368,139.1454132955931,0.09616290988888887,-0.09616290988888887,0.09616290988888887,0.0,0.0,109.31207996225979,2750.251820987165,0.0,0.0,0.0,0.0,0.0,109.31207996225979,2750.251820987165,0.0,0.0,0.0,0.0,109.31207996225979,29.83333333333332,139.1454132955931,109.31207996225979,1.0,0.07357298277434086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09616290988888887,0.0,0.0,0.0
7,7,-0.04399782217369364,199841.6078401664,29.833069346400283,-0.021613019004093324,8903.921938703632,139.10950243324783,0.06561084117777777,-0.06561084117777777,0.06561084117777777,0.0,0.0,109.27647180301467,2749.803839685428,0.0,0.0,0.0,-0.043997822173684815,0.04399782217368482,109.27647180301467,2749.8038476985616,47165.752563043614,58957.19070380451,1.0,0.04399782217368445,109.27647180301467,29.83306934640028,139.10950243324783,109.27643308684756,1.0,0.27945187048193765,-58957.19070380451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04399782217368482,0.04399782217368482,58957.19070380451,0.04399782217368445,-0.06561084117777777,0.0,-58957.19070380451,0.0
8,8,-0.0782313507993292,199559.97497728886,29.83259995829548,0.02904490607155142,9008.483600561218,139.15776166179748,0.04918644472777778,-0.04918644472777778,0.04918644472777778,0.0,0.0,109.3252841063869,2750.4177468858657,0.0,0.0,0.0,-0.07823135079932919,0.0782313507993292,109.3252841063869,2750.4179447776114,83901.63121412019,104877.03901765021,1.0,0.0782313507993292,109.3252841063869,29.832599958295475,139.15776166179748,109.325161703502,1.0,0.4971078908988494,-104877.03901765023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0782313507993292,0.0782313507993292,104877.03901765021,0.0782313507993292,-0.04918644472777778,0.0,-104877.03901765023,0.0
9,9,-0.08200559815953691,199264.75482391447,29.832107924706527,0.03751553467064804,9143.53952537555,139.22009516555792,0.044490063488888884,-0.044490063488888884,0.044490063488888884,0.0,0.0,109.38812173820415,2751.2080720564845,0.0,0.0,0.0,-0.08200559815953691,0.08200559815953691,109.38812173820415,2751.2082716448267,88000.0,109999.99999999997,1.0,0.08200559815953691,109.38812173820415,29.832107924706527,139.22009516555792,109.38798724085142,1.0,0.6902159686444646,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08200559815953691,0.08200559815953691,109999.99999999997,0.08200559815953691,-0.044490063488888884,0.0,-109999.99999999999,0.0
10,10,-0.08196078585248033,198969.69599484548,29.83161615999141,0.03570952493025879,9272.093815124483,139.27942791467285,0.04625126092222222,-0.04625126092222222,0.04625126092222222,0.0,0.0,109.44794610449301,2751.9602871693364,0.0,0.0,0.0,-0.08196078585248033,0.08196078585248033,109.447946104493,2751.9604867040266,87999.99999999999,109999.99999999997,1.0,0.08196078585248102,109.44794610449301,29.831616159991412,139.27942791467285,109.44781175468142,1.0,0.8271725442451721,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08196078585248033,0.08196078585248033,109999.99999999997,0.08196078585248102,-0.04625126092222222,0.0,-109999.99999999999,0.0
11,11,-0.08192396670665233,198674.7697147016,29.83112461619117,0.02929908503442973,9377.57052124843,139.3281094713454,0.05262488167222223,-0.05262488167222223,0.05262488167222223,0.0,0.0,109.4971190843245,2752.5784209981434,0.0,0.0,0.0,-0.08192396670665236,0.08192396670665235,109.4971190843245,2752.5786202498216,87999.99999999999,109999.99999999996,1.0,0.08192396670665195,109.4971190843245,29.83112461619117,139.3281094713454,109.49698485515425,1.0,0.9073690875066988,-109999.99999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08192396670665235,0.08192396670665235,109999.99999999996,0.08192396670665195,-0.05262488167222223,0.0,-109999.99999999997,0.0
12,12,-0.08189199653211066,198379.95852718595,29.830633264211983,0.025437197354332884,9469.14443172403,139.37037435310336,0.05645479917777778,-0.05645479917777778,0.05645479917777778,0.0,0.0,109.5398752148718,2753.1157782512464,0.0,0.0,0.0,-0.08189199653211067,0.08189199653211067,109.5398752148718,2753.1159773912204,88000.00000000001,109999.99999999997,1.0,0.08189199653211068,109.5398752148718,29.830633264211976,139.37037435310336,109.53974108889139,1.0,0.9075888237412905,-110000.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08189199653211066,0.08189199653211067,109999.99999999997,0.08189199653211068,-0.05645479917777778,0.0,-110000.00000000001,0.0
13,13,-0.14925400652196008,197842.6441037069,29.829737740172842,0.09611517734418618,9815.1590701631,139.53007341699833,0.05313882917777778,-0.05313882917777778,0.05313882917777778,-0.06748212700680875,0.06748212700680875,109.70078121189903,2755.137289112801,72621.87996309117,90777.34995386396,1.0,-0.08177187951515136,0.08177187951515136,109.70078121189906,2755.137297147405,88000.00000000001,110000.00000000001,1.0,0.14925400652196394,109.70078121189903,29.829737740172842,139.53007341699833,109.70033567682553,1.0,0.8371170424435377,-110000.00000000003,-90777.34995386396,0.0,90777.34995386396,0.0,0.0,0.0,0.0,0.0,0.0,-0.06748212700680875,0.06748212700680875,90777.34995386396,-0.08177187951515136,0.08177187951515136,110000.00000000001,0.14925400652196394,-0.05313882917777778,-90777.34995386396,-110000.00000000003,0.0
14,14,-0.08173430749811779,197548.4005967137,29.82924733432786,0.030227132587006694,9923.976747476321,139.5802969603737,0.051507174911111106,-0.051507174911111106,0.051507174911111106,0.0,0.0,109.75118323598629,2755.770123176855,0.0,0.0,0.0,-0.0817343074981178,0.0817343074981178,109.75118323598629,2755.770148337839,87999.98681668984,109999.98352086227,1.0,0.0817343074981178,109.75118323598629,29.829247334327853,139.5802969603737,109.75104962604584,1.0,0.7025998704330214,-109999.9835208623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08173430749811779,0.0817343074981178,109999.98352086227,0.0817343074981178,-0.051507174911111106,0.0,-109999.9835208623,0.0
