,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,-0.02780000000000534,199899.91999999998,29.833166533333337,0.01613333333333867,10058.079999999994,139.6421907692308,0.011666666666666665,-0.011666666666666667,0.011666666666666665,-0.027800000000005334,0.027800000000005338,109.80903969269745,2756.496394603492,29946.901686918794,37433.6271086485,1.0,0.00040466547015957736,109.76334146190216,29.833166533333337,139.59667236724272,109.80902423589743,1.0,0.0,0.0,-37433.6271086485,0.0,37433.6271086485,0.0,0.0,0.0,0.0,0.0,0.0,0.00040466547015957736,-0.011666666666666665,0.0,0.0,0.0
1,1,-3.298692114137611e-13,199899.91999999876,29.83316653333333,-0.015191054530555553,10003.392203689995,139.61695024785692,0.015191054530555555,-0.015191054530555519,0.015191054530555555,0.0,0.0,109.7837837145236,2756.17937987702,0.0,0.0,0.0,0.0,109.73810094052823,29.83316653333333,139.57143184586891,109.78378371452361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,0.0,199899.9199999987,29.83316653333333,-0.02072181568333331,9928.793667229995,139.58252015410616,0.020721815683333332,-0.02072181568333333,0.020721815683333332,0.0,2.7755575615628914e-17,109.74935362077282,2755.7471532192308,0.0,0.0,0.0,0.008318544917044923,109.71754234037054,29.83316653333333,139.55082333444176,109.74935362077284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9661.741244379835,0.008318544917044923,-0.020721815683333332,-9661.741244379835,0.0,0.0
3,3,0.0,199899.91999999867,29.83316653333333,-0.036180985384444364,9798.542119845995,139.52240405531356,0.03618098538444444,-0.0361809853844444,0.03618098538444444,0.0,8.326672684688674e-17,109.68923752198019,2754.9923699430105,0.0,0.0,0.0,0.0015871795822609803,109.66007292457691,29.83316653333333,139.4933443955705,109.6892375219802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015871795822609803,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,199899.91999999876,29.83316653333333,-0.03261269932666666,9681.136402269996,139.4682168010477,0.03261269932666667,-0.03261269932666665,0.03261269932666667,0.0,0.0,109.63505026771438,2754.311731562861,0.0,0.0,0.0,0.0,109.60588567031104,29.83316653333333,139.43915714130446,109.63505026771438,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,199899.91999999882,29.83316653333333,-0.07031697765555545,9427.995282709995,139.35138243817383,0.07031697765555554,-0.07031697765555547,0.07031697765555554,0.0,1.1102230246251565e-16,109.51821590484047,2752.8438136431164,0.0,0.0,0.0,0.0023841904696662035,109.49302703674513,29.83316653333333,139.32628420259573,109.51821590484047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023841904696662035,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199899.91999999885,29.83316653333333,-0.09616290988888873,9081.808807109996,139.19160406481998,0.09616290988888887,-0.09616290988888869,0.09616290988888887,0.0,1.3877787807814457e-16,109.35843753148664,2750.834970255682,0.0,0.0,0.0,0.014011286718023194,109.35661302288902,29.83316653333333,139.1897861210192,109.35843753148667,1.0,0.07357298277434086,-15522.0158970269,15522.0158970269,15522.015897026899,0.0,0.0,0.0,0.0,0.0,0.0,15522.015897026873,0.014011286718023194,-0.09616290988888887,0.0,-15522.015897026873,0.0
7,7,-0.04288617253616789,199745.5297788687,29.832909216298113,-0.022724668641609883,9000.0000000002,139.15384615384625,0.06561084117777777,-0.0656108411777777,0.06561084117777777,-0.042886172536167874,0.04288617253616788,109.32097372202404,2750.363653613463,45992.79020548477,57490.98775685597,1.0,0.043980305378959965,109.32097544861341,29.832909216298116,139.1538461538462,109.32093693754814,1.0,0.27945187048193765,-58957.19070380451,1466.202946948553,1466.202946948553,0.0,0.0,0.0,0.0,0.0,0.0,58957.19070380437,0.043980305378959965,-0.06561084117777777,0.0,-58957.19070380437,0.0
8,8,-0.04918644472774376,199568.45857784883,29.832614097629744,0.0,9000.000000000076,139.15384615384622,0.04918644472777778,-0.04918644472777776,0.04918644472777778,-0.04918644472774375,0.04918644472774376,109.32128044234253,2750.3675005422847,52749.59049939999,65936.98812424998,1.0,0.04918644472777776,109.32127911125602,29.832614097629744,139.153846153846,109.32123205621646,1.0,0.4971078908988494,-104877.03901765021,38940.050893400236,38940.05089340023,0.0,0.0,0.0,0.0,0.0,0.0,65936.20887509867,0.04918644472777776,-0.04918644472777778,38940.83014255147,-104877.0390176501,0.0
9,9,-0.044490063488888884,199408.2943492889,29.832347157248815,0.0,9000.000000000076,139.15384615384622,0.044490063488888884,-0.044490063488888815,0.044490063488888884,-0.044490063488888884,0.04449006348888888,109.32153858391231,2750.3707386848455,47713.11075559781,59641.38844449726,1.0,0.044490063488888815,109.32153834424413,29.832347157248815,139.153846153846,109.32149899659738,1.0,0.6902159686444646,-145617.89985518472,85976.51141068748,85976.51141068748,0.0,0.0,0.0,0.0,0.0,0.0,59640.539894787216,0.044490063488888815,-0.044490063488888884,85977.35996039741,-145617.89985518478,0.0
