,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,0.0,200000.00000000003,29.833333333333336,-0.011666666666666664,9958.0,139.596,0.011666666666666665,-0.011666666666666665,0.011666666666666665,0.0,0.0,109.7626666666667,2755.9142895677023,5.581939224624895e-09,6.977424030781118e-09,0.0,-1.292759302384816e-14,0.0,109.7626666666667,-1.395484806156224e-08,-6.977424030781119e-09,0.0,109.7626666666667,29.833333333333336,139.596,109.76266666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.977424030781118e-09,0.0,-1.292759302384816e-14,-6.977424030781119e-09,0.0,-0.011666666666666665,0.0,0.0,0.0
1,1,0.0,200000.0,29.833333333333336,-0.015191054530555559,9903.312203689997,139.57075947862617,0.015191054530555555,-0.015191054530555555,0.015191054530555555,0.0,0.0,109.73742614529283,2755.597402342349,0.0,0.0,0.0,-8.673617379884035e-19,0.0,109.73742614529283,0.0,0.0,0.0,109.73742614529283,29.83333333333333,139.57075947862617,109.73742614529284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.673617379884035e-19,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,-0.0278,199899.92000000004,29.833166533333333,0.007078184316666667,9928.793667229998,139.58252015410616,0.020721815683333332,-0.020721815683333332,0.020721815683333332,-0.027800000000000002,0.0278,109.74936907757288,2755.747347401019,29930.628436097526,37413.28554512191,1.0,0.0,0.0,109.74936907757288,0.0,0.0,0.0278,109.74936907757288,29.83316653333333,139.58252015410616,109.74935362077285,1.0,0.0,0.0,-37413.28554512191,0.0,37413.285545121915,0.0,0.0,0.0,0.0,0.0,-0.027800000000000002,0.0278,37413.28554512191,0.0,0.0,0.0,0.0278,-0.020721815683333332,-37413.28554512191,0.0,0.0
3,3,0.0,199899.92000000004,29.833166533333333,-0.03618098538444444,9798.542119845999,139.52240405531356,0.03618098538444444,-0.03618098538444444,0.03618098538444444,0.0,0.0,109.68923752198025,2754.9923078538127,0.0,0.0,0.0,0.0,0.0,109.68923752198025,0.0,0.0,0.0,109.68923752198025,29.83316653333333,139.52240405531356,109.68923752198025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,199899.92,29.833166533333337,-0.03261269932666667,9681.136402269996,139.4682168010477,0.03261269932666667,-0.03261269932666667,0.03261269932666667,0.0,0.0,109.63505026771439,2754.3117307182556,0.0,0.0,0.0,-3.3068166260807885e-18,0.0,109.63505026771439,0.0,0.0,0.0,109.63505026771439,29.833166533333337,139.4682168010477,109.63505026771439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3068166260807885e-18,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,199899.92,29.833166533333333,-0.07031697765555553,9427.995282709997,139.35138243817383,0.07031697765555554,-0.07031697765555554,0.07031697765555554,0.0,0.0,109.51821590484055,2752.843750813009,0.0,0.0,0.0,-6.613633252161577e-18,0.0,109.51821590484055,0.0,0.0,0.0,109.51821590484055,29.833166533333333,139.35138243817383,109.51821590484055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.613633252161577e-18,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199899.92,29.833166533333337,-0.09616290988888886,9081.808807109997,139.19160406482004,0.09616290988888887,-0.09616290988888887,0.09616290988888887,0.0,0.0,109.35843753148667,2750.8349274075736,0.0,0.0,0.0,-5.854691731421724e-18,0.0,109.35843753148667,0.0,0.0,0.0,109.35843753148667,29.833166533333337,139.19160406482004,109.35843753148667,0.0,0.07357298277434086,-15522.0158970269,15522.0158970269,15522.0158970269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.854691731421724e-18,0.0,0.0,-0.09616290988888887,15522.0158970269,-15522.0158970269,0.0
7,7,-0.042886172536121175,199745.52977886997,29.832909216298116,-0.022724668641656596,9000.000000000033,139.1538461538462,0.06561084117777777,-0.06561084117777777,0.06561084117777777,-0.042886172536121175,0.042886172536121175,109.32097372202385,2750.363702196549,45992.79274318458,57490.99092898075,1.0,0.0,0.0,109.32097372202385,0.0,0.0,0.042886172536121175,109.32097372202385,29.83290921629812,139.1538461538462,109.32093693754808,1.0,0.27945187048193765,-58957.19070380451,1466.1997748237716,1466.1997748237716,0.0,0.0,0.0,0.0,0.0,0.0,-0.042886172536121175,0.042886172536121175,57490.99092898075,0.0,0.0,0.0,0.042886172536121175,-0.06561084117777777,1466.1997748237716,-58957.19070380451,0.0
8,8,-0.049186444727745,199568.4585778501,29.83261409762975,-3.2788294817722324e-14,8999.999999999916,139.15384615384613,0.04918644472777778,-0.04918644472777778,0.04918644472777778,-0.049186444727745,0.04918644472774501,109.32128044229368,2750.3675648128633,52749.59639835004,65936.99549793756,1.0,0.0,0.0,109.32128044229368,0.0,0.0,0.049186444727745006,109.32128044229368,29.83261409762975,139.15384615384613,109.32123205621639,1.0,0.4971078908988494,-104877.03901765021,38940.04351971267,38940.04351971267,0.0,0.0,0.0,0.0,0.0,0.0,-0.049186444727745,0.04918644472774501,65936.99549793756,0.0,0.0,0.0,0.049186444727745006,-0.04918644472777778,38940.04351971267,-104877.03901765021,0.0
9,9,-0.0444900689039274,199408.29432979596,29.832347157216326,5.415046588589292e-09,9000.000019494084,139.15384616284342,0.044490063488888884,-0.044490063488888884,0.044490063488888884,-0.04449006890393541,0.04449006890393541,109.32153859286517,2750.3708137764374,47713.11656537388,59641.395706717354,1.0,0.0,0.0,109.32153859286517,0.0,0.0,0.04449006890393588,109.32153859286517,29.832347157216326,139.15384616284342,109.3214990056271,1.0,0.6902159686444646,-145617.89985518472,85976.50414846739,85976.50414846739,0.0,0.0,0.0,0.0,0.0,0.0,-0.04449006890393541,0.04449006890393541,59641.395706717354,0.0,0.0,0.0,0.04449006890393588,-0.044490063488888884,85976.50414846739,-145617.89985518472,0.0
