,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,0.0,200000.00000000003,29.833333333333332,-0.011666666666668584,9957.999999999993,139.596,0.011666666666666665,-0.011666666666666665,0.011666666666666665,0.0,0.0,109.76266666666663,2755.9142895288933,1.7465503123870276e-09,2.1831878904837845e-09,0.0,0.0,0.0,109.76266666666663,2755.9142895288933,0.0,0.0,0.0,-4.044954759555725e-15,0.0,109.76266666666663,-4.36637578096757e-09,-2.183187890483785e-09,0.0,109.76266666666663,29.833333333333332,139.596,109.76266666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1831878904837845e-09,0.0,0.0,0.0,0.0,-4.044954759555725e-15,-2.183187890483785e-09,0.0,-0.011666666666666665,0.0,0.0,0.0
1,1,0.0,200000.0,29.833333333333336,-0.015191054530555555,9903.312203689991,139.57075947862617,0.015191054530555555,-0.015191054530555555,0.015191054530555555,0.0,0.0,109.73742614526047,2755.5974022526234,0.0,0.0,0.0,0.0,0.0,109.73742614526047,2755.5974022526234,0.0,0.0,0.0,-7.394597629530042e-19,0.0,109.73742614526047,0.0,0.0,0.0,109.73742614526047,29.833333333333332,139.57075947862617,109.73742614529284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.394597629530042e-19,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,-0.027799999999999995,199899.92,29.833166533333337,0.007078184316666665,9928.793667229993,139.58252015410616,0.020721815683333332,-0.020721815683333332,0.020721815683333332,-0.0278,0.0278,109.7493690775728,2755.747349530957,29930.628436097504,37413.285545121886,1.0,0.0,0.0,109.74936907757281,2755.747346620118,0.0,0.0,0.0,0.0,0.0,109.7493690775728,0.0,0.0,0.0278,109.7493690775728,29.833166533333337,139.58252015410616,109.74935362077281,1.0,0.0,0.0,-37413.285545121886,0.0,37413.285545121886,0.0,0.0,0.0,0.0,0.0,0.0,-0.0278,0.0278,37413.285545121886,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,-0.020721815683333332,-37413.285545121886,0.0,0.0
3,3,0.0,199899.91999999998,29.833166533333333,-0.03618098538444444,9798.542119845992,139.52240405531353,0.03618098538444444,-0.03618098538444444,0.03618098538444444,0.0,0.0,109.68923752198025,2754.9923074229314,0.0,0.0,0.0,0.0,0.0,109.68923752198023,2754.992307422931,0.0,0.0,0.0,-3.314069345691654e-18,0.0,109.68923752198025,0.0,0.0,0.0,109.68923752198025,29.833166533333333,139.52240405531353,109.68923752198025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.314069345691654e-18,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,199899.91999999998,29.833166533333333,-0.03261269932666667,9681.13640226999,139.4682168010477,0.03261269932666667,-0.03261269932666667,0.03261269932666667,0.0,0.0,109.63505026771439,2754.31173057863,0.0,0.0,0.0,0.0,0.0,109.63505026771439,2754.311729849171,0.0,0.0,0.0,0.0,0.0,109.63505026771439,0.0,0.0,0.0,109.63505026771439,29.833166533333333,139.4682168010477,109.63505026771439,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,199899.91999999998,29.833166533333333,-0.07031697765555554,9427.995282709993,139.35138243817386,0.07031697765555554,-0.07031697765555554,0.07031697765555554,0.0,0.0,109.51821590484052,2752.8437502485926,0.0,0.0,0.0,0.0,0.0,109.51821590484052,2752.8437495150847,0.0,0.0,0.0,0.0,0.0,109.51821590484052,0.0,0.0,0.0,109.51821590484052,29.833166533333333,139.35138243817386,109.51821590484052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199899.91999999998,29.833166533333333,-0.09616290988888886,9081.808807109994,139.19160406481998,0.09616290988888887,-0.09616290988888887,0.09616290988888887,0.0,0.0,109.35843753148666,2750.834926446007,0.0,0.0,0.0,0.0,0.0,109.35843753148664,2750.834926433514,0.0,0.0,0.0,-6.2159843706501844e-18,0.0,109.35843753148666,0.0,0.0,0.0,109.35843753148666,29.833166533333326,139.19160406481998,109.35843753148666,0.0,0.07357298277434086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.2159843706501844e-18,0.0,0.0,-0.09616290988888887,0.0,0.0,0.0
7,7,-0.043979172272470314,199741.59497981914,29.8329026582997,-0.02163166890530745,9003.934799050889,139.15566221494657,0.06561084117777777,-0.06561084117777777,0.06561084117777777,0.0,0.0,109.32279823990972,2750.3866493661,0.0,0.0,0.0,-0.04397917227247032,0.043979172272470314,109.32279823990973,2750.3866566564016,47165.75256304361,58957.19070380451,1.0,0.0,0.0,109.32279823990972,0.0,0.0,0.043979172272470314,109.32279823990972,29.8329026582997,139.15566221494657,109.32275955664683,1.0,0.27945187048193765,-58957.19070380451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04397917227247032,0.043979172272470314,58957.19070380451,0.0,0.0,0.0,0.043979172272470314,-0.06561084117777777,0.0,-58957.19070380451,0.0
8,8,-0.07819824737451432,199460.08128927083,29.832433468815452,0.029011802646734666,9108.377288579131,139.20386644088268,0.04918644472777778,-0.04918644472777778,0.04918644472777778,0.0,0.0,109.37155527138466,2750.9999056533093,0.0,0.0,0.0,-0.07819824737451431,0.07819824737451303,109.37155527138468,2750.999928714181,83901.63121412016,104877.0390176502,1.0,0.0,0.0,109.37155527138466,0.0,0.0,0.07819824737451302,109.37155527138466,29.832433468815456,139.20386644088268,109.37143297206725,1.0,0.4971078908988494,-104877.03901765021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07819824737451431,0.07819824737451303,104877.0390176502,0.0,0.0,0.0,0.07819824737451302,-0.04918644472777778,0.0,-104877.03901765021,0.0
9,9,-0.08197096767607084,199164.98580563697,29.831941643009397,0.037480904187153156,9243.308543652882,139.2661424047629,0.044490063488888884,-0.044490063488888884,0.044490063488888884,0.0,0.0,109.43433514654029,2751.789336925452,0.0,0.0,0.0,-0.08197096767607083,0.08197096767607083,109.43433514654029,2751.7893622631996,88000.0,110000.00000000001,1.0,0.0,0.0,109.43433514654029,0.0,0.0,0.08197096767607082,109.43433514654029,29.831941643009397,139.2661424047629,109.43420076175344,1.0,0.6902159686444646,-110000.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08197096767607083,0.08197096767607083,110000.00000000001,0.0,0.0,0.0,0.08197096767607082,-0.044490063488888884,0.0,-110000.00000000001,0.0
