,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,0.0,200000.0,29.833333333333332,-0.01166666666666636,9958.000000000002,139.59599999999998,0.011666666666666665,-0.011666666666666653,0.011666666666666665,0.0,0.0,109.76266666666668,2755.9142898460773,0.0,0.0,0.0,-4.85722573273506e-17,0.0,109.76229327798987,0.0,0.0,0.0,109.76229327798987,29.833333333333336,139.59599999999972,109.76266666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011666666666666665,0.0,0.0,0.0
1,1,0.0,200000.0,29.833333333333336,-0.015191054530555553,9903.31220369,139.57075947862612,0.015191054530555555,-0.015191054530555576,0.015191054530555555,0.0,0.0,109.73742614529277,2755.5974028875307,0.0,0.0,0.0,0.0,0.0,109.73810236189746,0.0,0.0,0.0,109.73810236189746,29.833333333333336,139.57075947862586,109.73742614529279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,0.0,200000.0,29.83333333333334,-0.020721815683333332,9828.71366723,139.5363293848754,0.020721815683333332,-0.020721815683333405,0.020721815683333332,0.0,0.0,109.702996051542,2755.1650849199314,0.0,0.0,0.0,-4.336808689942018e-19,0.0,109.7036722834395,0.0,0.0,0.0,109.7036722834395,29.83333333333334,139.5363293848759,109.70299605154202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020721815683333332,0.0,0.0,0.0
3,3,0.0,200000.0,29.833333333333336,-0.03618098538444444,9698.462119845997,139.47621328608278,0.03618098538444444,-0.036180985384444274,0.03618098538444444,0.0,0.0,109.64287995274945,2754.410080582028,0.0,0.0,0.0,-2.276824562219559e-18,0.0,109.64355619994089,0.0,0.0,0.0,109.64355619994089,29.83333333333334,139.4762132860823,109.64287995274947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,200000.0,29.833333333333336,-0.03261269932666667,9581.05640227,139.4220260318169,0.03261269932666667,-0.032612699326666696,0.03261269932666667,0.0,0.0,109.58869269848357,2753.7293598298265,0.0,0.0,0.0,-2.959744875943339e-18,0.0,109.58936896096945,0.0,0.0,0.0,109.58936896096945,29.83333333333333,139.42202603181735,109.58869269848357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,200000.0,29.833333333333336,-0.07031697765555554,9327.91528271,139.30519166894305,0.07031697765555554,-0.07031697765555568,0.07031697765555554,0.0,0.0,109.47185833560975,2752.26106959671,0.0,0.0,0.0,-5.529431079676073e-18,0.0,109.47253461339139,0.0,0.0,0.0,109.47253461339139,29.833333333333332,139.305191668943,109.47185833560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199999.99999999997,29.833333333333336,-0.09616290988888888,8981.728807110001,139.14541329558924,0.09616290988888887,-0.09616290988888865,0.09616290988888887,0.0,0.0,109.31207996225585,2750.2518209871187,0.0,0.0,0.0,0.0,0.0,109.31275625533299,0.0,0.0,0.0,109.31275625533299,29.83333333333334,139.14541329558926,109.31207996225586,0.0,0.07357298277434086,-15522.015897026899,15522.0158970269,15522.015897026899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09616290988888887,15522.01589702693,-15522.01589702693,0.0
7,7,0.0,200000.00000000003,29.833333333333332,-0.06561084117777777,8745.529778869999,139.03639835947845,0.06561084117777777,-0.0656108411777777,0.06561084117777777,0.0,0.0,109.20306502614511,2748.8800909170186,0.0,0.0,0.0,-1.843143693225358e-18,0.0,109.2035346851161,0.0,0.0,0.0,109.2035346851161,29.833333333333332,139.0363983594787,109.20306502614511,0.0,0.27945187048193765,-58957.19070380451,58957.19070380452,58957.19070380452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06561084117777777,58957.19070380435,-58957.19070380435,0.0
8,8,0.0,199999.99999999997,29.833333333333336,-0.04918644472777777,8568.45857785,138.95467318977694,0.04918644472777778,-0.04918644472777784,0.04918644472777778,0.0,0.0,109.12133985644365,2747.8512977186697,0.0,0.0,0.0,-1.848437649145697e-18,0.0,109.12201618011603,0.0,0.0,0.0,109.12201618011603,29.833333333333336,138.95467318977677,109.12133985644363,0.0,0.4971078908988494,-104877.03901765021,104877.03901765021,104877.03901765021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04918644472777778,104877.03901765002,-104877.03901765002,0.0
9,9,-0.07502096384020612,199729.92453017528,29.83288320755029,0.030530900351295936,8678.369819114667,139.005401454976,0.044490063488888884,-0.044490063488888974,0.044490063488888884,-0.07502096384021234,0.07502096384021234,109.17263081032598,2748.4969988795847,80346.21428093103,100432.76785116378,1.0,0.0,0.0,109.16788308542357,0.0,0.0,0.07502096384018486,109.16788308542357,29.832883207550292,139.00016795942605,109.17251824742574,1.0,0.6902159686444646,-145617.89985518472,45185.132004020954,45185.132004020954,0.0,0.0,0.0,0.0,0.0,0.0,-0.07187117485178886,0.07187117485178886,96131.38705710557,0.0,0.0,0.0,0.07187117485178886,-0.044490063488888884,49486.51279807939,-145617.89985518457,0.0
