,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,-4.200598202608319e-13,199999.99999999846,29.833333333333332,-0.011666666666246606,9958.000000001512,139.5960000000007,0.011666666666666665,0.0,0.011666666666666665,-4.200598202608319e-13,4.200598202608319e-13,109.76266666666739,2755.914289856452,4.4472838967002124e-07,5.559104870875265e-07,1.8720037510522487e-16,0.0,0.0,109.76266666666739,2755.914289856452,1.8189894035458568e-14,2.2737367544323207e-14,0.0,4.200598202608319e-13,0.0,29.833333333333332,0.0,109.76266666666739,1.0,0.0,0.0,-5.559104870875265e-07,0.0,5.559104870875265e-07,0.0,0.0,2.0463630789890885e-11,-2.2737367544323207e-14,0.0,2.8421709430404014e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011666666666666665,0.0,0.0,-2.2737367544323207e-14
1,1,0.0,199999.99999999825,29.833333333333332,-0.015191054530555553,9903.31220369151,139.57075947862685,0.015191054530555555,0.0,0.015191054530555555,0.0,0.0,109.73742614529353,2755.5974029081112,0.0,0.0,0.0,0.0,0.0,109.73742614529353,2755.5974029081112,0.0,0.0,0.0,0.0,0.0,29.833333333333332,0.0,109.73742614529353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,-0.0278000000000007,199899.9199999985,29.83316653333333,0.007078184316667363,9928.793667231514,139.58252015410685,0.020721815683333332,0.0,0.020721815683333332,-0.0278000000000007,0.027800000000000696,109.74936907757079,2755.747411712735,29930.628436097693,37413.28554512212,1.0,0.0,0.0,109.74936907757078,2755.747408801281,0.0,0.0,0.0,0.027800000000000696,0.0,29.83316653333333,0.0,109.74935362077353,1.0,0.0,0.0,-37413.28554512212,0.0,37413.28554512212,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020721815683333332,0.0,0.0,0.0
3,3,0.0,199899.91999999853,29.83316653333333,-0.036180985384444364,9798.542119847514,139.52240405531424,0.03618098538444444,0.0,0.03618098538444444,0.0,0.0,109.6892375219809,2754.9923699430215,0.0,0.0,0.0,0.0,0.0,109.6892375219809,2754.9923699430205,0.0,0.0,0.0,8.326672684688674e-17,0.0,29.83316653333333,0.0,109.68923752198093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,199899.91999999853,29.83316653333333,-0.03261269932666666,9681.136402271513,139.46821680104844,0.03261269932666667,0.0,0.03261269932666667,0.0,0.0,109.63505026771509,2754.311794576863,0.0,0.0,0.0,0.0,0.0,109.63505026771509,2754.3117945768636,0.0,0.0,0.0,0.0,0.0,29.83316653333333,0.0,109.63505026771509,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,199899.91999999853,29.83316653333333,-0.07031697765555545,9427.995282711516,139.35138243817454,0.07031697765555554,0.0,0.07031697765555554,0.0,0.0,109.51821590484123,2752.843813643126,0.0,0.0,0.0,0.0,0.0,109.51821590484121,2752.843813643126,0.0,0.0,0.0,1.1102230246251565e-16,0.0,29.83316653333333,0.0,109.51821590484123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199899.91999999853,29.83316653333333,-0.09616290988888876,9081.808807111514,139.1916040648207,0.09616290988888887,0.0,0.09616290988888887,0.0,0.0,109.35843753148737,2750.83497025569,0.0,0.0,0.0,0.0,0.0,109.35843753148737,2750.83497025569,0.0,0.0,0.0,1.1102230246251565e-16,0.0,29.83316653333333,0.0,109.35843753148737,1.0,0.07357298277434086,-2.2737367544323207e-14,0.0,0.0,0.0,0.0,0.0,1.0231815394945445e-10,2.2737367544323207e-14,2.842170943040401e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09616290988888887,0.0,0.0,2.2737367544323204e-14
7,7,-0.043979169264660535,199741.59499064574,29.832902658317746,-0.021631671913117226,9003.934788224291,139.1556622099497,0.06561084117777777,0.0,0.06561084117777777,0.0,0.0,109.32279823497852,2750.3865144885194,0.0,0.0,0.0,-0.04397916926466053,0.043979169264660535,109.32279823497853,2750.3865217582866,47165.7525630436,58957.19070380451,1.0,0.043979169264660535,0.0,29.832902658317746,0.0,109.32275955163193,1.0,0.27945187048193765,-58957.19070380451,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,-2.2737367544323207e-14,0.0,2.8421709430404014e-14,0.0,0.0,0.0,-0.043979169264660535,0.0,0.0,0.0,-0.06561084117777777,0.0,0.0,-2.2737367544323204e-14
8,8,-0.07819824603847825,199460.08130490722,29.83243346884151,0.02901180131070045,9108.377272942815,139.20386643366592,0.04918644472777778,0.0,0.04918644472777778,0.0,0.0,109.37155526413807,2750.999907630642,0.0,0.0,0.0,-0.07819824603847823,0.07819824603847823,109.37155526413805,2750.9999307019057,83901.63121412016,104877.03901765021,1.0,0.07819824603847822,0.0,29.83243346884151,0.0,109.37143296482441,1.0,0.4971078908988494,-104877.03901765021,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.07819824603847823,0.0,0.0,0.0,-0.04918644472777778,0.0,0.0,0.0
9,9,-0.08197096884001008,199164.9858170832,29.831941643028475,0.03748090535112118,9243.30853220685,139.2661423994801,0.044490063488888884,0.0,0.044490063488888884,0.0,0.0,109.43433514109921,2751.789338935056,0.0,0.0,0.0,-0.08197096884001008,0.08197096884001008,109.43433514109923,2751.789364278901,87999.99999999999,109999.99999999999,1.0,0.08197096884001008,0.0,29.831941643028475,0.0,109.43420075645162,1.0,0.6902159686444646,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.08197096884001008,0.0,0.0,0.0,-0.044490063488888884,0.0,0.0,0.0
