,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,-9.996036709507908e-14,199999.99999999968,29.833333333333336,-0.011666666666666665,9958.0,139.596,0.011666666666666665,-0.011666666666666665,0.011666666666666665,-9.996036709507908e-14,0.0,109.76266666666686,2755.914289856445,0.0,0.0,0.0,0.0,0.0,109.76266666666683,2755.914289856445,0.0,0.0,0.0,0.0,109.76266666666686,29.833333333333336,139.596,109.76266666666663,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.996036709507908e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.011666666666666665,0.0,0.0,0.0
1,1,0.0,199999.99999999962,29.83333333333333,-0.015191054530555555,9903.312203690379,139.57075947862634,0.015191054530555555,-0.015191054530555555,0.015191054530555555,0.0,0.0,109.73742614529303,2755.597402908104,0.0,0.0,0.0,0.0,0.0,109.73742614529303,2755.597402908104,0.0,0.0,0.0,0.0,109.73742614529303,29.83333333333333,139.57075947862634,109.737426145293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,0.0,199999.99999999965,29.833333333333336,-0.020721815683333332,9828.713667230415,139.5363293848756,0.020721815683333332,-0.020721815683333332,0.020721815683333332,0.0,0.0,109.70299605154226,2755.1650849505386,0.0,0.0,0.0,0.0,0.0,109.70299605154224,2755.1650849505386,0.0,0.0,0.0,0.0,109.70299605154226,29.83333333333333,139.5363293848756,109.70299605154224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020721815683333332,0.0,0.0,0.0
3,3,0.0,199999.99999999968,29.833333333333332,-0.03618098538444444,9698.462119846388,139.47621328608295,0.03618098538444444,-0.03618098538444444,0.03618098538444444,0.0,0.0,109.64287995274964,2754.410080623099,0.0,0.0,0.0,0.0,0.0,109.64287995274967,2754.410080623099,0.0,0.0,0.0,0.0,109.64287995274964,29.833333333333332,139.47621328608295,109.64287995274961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,199999.99999999965,29.833333333333332,-0.03261269932666667,9581.056402270387,139.4220260318171,0.03261269932666667,-0.03261269932666667,0.03261269932666667,0.0,0.0,109.5886926984838,2753.7293598825977,0.0,0.0,0.0,0.0,0.0,109.58869269848381,2753.7293598825977,0.0,0.0,0.0,0.0,109.5886926984838,29.83333333333333,139.4220260318171,109.58869269848381,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,199999.99999999965,29.833333333333332,-0.07031697765555554,9327.915282710388,139.30519166894325,0.07031697765555554,-0.07031697765555567,0.07031697765555554,0.0,0.0,109.47185833560992,2752.2610696620736,0.0,0.0,0.0,0.0,0.0,109.47185833560992,2752.2610696620736,0.0,0.0,0.0,0.0,109.47185833560992,29.833333333333332,139.30519166894325,109.47185833560992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555567,0.0,0.0,0.0
6,6,0.0,199999.99999999965,29.833333333333336,-0.09616290988888876,8981.728807110389,139.1454132955894,0.09616290988888887,-0.09616290988888887,0.09616290988888887,0.0,0.0,109.31207996225605,2750.2518209871187,0.0,0.0,0.0,0.0,0.0,109.31207996225604,2750.2518209871187,0.0,0.0,0.0,0.0,109.31207996225605,29.83333333333334,139.1454132955894,109.31207996225605,1.0,0.07357298277434086,-15522.0158970269,15522.015897026902,15522.015897026902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09616290988888887,15522.015897026902,-15522.0158970269,0.0
7,7,0.0,199999.99999999968,29.833333333333332,-0.06561084117777777,8745.529778870388,139.03639835947865,0.06561084117777777,-0.06561084117777777,0.06561084117777777,0.0,0.0,109.20306502614535,2748.880091006152,0.0,0.0,0.0,0.0,0.0,109.20306502614535,2748.880091006151,0.0,0.0,0.0,0.0,109.20306502614535,29.833333333333332,139.03639835947865,109.20306502614532,0.0,0.27945187048193765,-58957.19070380451,58957.19070380451,58957.19070380451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06561084117777777,58957.19070380451,-58957.19070380451,0.0
8,8,0.0,199999.99999999968,29.833333333333332,-0.04918644472777778,8568.45857785039,138.9546731897771,0.04918644472777778,-0.04918644472777778,0.04918644472777778,0.0,0.0,109.1213398564438,2747.8512978175618,0.0,0.0,0.0,0.0,0.0,109.1213398564438,2747.8512978175618,0.0,0.0,0.0,0.0,109.1213398564438,29.833333333333332,138.9546731897771,109.12133985644378,0.0,0.4971078908988494,-104877.03901765021,104877.03901765023,104877.03901765024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04918644472777778,104877.03901765023,-104877.03901765021,0.0
9,9,-0.07502146300604881,199729.9227331779,29.83288320455529,0.030531399517159663,8678.371616112165,139.00540228435946,0.044490063488888884,-0.044490063488888884,0.044490063488888884,-0.07502146300604881,0.07502146300604881,109.17263164418924,2748.4969898590157,80346.74660301424,100433.43325376781,1.0,0.0,0.0,109.17263164418924,2748.4969679574333,0.0,0.0,0.0,0.07502146300604881,109.17263164418924,29.83288320455529,139.00540228435946,109.17251907980416,1.0,0.6902159686444646,-145617.89985518472,45184.466601416934,45184.466601416934,0.0,0.0,0.0,0.0,0.0,0.0,-0.07502146300604881,0.07502146300604881,100433.43325376781,0.0,0.0,0.0,0.07502146300604881,-0.044490063488888884,45184.466601416934,-145617.89985518472,0.0
10,10,-0.13018856923926475,199261.24388391653,29.832102073139854,0.08393730831704797,8980.545926053537,139.14486735048624,0.04625126092222222,-0.04625126092222222,0.04625126092222222,-0.08150143754252441,0.0815014375425244,109.31310425861761,2750.2646773746123,87398.9983179969,109248.74789749611,1.0,-0.048687131696745684,0.04868713169674567,109.31310425861761,2750.264661252448,52210.200761968095,65262.75095246011,1.0,0.13018856923927005,109.31310425861761,29.832102073139854,139.14486735048624,109.31276527734643,1.0,0.8271725442451721,-174512.23121859864,0.7323686423967012,0.7323686423967011,0.0,0.0,0.0,0.0,0.0,0.0,-0.08150143754252441,0.0815014375425244,109248.74789749611,-0.04868713169674033,0.04868713169674567,65262.75095246011,0.13018856923927005,-0.04625126092222222,0.7323686423967012,-174512.23121859864,0.0
11,11,-0.1426149999819032,198747.82988398164,29.83124638313997,0.08999011830967689,9304.510351968373,139.29438939321616,0.05262488167222223,-0.05262488167222223,0.05262488167222223,-0.08106676063494248,0.08106676063494248,109.46354979005709,2752.1565664350587,87052.52062477513,108815.65078096894,1.0,-0.06154823934695695,0.06154823934695695,109.46354979005712,2752.1565559366,66092.7984274435,82615.99803430439,1.0,0.14261499998189944,109.46354979005709,29.83124638313997,139.29438939321616,109.46314301007621,1.0,0.9073690875066988,-191431.64881527328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08106676063494248,0.08106676063494248,108815.65078096894,-0.061548239346960715,0.06154823934695695,82615.99803430439,0.14261499998189944,-0.05262488167222223,0.0,-191431.64881527328,0.0
12,12,-0.14246244485192142,198234.96508251477,29.83039160847086,0.08600764567413206,9614.13787639525,139.4372944044901,0.05645479917777778,-0.05645479917777778,0.05645479917777778,-0.0732275506633489,0.0732275506633489,109.60730870650762,2753.9630394453734,78737.75221251146,98422.19026563934,1.0,-0.06923489418855701,0.06923489418855701,109.60730870650764,2753.9630373018254,74444.65381590814,93055.81726988518,1.0,0.1424624448519059,109.60730870650762,29.830391608470862,139.4372944044901,109.60690279601924,1.0,0.9075888237412905,-191478.00753552452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0732275506633489,0.0732275506633489,98422.19026563934,-0.06923489418857252,0.06923489418855701,93055.81726988518,0.1424624448519059,-0.05645479917777778,0.0,-191478.00753552452,0.0
13,13,-0.13124436703443257,197762.4853611908,29.829604142268646,0.07810553785662654,9895.317812679104,139.56706975969806,0.05313882917777778,-0.05313882917777778,0.05313882917777778,-0.05594594715872031,0.05594594715872031,109.7378101172697,2755.6019704511527,60227.37201449945,75284.21501812432,1.0,-0.07529841987568402,0.07529841987568402,109.7378101172697,2755.601981214653,81060.84059294048,101326.05074117563,1.0,0.13124436703440437,109.7378101172697,29.82960414226864,139.56706975969806,109.73746561742942,1.0,0.8371170424435377,-176610.26575929992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05594594715872031,0.05594594715872031,75284.21501812432,-0.07529841987571224,0.07529841987568402,101326.05074117563,0.13124436703440437,-0.05313882917777778,0.0,-176610.26575929992,0.0
14,14,-0.11005645901650098,197366.28210873142,29.828943803514555,0.05854928410538988,10106.09523545851,139.6643516471347,0.051507174911111106,-0.051507174911111106,0.051507174911111106,-0.06762853759552202,0.06762853759552204,109.83565009136079,2756.830169489927,72868.91413380086,91086.14266725109,1.0,-0.04242792142097894,0.04242792142097894,109.83565009136076,2756.8301597120144,45715.554749946685,57144.443437433365,1.0,0.11005645901650098,109.83565009136079,29.828943803514555,139.6643516471347,109.83540784362017,1.0,0.7025998704330214,-148230.58610468442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06762853759552202,0.06762853759552204,91086.14266725109,-0.04242792142097895,0.04242792142097894,57144.443437433365,0.11005645901650098,-0.051507174911111106,0.0,-148230.58610468442,0.0
15,15,-0.08120237128472628,197073.9535721064,29.828456589286844,0.028947125040298716,10210.304885603582,139.7124484087401,0.05225524624444444,-0.05225524624444444,0.05225524624444444,-0.042179930456068514,0.042179930456068514,109.88412369551715,2757.4386402371438,45468.41503822356,56835.51879777945,1.0,-0.03902244082867415,0.03902244082867415,109.88412369551715,2757.438637051631,42064.755750165605,52580.94468770701,1.0,0.08120237128474316,109.88412369551715,29.82845658928684,139.7124484087401,109.88399181945323,1.0,0.5186243614651183,-109416.46348548644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042179930456068514,0.042179930456068514,56835.51879777945,-0.039022440828657766,0.03902244082867415,52580.94468770701,0.08120237128474316,-0.05225524624444444,0.0,-109416.46348548644,0.0
16,16,0.0,197073.95357210634,29.828456589286844,-0.05533908173888878,10011.084191343583,139.62050039600473,0.055339081738888886,-0.055339081738888886,0.055339081738888886,0.0,0.0,109.79204380671788,2756.283064896742,0.0,0.0,0.0,0.0,0.0,109.79204380671788,2756.2830648967415,0.0,0.0,0.0,0.0,109.79204380671788,29.82845658928684,139.62050039600473,109.79204380671788,1.0,0.32243077805000214,-68024.63994063236,68024.63994063236,68024.63994063238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055339081738888886,68024.63994063236,-68024.63994063236,0.0
17,17,0.0,197073.95357210634,29.828456589286844,-0.060539685772222226,9793.141322563582,139.51991137964473,0.060539685772222226,-0.060539685772222226,0.060539685772222226,0.0,0.0,109.6914547903579,2755.020153101064,0.0,0.0,0.0,0.0,0.0,109.6914547903579,2755.020153101064,0.0,0.0,0.0,0.0,109.6914547903579,29.82845658928684,139.51991137964473,109.6914547903579,1.0,0.11917990763987955,-25143.909506379005,25143.90950637901,25143.90950637901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060539685772222226,25143.90950637901,-25143.909506379005,0.0
18,18,0.0,197073.95357210634,29.828456589286844,-0.006790106403888889,9768.696939509582,139.50862935669673,0.006790106403888889,-0.006790106403888889,0.006790106403888889,0.0,0.0,109.68017276740989,2754.8784693212774,0.0,0.0,0.0,0.0,0.0,109.6801727674099,2754.8784693212765,0.0,0.0,0.0,0.0,109.68017276740989,29.82845658928684,139.50862935669673,109.68017276740989,0.0,0.006622110122458065,-1397.0957098195167,1397.095709819517,1397.0957098195167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006790106403888889,1397.095709819517,-1397.0957098195167,0.0
19,19,0.0,197073.95357210634,29.828456589286844,-0.022238088677777778,9688.639820269584,139.4716799170475,0.022238088677777778,-0.022238088677777778,0.022238088677777778,0.0,0.0,109.64322332776068,2754.4143936931855,0.0,0.0,0.0,0.0,0.0,109.64322332776065,2754.4143936931846,0.0,0.0,0.0,0.0,109.64322332776068,29.82845658928684,139.4716799170475,109.64322332776065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022238088677777778,0.0,0.0,0.0
20,20,0.0,197073.95357210634,29.828456589286844,-0.024667756384444444,9599.835897285584,139.43069349105488,0.024667756384444444,-0.024667756384444444,0.024667756384444444,0.0,0.0,109.60223690176804,2753.8995230490477,0.0,0.0,0.0,0.0,0.0,109.60223690176805,2753.8995230490473,0.0,0.0,0.0,0.0,109.60223690176804,29.82845658928684,139.43069349105488,109.60223690176804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024667756384444444,0.0,0.0,0.0
21,21,0.0,197073.95357210634,29.828456589286844,-0.014273629191111109,9548.450832197586,139.40697730716812,0.014273629191111109,-0.014273629191111109,0.014273629191111109,0.0,0.0,109.57852071788126,2753.601556863127,0.0,0.0,0.0,0.0,0.0,109.57852071788126,2753.601556863127,0.0,0.0,0.0,0.0,109.57852071788126,29.82845658928684,139.40697730716812,109.57852071788129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014273629191111109,0.0,0.0,0.0
22,22,0.0,197073.95357210634,29.828456589286844,0.0,9548.450832197585,139.40697730716812,0.0,0.0,0.0,0.0,0.0,109.57852071788126,2753.601556863127,0.0,0.0,0.0,0.0,0.0,109.57852071788126,2753.601556863127,0.0,0.0,0.0,0.0,109.57852071788126,29.82845658928684,139.40697730716812,109.57852071788129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
