,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,0.0,199999.99999999997,29.833333333333332,-0.008333333333333408,9970.0,139.60153846153847,0.008333333333333333,-0.008333333333333333,0.008333333333333333,0.0,0.0,109.76820512820512,2755.9838186553625,0.0,0.0,0.0,0.0,0.0,109.76820512820512,2755.98381797496,0.0,0.0,0.0,-7.0785242015327754e-15,0.0,109.76820512820512,-7.641382960296709e-09,-3.820691480148354e-09,0.0,109.76820512820512,29.833333333333336,139.60153846153847,109.76820512820514,0.0,0.0,0.0,3.820691480148354e-09,3.820691480148354e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0785242015327754e-15,-3.820691480148354e-09,0.0,-0.008333333333333333,3.820691480148354e-09,0.0,0.0
1,1,0.0,200000.0,29.833333333333332,-0.010850753236111111,9930.937288350002,139.58350951769998,0.010850753236111111,-0.010850753236111111,0.010850753236111111,0.0,0.0,109.75017618436664,2755.7574802642357,0.0,0.0,0.0,0.0,0.0,109.75017618436664,2755.757478943472,0.0,0.0,0.0,-1.1043919968766987e-17,0.0,109.75017618436664,0.0,0.0,0.0,109.75017618436664,29.833333333333332,139.58350951769998,109.75017618436664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1043919968766987e-17,0.0,0.0,-0.010850753236111111,0.0,0.0,0.0
2,2,0.0,199999.99999999997,29.833333333333332,-0.014801296916666665,9877.652619449998,139.55891659359227,0.014801296916666666,-0.014801296916666666,0.014801296916666666,0.0,0.0,109.72558326025894,2755.4487065840285,0.0,0.0,0.0,0.0,0.0,109.72558326025896,2755.448706584029,0.0,0.0,0.0,-2.624213949712229e-19,0.0,109.72558326025894,0.0,0.0,0.0,109.72558326025894,29.833333333333332,139.55891659359227,109.72558326025897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.624213949712229e-19,0.0,0.0,-0.014801296916666666,0.0,0.0,0.0
3,3,0.0,199999.99999999997,29.833333333333336,-0.02584356098888889,9784.61579989,139.51597652302613,0.02584356098888889,-0.02584356098888889,0.02584356098888889,0.0,0.0,109.68264318969284,2754.909491788735,0.0,0.0,0.0,0.0,0.0,109.68264318969283,2754.9094917887355,0.0,0.0,0.0,-1.7076184216646697e-18,0.0,109.68264318969284,0.0,0.0,0.0,109.68264318969284,29.833333333333336,139.51597652302613,109.68264318969281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7076184216646697e-18,0.0,0.0,-0.02584356098888889,0.0,0.0,0.0
4,4,0.0,199999.99999999997,29.833333333333332,-0.023294785233333334,9700.75457305,139.4772713414077,0.023294785233333334,-0.023294785233333334,0.023294785233333334,0.0,0.0,109.64393800807436,2754.4233668763604,0.0,0.0,0.0,0.0,0.0,109.64393800807437,2754.4233662016486,0.0,0.0,0.0,-1.5156595799931637e-18,0.0,109.64393800807436,0.0,0.0,0.0,109.64393800807436,29.83333333333334,139.4772713414077,109.64393800807434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5156595799931637e-18,0.0,0.0,-0.023294785233333334,0.0,0.0,0.0
5,5,0.0,199999.99999999997,29.833333333333332,-0.050226412611111104,9519.939487650003,139.39381822506923,0.050226412611111104,-0.050226412611111104,0.050226412611111104,0.0,0.0,109.56048489201714,2753.3749317318325,0.0,0.0,0.0,0.0,0.0,109.56048489201712,2753.3749310904673,0.0,0.0,0.0,0.0,0.0,109.56048489201714,0.0,0.0,0.0,109.56048489201714,29.83333333333334,139.39381822506923,109.5604848917359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050226412611111104,0.0,0.0,0.0
6,6,0.0,199999.99999999997,29.833333333333332,-0.06868779277777777,9272.663433650001,139.27969081553078,0.06868779277777777,-0.06868779277777777,0.06868779277777777,0.0,0.0,109.44635748219744,2751.940489126883,0.0,0.0,0.0,0.0,0.0,109.44635748219744,2751.940481510581,0.0,0.0,0.0,-5.312590645178972e-18,0.0,109.44635748219744,0.0,0.0,0.0,109.44635748219744,29.833333333333332,139.27969081553078,109.44635748219746,0.0,0.07357298277434086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.312590645178972e-18,0.0,0.0,-0.06868779277777777,0.0,0.0,0.0
7,7,-0.04393135424655981,199841.84712471237,29.833069745207855,-0.0029335323090015288,9262.102717337595,139.2748166387712,0.046864886555555554,-0.046864886555555554,0.046864886555555554,0.0,0.0,109.44178549275145,2751.883009030871,0.0,0.0,0.0,-0.04393135424656312,0.043931354246553374,109.44178549275145,2751.883016310053,47165.7525630436,58957.1907038045,1.0,0.0,0.0,109.44178549275145,0.0,0.0,0.04393135424655338,109.44178549275145,29.83306974520785,139.2748166387712,109.44174689356332,1.0,0.27945187048193765,-58957.1907038045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04393135424656312,0.043931354246553374,58957.1907038045,0.0,0.0,0.0,0.04393135424655338,-0.046864886555555554,0.0,-58957.1907038045,0.0
8,8,-0.07809673066273842,199560.69889432652,29.832601164823878,0.04296355585717533,9416.771518423428,139.34620223927234,0.035133174805555556,-0.035133174805555556,0.035133174805555556,0.0,0.0,109.51372305643523,2752.7872853908793,0.0,0.0,0.0,-0.07809673066273842,0.07809673066273087,109.51372305643518,2752.7873083873355,83901.63121412016,104877.0390176502,1.0,0.0,0.0,109.51372305643523,0.0,0.0,0.07809673066273089,109.51372305643523,29.832601164823878,139.34620223927234,109.51360107444847,1.0,0.4971078908988494,-104877.03901765021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07809673066273842,0.07809673066273087,104877.0390176502,0.0,0.0,0.0,0.07809673066273089,-0.035133174805555556,0.0,-104877.03901765021,0.0
9,9,-0.08184899178225,199266.0425239104,29.832110070873185,0.0500703750044853,9597.024868439572,139.42939609312592,0.031778616777777775,-0.031778616777777775,0.031778616777777775,0.0,0.0,109.59742000739952,2753.83900699924,0.0,0.0,0.0,-0.08184899178225001,0.08184899178226311,109.59742000739952,2753.839032248909,88000.0,109999.99999999999,1.0,0.0,0.0,109.59742000739952,0.0,0.0,0.0818489917822631,109.59742000739952,29.83211007087319,139.42939609312592,109.59728602225276,1.0,0.6902159686444646,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08184899178225001,0.08184899178226311,109999.99999999999,0.0,0.0,0.0,0.0818489917822631,-0.031778616777777775,0.0,-109999.99999999999,0.0
