,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,-4.121147867408581e-13,199999.99999999852,29.833333333333332,-0.011666666666567682,9958.000000000357,139.59600000000017,0.011666666666666665,-0.0116666666666667,0.011666666666666665,0.0,0.0,109.76266666666685,2755.914289856445,0.0,0.0,0.0,0.0,0.0,109.76266666666685,2755.914289856445,0.0,0.0,0.0,1.2378986724570495e-14,109.76266666666756,29.833333333333332,139.59600000000069,109.76266666666683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011666666666666665,0.0,0.0,0.0
1,1,0.0,199999.99999999837,29.833333333333332,-0.015191054530555553,9903.312203690357,139.57075947862631,0.015191054530555555,-0.015191054530555628,0.015191054530555555,0.0,0.0,109.737426145293,2755.5974029081044,0.0,0.0,0.0,0.0,0.0,109.737426145293,2755.5974029081044,0.0,0.0,0.0,0.0,109.73742614529367,29.83333333333333,139.57075947862603,109.73742614529299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7347234759768044e-18,-0.015191054530555555,0.0,0.0,0.0
2,2,0.0,199999.99999999828,29.833333333333332,-0.02072181568333331,9828.713667230357,139.53632938487556,0.020721815683333332,-0.020721815683333356,0.020721815683333332,0.0,0.0,109.70299605154224,2755.1650849505395,0.0,0.0,0.0,0.0,0.0,109.70299605154223,2755.1650849505395,0.0,0.0,0.0,2.7755575615628914e-17,109.70299605154284,29.83333333333333,139.53632938487567,109.70299605154224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020721815683333332,0.0,0.0,0.0
3,3,0.0,199999.99999999636,29.83333333333333,-0.036180985384444364,9698.462119846356,139.47621328608295,0.03618098538444444,-0.036180985384444565,0.03618098538444444,0.0,0.0,109.64287995274962,2754.4100806230986,0.0,0.0,0.0,0.0,0.0,109.64287995274962,2754.4100806230986,0.0,0.0,0.0,8.326672684688674e-17,109.64287995275005,29.83333333333333,139.47621328608295,109.64287995274962,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,199999.99999999636,29.83333333333333,-0.03261269932666666,9581.056402270357,139.4220260318171,0.03261269932666667,-0.03261269932666667,0.03261269932666667,0.0,0.0,109.58869269848377,2753.7293598825977,0.0,0.0,0.0,0.0,0.0,109.5886926984838,2753.7293598825977,0.0,0.0,0.0,0.0,109.58869269848435,29.83333333333333,139.42202603181738,109.58869269848375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,199999.99999999627,29.83333333333333,-0.07031697765555545,9327.915282710355,139.30519166894325,0.07031697765555554,-0.07031697765555558,0.07031697765555554,0.0,0.0,109.47185833560992,2752.2610696620736,0.0,0.0,0.0,0.0,0.0,109.47185833560992,2752.2610696620736,0.0,0.0,0.0,1.1102230246251565e-16,109.47185833561007,29.83333333333333,139.30519166894362,109.47185833560992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199999.99999999627,29.83333333333333,-0.09616290988888876,8981.728807110356,139.1454132955894,0.09616290988888887,-0.096162909888889,0.09616290988888887,0.0,0.0,109.3120799622561,2750.2518209871187,0.0,0.0,0.0,0.0,0.0,109.31207996225612,2750.2518209871187,0.0,0.0,0.0,1.1102230246251565e-16,109.31207996225626,29.83333333333333,139.14541329558963,109.3120799622561,1.0,0.07357298277434086,-15522.0158970269,15522.015897026899,15522.015897026897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09616290988888887,15522.015897027006,-15522.015897027006,0.0
7,7,0.0,199999.99999999627,29.83333333333333,-0.06561084117777716,8745.52977887036,139.03639835947862,0.06561084117777777,-0.06561084117777798,0.06561084117777777,0.0,0.0,109.20306502614532,2748.8800910061505,0.0,0.0,0.0,0.0,0.0,109.20306502614532,2748.880091006151,0.0,0.0,0.0,0.0,109.2030650261453,29.83333333333333,139.03639835947845,109.20306502614531,0.0,0.27945187048193765,-58957.19070380451,58957.1907038045,58957.1907038045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06561084117777777,58957.19070380484,-58957.19070380484,0.0
8,8,0.0,199999.9999999982,29.833333333333332,-0.04918644472777778,8568.458577850359,138.95467318977708,0.04918644472777778,-0.049186444727777986,0.04918644472777778,0.0,0.0,109.12133985644377,2747.851297817561,0.0,0.0,0.0,0.0,0.0,109.12133985644377,2747.851297817561,0.0,0.0,0.0,0.0,109.12133985644405,29.83333333333333,138.95467318977705,109.12133985644375,0.0,0.4971078908988494,-104877.03901765021,104877.0390176502,104877.03901765018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9388939039072176e-18,-0.04918644472777778,104877.0390176508,-104877.0390176508,0.0
9,9,-0.07502093072579157,199729.92464938716,29.83288320774898,0.030530867236902695,8678.369699903207,139.0054013999553,0.044490063488888884,-0.044490063488889064,0.044490063488888884,-0.07502093072579157,0.07502093072579157,109.17263075435258,2748.496962431645,80346.1786408482,100432.72330106025,1.0,0.0,0.0,109.17263075435258,2748.496941180003,0.0,0.0,0.0,0.07502093072579157,109.18102786300196,29.83288320774899,139.01400855154537,109.17251819220631,1.0,0.6902159686444646,-145617.89985518472,45185.17655412449,45185.17655412449,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022101460972888706,0.0022101460972888706,2956.52644062902,0.0,0.07799101475216359,104329.07389034725,0.08020116084945451,-0.044490063488888884,38332.29952420895,-145617.89985518486,0.0
