,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,0.0,200000.0,29.833333333333336,-0.011666666666666665,9958.0,139.596,0.011666666666666665,-0.011666666666666665,0.011666666666666665,0.0,0.0,109.76266666666669,2755.914289773819,0.0,0.0,0.0,-8.042894171206878e-15,0.0,109.76266666666669,-8.682000270844446e-09,-4.341000135422222e-09,0.0,109.76266666666669,29.833333333333332,139.596,109.76266666666668,0.0,0.0,0.0,4.341000135422222e-09,4.341000135422222e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.042894171206878e-15,-4.341000135422222e-09,0.0,-0.011666666666666665,4.341000135422222e-09,0.0,0.0
1,1,0.0,199999.99999999997,29.833333333333336,-0.015191054530555557,9903.31220369,139.57075947862617,0.015191054530555555,-0.015191054530555555,0.015191054530555555,0.0,0.0,109.73742614529283,2755.597402722089,0.0,0.0,0.0,-4.836657390495561e-19,0.0,109.73742614529283,0.0,0.0,0.0,109.73742614529283,29.83333333333333,139.57075947862617,109.73742614529287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.836657390495561e-19,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,-0.027800000000000002,199899.92,29.833166533333337,0.007078184316666669,9928.79366723,139.58252015410616,0.020721815683333332,-0.020721815683333332,0.020721815683333332,-0.027800000000000002,0.0278,109.74936907757282,2755.747347769022,29930.628436097493,37413.28554512186,1.0,0.0,0.0,109.74936907757282,0.0,0.0,0.0278,109.74936907757282,29.833166533333333,139.58252015410616,109.74935362077282,1.0,0.0,0.0,-37413.285545121864,0.0,37413.285545121864,0.0,0.0,0.0,0.0,0.0,-0.027800000000000002,0.0278,37413.28554512186,0.0,0.0,0.0,0.0278,-0.020721815683333332,-37413.285545121864,0.0,0.0
3,3,0.0,199899.92000000004,29.833166533333337,-0.03618098538444444,9798.542119845999,139.52240405531353,0.03618098538444444,-0.03618098538444444,0.03618098538444444,0.0,0.0,109.6892375219802,2754.992308221917,0.0,0.0,0.0,0.0,0.0,109.6892375219802,0.0,0.0,0.0,109.6892375219802,29.833166533333333,139.52240405531353,109.6892375219802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,199899.92000000004,29.833166533333337,-0.03261269932666667,9681.136402269998,139.4682168010477,0.03261269932666667,-0.03261269932666667,0.03261269932666667,0.0,0.0,109.63505026771436,2754.3117312880554,0.0,0.0,0.0,-2.0136090738602855e-18,0.0,109.63505026771436,0.0,0.0,0.0,109.63505026771436,29.833166533333337,139.4682168010477,109.63505026771436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0136090738602855e-18,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,199899.91999999998,29.833166533333337,-0.07031697765555556,9427.995282709999,139.35138243817386,0.07031697765555554,-0.07031697765555554,0.07031697765555554,0.0,0.0,109.51821590484052,2752.8437513033723,0.0,0.0,0.0,-3.10343210404421e-17,0.0,109.51821590484052,0.0,0.0,0.0,109.51821590484052,29.833166533333333,139.35138243817386,109.5182159048405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.10343210404421e-17,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199899.92000000004,29.83316653333333,-0.09616290988888887,9081.80880711,139.19160406482004,0.09616290988888887,-0.09616290988888887,0.09616290988888887,0.0,0.0,109.35843753148671,2750.8349277644083,0.0,0.0,0.0,-4.455472711896425e-18,0.0,109.35843753148671,0.0,0.0,0.0,109.35843753148671,29.83316653333333,139.19160406482004,109.35843753148671,0.0,0.07357298277434086,-15522.0158970269,15522.015897026899,15522.015897026899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.455472711896425e-18,0.0,0.0,-0.09616290988888887,15522.015897026899,-15522.0158970269,0.0
7,7,-0.04288617253608808,199745.52977887008,29.832909216298116,-0.022724668641689694,8999.999999999916,139.15384615384613,0.06561084117777777,-0.06561084117777777,0.06561084117777777,-0.04288617253608807,0.04288617253608808,109.3209737220237,2750.363702195588,45992.790205399106,57490.98775674887,1.0,0.0,0.0,109.3209737220237,0.0,0.0,0.04288617253608807,109.3209737220237,29.832909216298123,139.15384615384613,109.32093693754803,1.0,0.27945187048193765,-58957.1907038045,1466.2029470556363,1466.2029470556367,0.0,0.0,0.0,0.0,0.0,0.0,-0.04288617253608807,0.04288617253608808,57490.98775674887,0.0,0.0,0.0,0.04288617253608807,-0.06561084117777777,1466.2029470556363,-58957.1907038045,0.0
8,8,-0.04918644472779387,199568.45857785005,29.832614097629754,1.6084823872844913e-14,8999.999999999975,139.15384615384616,0.04918644472777778,-0.04918644472777778,0.04918644472777778,-0.049186444727793883,0.04918644472779388,109.3212804422937,2750.367561029805,52749.59049944045,65936.98812430057,1.0,0.0,0.0,109.3212804422937,0.0,0.0,0.04918644472779387,109.3212804422937,29.832614097629754,139.15384615384616,109.3212320562164,1.0,0.4971078908988494,-104877.0390176502,38940.05089334965,38940.05089334965,0.0,0.0,0.0,0.0,0.0,0.0,-0.049186444727793883,0.04918644472779388,65936.98812430057,0.0,0.0,0.0,0.04918644472779387,-0.04918644472777778,38940.05089334965,-104877.0390176502,0.0
9,9,-0.044490141085008546,199408.294069944,29.832347156783243,7.759611965648992e-08,9000.000279346006,139.15384628277508,0.044490063488888884,-0.044490063488888884,0.044490063488888884,-0.04449014108500855,0.044490141085008546,109.32153871335812,2750.370807874185,47713.19400839736,59641.492510496704,1.0,0.0,0.0,109.32153871335812,0.0,0.0,0.04449014108500854,109.32153871335812,29.832347156783246,139.15384628277508,109.32149912599183,1.0,0.6902159686444646,-145617.89985518472,85976.40734468804,85976.40734468802,0.0,0.0,0.0,0.0,0.0,0.0,-0.04449014108500855,0.044490141085008546,59641.492510496704,0.0,0.0,0.0,0.04449014108500854,-0.044490063488888884,85976.40734468804,-145617.89985518472,0.0
