,t,ReservoirEbre.W0,ReservoirEbre.Wmin,ReservoirEbre.Wmax,ReservoirEbre.zmin,ReservoirEbre.zmax,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,ReservoirEbre.port_Q,ReservoirEbre.port_z,ReservoirEbre.c_W,ReservoirEbre.c_z,ReservoirEbre.port_Q_Q_insum,Reservoir1.W0,Reservoir1.Wmin,Reservoir1.Wmax,Reservoir1.zmin,Reservoir1.zmax,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Reservoir1.port_Q,Reservoir1.port_z,Reservoir1.c_W,Reservoir1.c_z,Reservoir1.c_W1min,Reservoir1.c_W1max,Reservoir1.port_Q_Q_insum,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Irrigation1.port_Qin,Irrigation1.port_Qout,Irrigation1.c_Qin,Irrigation1.c_Qout,Irrigation1.port_Qin_Q_outsum,Pump1.A,Pump1.B,Pump1.Qnom,Pump1.n_n,Pump1.eff,Pump1.eff_t,Pump1.S,Pump1.K,Pump1.Qin,Pump1.Qout,Pump1.Qoutp,Pump1.Qoutt,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.ModePump,Pump1.port_Qin,Pump1.port_Qout,Pump1.port_P,Pump1.port_H,Pump1.c_Q,Pump1.c_H,Pump1.c_Qout,Pump1.c_Ph,Pump1.c_Pe,Pump1.port_Qin_Q_outsum,Pump1.port_Qout_Q_outsum,Pump1.port_P_P_outsum,Pump2.A,Pump2.B,Pump2.Qnom,Pump2.n_n,Pump2.eff,Pump2.Qmin,Pump2.Qmax,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pump2.port_Qin,Pump2.port_Qout,Pump2.port_P,Pump2.port_H,Pump2.c_Q,Pump2.c_H,Pump2.c_Ph,Pump2.c_Pe,Pump2.c_Qmax,Pump2.c_Qmin,Pump2.port_Qin_Q_outsum,Pump2.port_Qout_Q_outsum,Pump2.port_P_P_outsum,Pipe1.K,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,Pipe1.port_Q,Pipe1.port_H,Pipe1.port_zlow,Pipe1.port_zhigh,Pipe1.c_H,Pipe1.c_H0,Pipe1.c_sign,Pipe1.port_Q_Q_outsum,Pipe1.port_Q_Q_insum,PV.Pinst,PV.forecast,PV.eff,PV.P,PV.Pdim,PV.port_P,PV.Constraint_P,PV.port_P_P_outsum,Grid.Pmax,Grid.P,Grid.Psell,Grid.Pbuy,Grid.port_P,Grid.c_P,Grid.c_P0,Grid.port_P_P_outsum,EB.P_bal,EB.port_P,EB.bal,EB.port_P_P_insum,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1c1_H_expanded.H_equality,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2c1_H_expanded.H_equality,p2eb_expanded.P,c1r1_Q_expanded.Q,c1r1_z_expanded.z_equality,c1r0_z_expanded.z_equality,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,0.10104361549077182,0.10104361549077182,0.10104361549077182,0.10104361549077182,0.10104361549077182,0.10104361549077182,200363.7570157668,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,-0.1164594084989587,12580.746129403748,140.8064982135707,140.8064982135707,140.8064982135707,140.8064982135707,140.8064982135707,140.8064982135707,140.8064982135707,140.8064982135707,140.8064982135707,-0.015415793008333293,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.0047560307689245495,0.10104361549056831,-0.10104361549052739,0.0,0.10104361549056831,110.97235442229973,0.0,-110000.0,-55000.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.97235442229973,2771.059059713472,1.2420075543984304e-11,1.5525094429980378e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10104361549052739,111.05894156385101,29.833939595026276,140.8924551588297,110.97255861854443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54999.999999999985,54999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04931026880731133,-0.049310268807313005,-0.049310268807313005,-72799.84237777538,0.0,0.0,0.0,0.0,-0.049310268807313005,-0.049310268807313005,-0.049310268807313005,-0.015415793008333333,72799.84237777538,0.0
1,1,-0.016212778288386256,-0.016212778288386256,-0.016212778288386256,-0.016212778288386256,-0.016212778288386256,-0.016212778288386256,200305.3910139286,29.833842318356545,29.833842318356545,29.833842318356545,29.833842318356545,29.833842318356545,29.833842318356545,29.833842318356545,29.833842318356545,29.833842318356545,29.833842318356545,29.833842318356545,-0.007383516847727749,12554.165468751362,140.7942302163468,140.7942302163468,140.7942302163468,140.7942302163468,140.7942302163468,140.7942302163468,140.7942302163468,140.7942302163468,140.7942302163468,-0.023596295136111067,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,1e-06,-0.016212778288386253,0.016212778288386253,0.016212778288386253,0.0,110.96039315490022,2770.9096280515905,17647.95535646507,22059.944195581334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,110.9603931549002,2770.908790606563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01621277828838336,111.08782469376726,29.83384231835654,140.92152281572692,110.96038789799023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-22059.944195581338,0.0,22059.944195581334,22059.944195581334,22059.944195581334,22059.944195581334,22059.944195581334,0.0,0.0,0.0,0.0,-0.035868678546318554,0.035868678546318554,0.035868678546318554,-7092.811332430807,0.0,0.0052220397224557276,0.0052220397224557276,7092.811332430807,0.0410907182687743,0.0410907182687743,0.0410907182687743,-0.023596295136111108,0.0,0.0
2,2,-0.027800000000000002,-0.027800000000000002,-0.027800000000000002,-0.027800000000000002,-0.027800000000000002,-0.027800000000000002,200205.31101392864,29.833675518356547,29.833675518356547,29.833675518356547,29.833675518356547,29.833675518356547,29.833675518356547,29.833675518356547,29.833675518356547,29.833675518356547,29.833675518356547,29.833675518356547,0.002347940025000001,12562.618052841362,140.7981314090037,140.7981314090037,140.7981314090037,140.7981314090037,140.7981314090037,140.7981314090037,140.7981314090037,140.7981314090037,140.7981314090037,-0.025452059974999962,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,1e-06,0.0,0.0,0.0,0.0,110.9644713474472,2770.9604806139955,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.027800000000000002,0.027800000000000002,110.96447134744717,2770.9582523333215,30262.00869693309,37827.51087116636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027800000000000002,111.1139197532092,29.833675518356543,140.94749293096794,110.96445589064717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-37827.510871166356,0.0,37827.510871166356,37827.510871166356,37827.510871166356,37827.510871166356,37827.510871166356,0.0,0.0,0.0,0.0,-0.03586055540757655,0.03586055540757655,0.03586055540757655,-7078.7492442309585,-0.0278,0.005221666518150345,0.005221666518150345,7078.7492442309585,0.041082221925727025,0.041082221925727025,0.041082221925727025,-0.025452059975,0.0,0.0
3,3,-0.1613857647710657,-0.1613857647710657,-0.1613857647710657,-0.1613857647710657,-0.1613857647710657,-0.1613857647710657,199624.32226075276,29.832707203767924,29.832707203767924,29.832707203767924,29.832707203767924,29.832707203767924,29.832707203767924,29.832707203767924,29.832707203767924,29.832707203767924,29.832707203767924,29.832707203767924,0.12140173057661961,12999.664282917194,140.99984505365407,140.99984505365407,140.99984505365407,140.99984505365407,140.99984505365407,140.99984505365407,140.99984505365407,140.99984505365407,140.99984505365407,-0.039984034194444455,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,1e-06,-0.08069288568861739,0.08069288568861739,0.08069288568861739,0.0,111.1676587571836,2773.496455846875,87999.99999999997,109999.99999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0806928790824474,0.08069287908244739,111.16765875718359,2773.4963717274945,88000.0,110000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16138576477106484,111.11600625580333,29.83270720376792,140.94933462386962,111.16713784988616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-220000.0,0.0,220000.0,220000.0,220000.0,220000.0,220000.0,0.0,0.0,0.0,0.0,-0.0358601478826351,0.0358601478826351,0.0358601478826351,-7078.043771648053,-0.0806928790824483,0.005232312595066565,0.005232312595066565,7078.043771648053,0.04109246047770166,0.04109246047770166,0.04109246047770166,-0.03998403419444444,0.0,0.0
4,4,-0.06012924142087743,-0.06012924142087743,-0.06012924142087743,-0.06012924142087743,-0.06012924142087743,-0.06012924142087743,199407.85699163761,29.832346428319394,29.832346428319394,29.832346428319394,29.832346428319394,29.832346428319394,29.832346428319394,29.832346428319394,29.832346428319394,29.832346428319394,29.832346428319394,29.832346428319394,5.3933726433384576e-05,12999.85844433235,140.99993466661493,140.99993466661493,140.99993466661493,140.99993466661493,140.99993466661493,140.99993466661493,140.99993466661493,140.99993466661493,140.99993466661493,-0.06007530769444431,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,1e-06,-0.022253485094473512,0.022253485094473516,0.02225348509447351,0.0,111.16766054872713,2773.496455794141,24268.643873464458,30335.804841830548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0378757563264039,0.037875756326403894,111.16766054872713,2773.4963131464483,41305.585608501664,51631.98201062708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06012924142087741,111.08477119712089,29.832346428319386,140.9178548394629,111.16758823829554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-81967.78685245762,0.0,81967.7868524576,81967.7868524576,81967.7868524576,81967.7868524576,81967.7868524576,0.0,0.0,0.0,0.0,-0.03587059802316302,0.03587059802316302,0.03587059802316302,-7096.134167795673,-0.037875756326403914,0.00525854313035338,0.00525854313035338,7096.134167795673,0.04112914115351644,0.04112914115351644,0.04112914115351644,-0.06007530769444444,0.0,0.0
5,5,-0.045997192282307635,-0.045997192282307635,-0.045997192282307635,-0.045997192282307635,-0.045997192282307635,-0.045997192282307635,199242.26709942133,29.832070445165705,29.832070445165705,29.832070445165705,29.832070445165705,29.832070445165705,29.832070445165705,29.832070445165705,29.832070445165705,29.832070445165705,29.832070445165705,29.832070445165705,-0.01645747066214077,12940.611549948646,140.97258994613014,140.97258994613014,140.97258994613014,140.97258994613014,140.97258994613014,140.97258994613014,140.97258994613014,140.97258994613014,140.97258994613014,-0.06245466294444444,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,1e-06,-0.018148124839019546,0.018148124839015768,0.018148124839015768,0.0,111.14056181545439,2773.158300794295,19786.688448453566,24733.360560566984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.02784906744328808,0.027849067443288085,111.1405618154544,2773.157128083109,30363.528992675947,37954.41124084494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04599719228230385,111.0496494728523,29.8320704451657,140.88248820191964,111.14051950096444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-62687.771801411924,0.0,62687.77180141191,62687.77180141191,62687.77180141191,62687.77180141191,62687.77180141191,0.0,0.0,0.0,0.0,-0.03588237145494285,0.03588237145494285,0.03588237145494285,-7116.515333421753,-0.027849067443288085,0.005286815190342663,0.005286815190342663,7116.515333421753,0.04116918664528553,0.04116918664528553,0.04116918664528553,-0.06245466294444445,0.0,0.0
6,6,-2.2421728689739707e-05,-2.2421728689739707e-05,-2.2421728689739707e-05,-2.2421728689739707e-05,-2.2421728689739707e-05,-2.2421728689739707e-05,199242.186381198,29.832070310635327,29.832070310635327,29.832070310635327,29.832070310635327,29.832070310635327,29.832070310635327,29.832070310635327,29.832070310635327,29.832070310635327,29.832070310635327,29.832070310635327,-0.0630358361046436,12713.68253997193,140.86785347998705,140.86785347998705,140.86785347998705,140.86785347998705,140.86785347998705,140.86785347998705,140.86785347998705,140.86785347998705,140.86785347998705,-0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,1e-06,-2.2421728689739704e-05,2.2421728689739707e-05,2.2421728689739697e-05,0.0,111.0357831693517,2771.8506472757417,24.417303901429747,30.521629876804887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,111.03578316935169,2771.845389200949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.242172868973971e-05,111.0047426345596,29.832070310635327,140.8373594066849,111.0357831693517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.52162987680489,0.0,30.521629876804894,30.521629876804894,30.521629876804894,30.521629876804894,30.521629876804894,0.0,0.0,0.0,0.0,-0.03589740884940889,0.03589740884941784,0.03589740884941784,-7142.546794181268,0.0,0.0,0.0,0.0,0.03589740884941784,0.03589740884941784,0.03589740884941784,-0.06305825783333334,7142.546794181268,0.0
7,7,-0.002366308003695982,-0.002366308003695982,-0.002366308003695982,-0.002366308003695982,-0.002366308003695982,-0.002366308003695982,199233.66767238473,29.832056112787306,29.832056112787306,29.832056112787306,29.832056112787306,29.832056112787306,29.832056112787306,29.832056112787306,29.832056112787306,29.832056112787306,29.832056112787306,29.832056112787306,-0.052587601468526236,12524.367174685234,140.78047715754704,140.78047715754704,140.78047715754704,140.78047715754704,140.78047715754704,140.78047715754704,140.78047715754704,140.78047715754704,140.78047715754704,-0.054953909472222236,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,1e-06,-0.0023663080036959824,0.002366308003695983,0.002366308003695982,0.00017373569351603288,110.94842115674803,2770.7598953375737,2575.498772027939,3219.3734650349215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,110.94842115674803,2770.759895323455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002366308003695983,110.8539588741149,29.832056112787303,140.68667436971398,110.94842104475973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3219.373465034922,-3219.373465034922,-3219.373465034922,-3219.373465034922,-3219.373465034922,-3219.373465034922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03573615907500728,-0.03573615907503675,-0.03573615907503675,-75636.59512639751,0.0,0.0,0.0,0.0,-0.03573615907503675,-0.03573615907503675,-0.03573615907503675,-0.05495390947222222,78855.96859143248,-3219.3734650349197
8,8,-0.007469438730969541,-0.007469438730969541,-0.007469438730969541,-0.007469438730969541,-0.007469438730969541,-0.007469438730969541,199206.77769295327,29.83201129615492,29.83201129615492,29.83201129615492,29.83201129615492,29.83201129615492,29.83201129615492,29.83201129615492,29.83201129615492,29.83201129615492,29.83201129615492,29.83201129615492,-0.0463898093523648,12357.363861016722,140.70339870508462,140.70339870508462,140.70339870508462,140.70339870508462,140.70339870508462,140.70339870508462,140.70339870508462,140.70339870508462,140.70339870508462,-0.05385924808333324,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,1e-06,-0.007469438730969541,0.007469438730968537,0.007469438730968536,0.00017373569351603296,110.87138852477952,2769.791495792033,8124.121969182337,10155.152461477932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,110.8713885247795,2769.7914956334353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007469438730968536,110.82431002697128,29.832011296154914,140.65692999232184,110.87138740892972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-10155.152461477932,-10155.152461477932,-10155.152461477932,-10155.152461477932,-10155.152461477932,-10155.152461477932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03595753946779923,0.03595753946781808,0.03595753946781808,-7246.639816141831,0.0,0.0,0.0,0.0,0.03595753946781808,0.03595753946781808,0.03595753946781808,-0.05385924808333333,17401.792277619767,-10155.152461477923
9,9,-0.01218558283147212,-0.01218558283147212,-0.01218558283147212,-0.01218558283147212,-0.01218558283147212,-0.01218558283147212,199162.90959475996,29.83193818265793,29.83193818265793,29.83193818265793,29.83193818265793,29.83193818265793,29.83193818265793,29.83193818265793,29.83193818265793,29.83193818265793,29.83193818265793,29.83193818265793,-0.0158352345296336,12300.357016710042,140.67708785386617,140.67708785386617,140.67708785386617,140.67708785386617,140.67708785386617,140.67708785386617,140.67708785386617,140.67708785386617,140.67708785386617,-0.028020817361111,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,1e-06,-0.012185582831472117,0.012185582831477517,0.012185582831477517,0.0,110.84515264021022,2769.4700188238253,13250.491591280841,16563.11448910103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,110.84515264021022,2769.4675036025233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012185582831477514,110.83770488986455,29.83193818265792,140.670110866799,110.84514967120826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-16563.11448910103,-16563.11448910103,-16563.11448910103,-16563.11448910103,-16563.11448910103,-16563.11448910103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03595375107403503,0.03595375107403419,0.03595375107403419,-7240.081670427932,0.0,0.0,0.0,0.0,0.03595375107403419,0.03595375107403419,0.03595375107403419,-0.028020817361111113,23803.196159528998,-16563.114489101044
