,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump1.K,Pump1.Qin,Pump1.Qout,Pump1.Qoutp,Pump1.Qoutt,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.ModePump,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,-1.8337929264326454e-09,199999.99999339835,29.833333333322333,-0.015415791174532347,12944.503151771683,140.97438607004847,-0.01541579300833461,0.015415793008333333,1e-06,-1.8337929264326454e-09,1.833800818704053e-09,1.8338008187040532e-09,0.00024817258443158555,111.14105273672617,2773.164518592284,0.0,0.0,1.0,0.0,0.0,111.14105273672618,2773.1643935786433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8338008187040532e-09,111.10990281042918,29.833333333322333,140.94341107731438,111.14105273672617,1.0,0.0,0.0,0.0,0.0,0.0,0.01864235490565507,-0.01864235490565507,-34338.877951664756,0.0,0.0,0.0,-0.018642354905654954,-0.015415793008333333,34338.877951664756,0.0
1,1,0.001465985964975283,200005.27754287227,29.833342129238122,-0.025062281101086395,12854.278939807775,140.93274412606513,-0.023596295136113218,0.023596295136111108,1e-06,0.001465985964975283,-0.001465985964975283,0.0,0.0014659859649752832,111.09940195384469,0.0,-1597.7566084558912,-798.878304227945,0.0,0.0,0.0,111.09940195384469,2772.6446286547816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001465985964975283,111.13890195970657,29.833342129238122,140.97241627055416,111.09940199682701,0.0,0.0,798.878304227945,798.878304227945,0.0,0.0,-0.035852150302979086,0.035852150302979086,-7064.199040678348,0.0,0.005200974094585426,7064.199040678348,0.04105312439756509,-0.023596295136111108,0.0,0.0
2,2,0.0,200005.27754287227,29.833342129238122,-0.025452059975000885,12762.65152389777,140.8904545494913,-0.025452059975002102,0.025452059975,1e-06,0.0,0.0,0.0,0.0,111.05711242025319,2772.1170335944416,0.0,0.0,1.0,0.0,0.0,111.0571124202532,2772.1170660556904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.16489250019131,29.833342129238126,140.99828217056333,111.05711242025319,1.0,0.0,0.0,0.0,0.0,0.0,-0.03584402947286124,0.03584402947286124,-7050.140948971789,0.0,0.005175470324752183,7050.140948971789,0.04101949979761532,-0.025452059975,0.0,0.0
3,3,-0.10591416644504688,199623.98654367012,29.832706644239455,0.06593013225060257,12999.99999999994,140.99999999999997,-0.0399840341944454,0.03998403419444444,1e-06,-0.039457944784041354,0.039457944784041354,0.039457944784041354,0.0,111.16751771197329,2773.4946784018557,43030.986671791514,53788.7333397394,1.0,-0.06645622166100554,0.06645622166100566,111.16751771197326,2773.4946010537265,72474.05259897595,90592.56574871994,1.0,0.0,0.0,0.0,0.0,0.0,0.105914166445047,111.1668547114929,29.832706644239458,141.00000000000426,111.1672933557605,1.0,0.0,-144381.29908845935,0.0,144381.29908845935,0.0,-0.0358436270448317,0.0358436270448317,-7049.444299730994,-0.06645622166100554,0.005174285979523147,7049.444299730994,0.04101791302435839,-0.03998403419444444,0.0,0.0
4,4,-0.06007530769445711,199407.71543597008,29.83234619239328,0.0,12999.99999999994,140.99999999999997,-0.06007530769444888,0.06007530769444444,1e-06,-0.032033635535190196,0.032033635535190196,0.0320336355351902,0.0,111.16772598845859,2773.4972706521785,34934.44138891823,43668.0517361478,1.0,-0.028041672159254242,0.028041672159254242,111.16772598845856,2773.497129094552,30580.93291674394,38226.166145929914,1.0,0.0,0.0,0.0,0.0,0.0,0.06007530769444444,111.13551328914905,29.83234619239329,140.96841425185207,111.1676538076067,1.0,0.0,-81894.21788207772,0.0,81894.21788207772,0.0,-0.035854071392489036,0.035854071392489036,-7067.524667753328,-0.028041672159266916,0.005211295285015482,7067.524667753328,0.04106536667749404,-0.06007530769444444,0.0,0.0
5,5,-0.062454662944433664,199182.8786493701,29.831971464415616,0.0,12999.99999999994,140.99999999999997,-0.062454662944448854,0.06245466294444445,1e-06,-0.062454662944433664,0.06245466294443367,0.062454662944433685,0.0,111.16810654728282,2773.5020269652923,68110.45102604943,85138.06378256177,1.0,0.0,0.0,111.16810654728283,2773.5018090451704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062454662944444454,111.10030746692978,29.83197146441562,140.93296384044848,111.16802853558438,1.0,0.0,-85138.06378256179,0.0,85138.06378256179,0.0,-0.03586583107172073,0.03586583107172073,-7087.882026135566,0.0,0.0052529361201474395,7087.882026135566,0.04111876719186898,-0.06245466294444445,0.0,0.0
6,6,-0.00018281857386051736,199182.2205025042,29.83197036750417,-0.0628754392594699,12773.648418665849,140.89553003938425,-0.06305825783333491,0.06305825783333334,1e-06,-0.00018281857386051733,0.00018281857386051733,0.00018281857386051733,0.0,111.0635596718801,2772.1972844175007,199.18672638480544,248.98340798101884,1.0,0.0,0.0,111.0635596718801,2772.1972843599574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018281857386338605,111.05537293750459,29.831970367504177,140.88780750872493,111.06355967188009,1.0,0.0,-248.98340798101884,0.0,248.9834079810189,0.0,-0.03588083596237015,0.03588083596235589,-7113.857219008104,0.0,0.0,0.0,0.03588083596235589,-0.06305825783333334,7113.857219008104,0.0
7,7,-0.002365715551685111,199173.70392651812,29.83195617321087,-0.052588193920536264,12584.33092055192,140.80815273256246,-0.054953909472228675,0.05495390947222222,1e-06,-0.002365715551685111,0.002365715551685111,0.0023657155516851104,0.06379055488932882,110.97619667128377,2771.1069711928053,2575.49877202795,3219.373465034922,1.0,0.0,0.0,110.97619667128377,2771.1069711656737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00236571555168511,110.90456148991953,29.831956173210877,140.73709488412874,110.97619655935158,1.0,-3219.373465034922,0.0,0.0,0.0,0.0,0.035752762742102935,-0.03575276274209792,-75607.85226750429,0.0,0.0,0.0,-0.03575276274209792,-0.05495390947222222,78827.22573253841,-3219.373465035235
8,8,-0.007467567690422609,199146.82068283256,29.83191136780472,-0.046391680392910715,12417.320871137443,140.73107117129422,-0.053859248083340125,0.05385924808333333,1e-06,-0.007467567690422609,0.007467567690422609,0.007467567690422611,0.032431267791545,110.89916091877214,2770.14501200739,8124.121969182344,10155.152461477932,1.0,0.0,0.0,110.89916091877215,2770.1450117618015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007467567690422611,110.87488491724174,29.83191136780472,140.70732286625312,110.89915980348952,1.0,-10155.152461477932,0.0,0.0,0.0,0.0,-0.035940903994406435,0.035940903994409516,-7217.841896798041,0.0,0.0,0.0,0.035940903994409516,-0.05385924808333333,17372.994358275675,-10155.15246147799
9,9,-0.012182531710926058,199102.96356867327,29.831838272614455,-0.015838285650185052,12360.303042796777,140.7047552505216,-0.02802081736111508,0.028020817361111113,1e-06,-0.012182531710926056,0.012182531710926058,0.01218253171092606,0.0,110.87291994541631,2769.817196473652,13250.491591280817,16563.11448910103,1.0,0.0,0.0,110.87291994541631,2769.817195888156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01218253171092606,110.88825197529378,29.83183827261446,140.7204760358,110.87291697790714,1.0,-16563.11448910103,0.0,0.0,0.0,0.0,-0.03593707681144075,0.03593707681143387,-7211.216602580435,0.0,0.0,0.0,0.03593707681143387,-0.028020817361111113,23774.331091682423,-16563.1144891015
