,t,ReservoirEbre.W0,ReservoirEbre.Wmin,ReservoirEbre.Wmax,ReservoirEbre.zmin,ReservoirEbre.zmax,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,ReservoirEbre.port_Q,ReservoirEbre.port_z,ReservoirEbre.c_W,ReservoirEbre.c_z,ReservoirEbre.port_Q_Q_insum,Reservoir1.W0,Reservoir1.Wmin,Reservoir1.Wmax,Reservoir1.zmin,Reservoir1.zmax,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Reservoir1.port_Q,Reservoir1.port_z,Reservoir1.c_W,Reservoir1.c_z,Reservoir1.port_Q_Q_insum,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Irrigation1.port_Qin,Irrigation1.port_Qout,Irrigation1.c_Qin,Irrigation1.c_Qout,Irrigation1.port_Qin_Q_outsum,Pump1.A,Pump1.B,Pump1.Qnom,Pump1.n_n,Pump1.eff,Pump1.eff_t,Pump1.S,Pump1.K,Pump1.Qin,Pump1.Qout,Pump1.Qoutp,Pump1.Qoutt,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.ModePump,Pump1.port_Qin,Pump1.port_Qout,Pump1.port_P,Pump1.port_H,Pump1.c_Q,Pump1.c_H,Pump1.c_Qout,Pump1.c_Ph,Pump1.c_Pe,Pump1.port_Qin_Q_outsum,Pump1.port_Qout_Q_outsum,Pump1.port_P_P_outsum,Pump2.A,Pump2.B,Pump2.Qnom,Pump2.n_n,Pump2.eff,Pump2.Qmin,Pump2.Qmax,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pump2.port_Qin,Pump2.port_Qout,Pump2.port_P,Pump2.port_H,Pump2.c_Q,Pump2.c_H,Pump2.c_Ph,Pump2.c_Pe,Pump2.c_Qmax,Pump2.c_Qmin,Pump2.port_Qin_Q_outsum,Pump2.port_Qout_Q_outsum,Pump2.port_P_P_outsum,Pipe1.K,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,Pipe1.port_Q,Pipe1.port_H,Pipe1.port_zlow,Pipe1.port_zhigh,Pipe1.c_H,Pipe1.c_H0,Pipe1.c_sign,Pipe1.port_Q_Q_outsum,Pipe1.port_Q_Q_insum,PV.Pinst,PV.forecast,PV.eff,PV.P,PV.Pdim,PV.port_P,PV.Constraint_P,PV.port_P_P_outsum,Grid.Pmax,Grid.P,Grid.Psell,Grid.Pbuy,Grid.port_P,Grid.c_P,Grid.c_P0,Grid.port_P_P_outsum,EB.P_bal,EB.port_P,EB.bal,EB.port_P_P_insum,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1c1_H_expanded.H_equality,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2c1_H_expanded.H_equality,p2eb_expanded.P,c1r1_Q_expanded.Q,c1r1_z_expanded.z_equality,c1r0_z_expanded.z_equality,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,0.0,0.0,0.0,0.0,0.0,0.10104361549025834,200363.75701576498,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,29.833939595026276,-0.11645940849859168,12580.746129405068,140.8064982135716,140.8064982135716,140.8064982135716,140.8064982135716,140.8064982135716,140.8064982135716,140.8064982135716,-0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.015415793008333333,0.004756030768895327,0.10104361549025832,-0.10104361549025834,0.0,0.10104361549025834,110.97235442230067,0.0,-110000.00000000001,-55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.97235442230067,2771.0590597134837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10104361549025835,110.97235442230067,29.83393959502628,140.8064982135716,110.97255861854529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54999.99999999999,55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10104361549025832,-0.10104361549025834,-0.10104361549025834,-55000.0,0.0,0.0,0.0,0.0,-0.10104361549025835,-0.10104361549025835,-0.10104361549025835,-0.015415793008333333,54999.99999999999,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.10123337726567205,200728.1971739214,29.83454699528987,29.83454699528987,29.83454699528987,29.83454699528987,29.83454699528987,29.83454699528987,29.83454699528987,29.83454699528987,29.83454699528987,29.83454699528987,29.83454699528987,-0.12482967240178318,12131.35930875865,140.59908891173478,140.59908891173478,140.59908891173478,140.59908891173478,140.59908891173478,140.59908891173478,140.59908891173478,-0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.023596295136111108,0.0047828768639557075,0.10123337726567207,-0.10123337726567207,0.0,0.10123337726567207,110.76433695251146,0.0,-110000.0,-55000.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.76433695251146,2768.460666836726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10123337726567208,110.76433695251146,29.834546995289873,140.59908891173478,110.7645419164449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,55000.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10123337726567207,-0.10123337726567207,-0.10123337726567207,-55000.00000000001,0.0,0.0,0.0,0.0,-0.10123337726567208,-0.10123337726567208,-0.10123337726567208,-0.023596295136111108,55000.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.10142697813479333,201093.33429520665,29.835155557158682,29.835155557158682,29.835155557158682,29.835155557158682,29.835155557158682,29.835155557158682,29.835155557158682,29.835155557158682,29.835155557158682,29.835155557158682,29.835155557158682,-0.12687903810979329,11674.594771563392,140.38827450995234,140.38827450995234,140.38827450995234,140.38827450995234,140.38827450995234,140.38827450995234,140.38827450995234,-0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.025452059975,0.00481037000245483,0.10142697813479333,-0.10142697813479332,0.0,0.10142697813479332,110.55291320415579,0.0,-110000.0,-55000.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.5529132041558,2765.817220247095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1014269781347933,110.55291320415579,29.83515555715868,140.38827450995234,110.55311895279365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10142697813479333,-0.10142697813479332,-0.10142697813479332,-55000.00000000001,0.0,0.0,0.0,0.0,-0.1014269781347933,-0.1014269781347933,-0.1014269781347933,-0.025452059975,55000.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.10164389639819707,201459.2523222401,29.83576542053707,29.83576542053707,29.83576542053707,29.83576542053707,29.83576542053707,29.83576542053707,29.83576542053707,29.83576542053707,29.83576542053707,29.83576542053707,29.83576542053707,-0.1416279305926415,11164.734221429884,140.15295425604455,140.15295425604455,140.15295425604455,140.15295425604455,140.15295425604455,140.15295425604455,140.15295425604455,-0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.03998403419444444,0.004841299356322539,0.10164389639819706,-0.10164389639819706,0.0,0.10164389639819706,110.31698220587401,0.0,-110000.0,-55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.316982205874,2762.8643752012204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10164389639819706,110.31698220587401,29.835765420537076,140.15295425604455,110.3171888355075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54999.99999999999,54999.999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10164389639819706,-0.10164389639819706,-0.10164389639819706,-55000.0,0.0,0.0,0.0,0.0,-0.10164389639819706,-0.10164389639819706,-0.10164389639819706,-0.03998403419444444,54999.99999999999,0.0
4,4,0.0,0.0,0.0,0.0,0.0,0.10189302852070141,201826.06722491464,29.836376778708193,29.836376778708193,29.836376778708193,29.836376778708193,29.836376778708193,29.836376778708193,29.836376778708193,29.836376778708193,29.836376778708193,29.836376778708193,29.836376778708193,-0.16196833621514586,10581.648211055359,139.88383763587169,139.88383763587169,139.88383763587169,139.88383763587169,139.88383763587169,139.88383763587169,139.88383763587169,-0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.06007530769444444,0.0048769851735759595,0.1018930285207014,-0.1018930285207014,0.0,0.10189302852070141,110.04725321337828,0.0,-110000.0,-55000.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.04725321337828,2759.4846529069387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10189302852070141,110.04725321337828,29.836376778708185,139.88383763587169,110.04746085716351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,54999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1018930285207014,-0.1018930285207014,-0.1018930285207014,-55000.00000000001,0.0,0.0,0.0,0.0,-0.10189302852070141,-0.10189302852070141,-0.10189302852070141,-0.06007530769444444,55000.0,0.0
5,5,0.0,0.0,0.0,0.0,0.0,0.10214745831958666,202193.79807486513,29.836989663458112,29.836989663458112,29.836989663458112,29.836989663458112,29.836989663458112,29.836989663458112,29.836989663458112,29.836989663458112,29.836989663458112,29.836989663458112,29.836989663458112,-0.1646021212640311,9989.080574504847,139.6103448805407,139.6103448805407,139.6103448805407,139.6103448805407,139.6103448805407,139.6103448805407,139.6103448805407,-0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.06245466294444445,0.004913610388830436,0.10214745831958666,-0.10214745831958665,0.0,0.10214745831958666,109.77314653501779,0.0,-110000.0,-55000.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.77314653501777,2756.04583182658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10214745831958663,109.77314653501779,29.836989663458116,139.6103448805407,109.77335521708261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,54999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10214745831958666,-0.10214745831958665,-0.10214745831958665,-55000.00000000001,0.0,0.0,0.0,0.0,-0.10214745831958663,-0.10214745831958663,-0.10214745831958663,-0.06245466294444445,55000.0,0.0
6,6,0.0,0.0,0.0,0.0,0.0,0.10240450072309605,202562.4542774683,29.837604090462445,29.837604090462445,29.837604090462445,29.837604090462445,29.837604090462445,29.837604090462445,29.837604090462445,29.837604090462445,29.837604090462445,29.837604090462445,29.837604090462445,-0.1654627585564294,9393.414643701703,139.33542214324694,139.33542214324694,139.33542214324694,139.33542214324694,139.33542214324694,139.33542214324694,139.33542214324694,-0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.06305825783333334,0.004950797425454387,0.10240450072309604,-0.10240450072309602,0.0,0.10240450072309602,109.49760831914914,0.0,-110000.0,-55000.000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.49760831914915,2752.584701396772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10240450072309602,109.49760831914914,29.83760409046245,139.33542214324694,109.49781805278448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.00000000001,55000.00000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10240450072309604,-0.10240450072309602,-0.10240450072309602,-55000.000000000015,0.0,0.0,0.0,0.0,-0.10240450072309602,-0.10240450072309602,-0.10240450072309602,-0.06305825783333334,55000.00000000001,0.0
7,7,-3219.3734650349197,-3219.3734650349197,-3219.3734650349197,-3219.3734650349197,-3219.3734650349197,0.10265057012245674,202931.9963299091,29.83821999388318,29.83821999388318,29.83821999388318,29.83821999388318,29.83821999388318,29.83821999388318,29.83821999388318,29.83821999388318,29.83821999388318,29.83821999388318,29.83821999388318,-0.15760447959467894,8826.03851716086,139.07355623868963,139.07355623868963,139.07355623868963,139.07355623868963,139.07355623868963,139.07355623868963,139.07355623868963,-0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.05495390947222222,0.00498657230064097,0.10265057012245674,-0.10265057012245672,0.0,0.10265057012245672,109.23512550201556,0.0,-110000.0,-54999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.23512550201555,2749.283516860649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10265057012245672,109.23512550201556,29.838219993883186,139.07355623868963,109.23533624480648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3219.373465034922,-3219.373465034922,-3219.373465034922,-3219.373465034922,-3219.373465034922,-3219.373465034922,58219.37346503491,58219.37346503491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10265057012245674,-0.10265057012245672,-0.10265057012245672,-54999.99999999999,0.0,0.0,0.0,0.0,-0.10265057012245672,-0.10265057012245672,-0.10265057012245672,-0.05495390947222222,58219.37346503491,-3219.373465034922
8,8,-10155.152461477923,-10155.152461477923,-10155.152461477923,-10155.152461477923,-10155.152461477923,0.10289649475666773,203302.4237110331,29.838837372851728,29.838837372851728,29.838837372851728,29.838837372851728,29.838837372851728,29.838837372851728,29.838837372851728,29.838837372851728,29.838837372851728,29.838837372851728,29.838837372851728,-0.1567557428400011,8261.717842936854,138.81310054289395,138.81310054289395,138.81310054289395,138.81310054289395,138.81310054289395,138.81310054289395,138.81310054289395,-0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.05385924808333333,0.005022497904877645,0.10289649475666775,-0.10289649475666775,0.0,0.10289649475666775,108.97405141637535,0.0,-109999.99999999991,-54999.99999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.97405141637537,2745.996191380419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10289649475666775,108.97405141637535,29.838837372851724,138.81310054289395,108.9742631700422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10155.152461477932,-10155.152461477932,-10155.152461477932,-10155.152461477932,-10155.152461477932,-10155.152461477932,65155.152461477905,65155.152461477905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10289649475666775,-0.10289649475666775,-0.10289649475666775,-54999.99999999998,0.0,0.0,0.0,0.0,-0.10289649475666775,-0.10289649475666775,-0.10289649475666775,-0.05385924808333333,65155.152461477905,-10155.152461477932
9,9,-16563.114489101044,-16563.114489101044,-16563.114489101044,-16563.114489101044,-16563.114489101044,0.1031032111264095,203673.59527108818,29.83945599211848,29.83945599211848,29.83945599211848,29.83945599211848,29.83945599211848,29.83945599211848,29.83945599211848,29.83945599211848,29.83945599211848,29.83945599211848,29.83945599211848,-0.13112402848752056,7789.671340381781,138.59523292633006,138.59523292633006,138.59523292633006,138.59523292633006,138.59523292633006,138.59523292633006,138.59523292633006,-0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.028020817361111113,0.005052828958390889,0.10310321112640948,-0.10310321112640948,0.1112,0.10310321112640947,108.75556432891612,0.0,-109999.99999999991,-54999.99999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.75556432891612,2743.2420231703372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10310321112640948,108.75556432891612,29.839455992118484,138.59523292633006,108.75577693421155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16563.11448910103,-16563.11448910103,-16563.11448910103,-16563.11448910103,-16563.11448910103,-16563.11448910103,71563.11448910099,71563.11448910099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10310321112640948,-0.10310321112640948,-0.10310321112640948,-54999.99999999997,0.0,0.0,0.0,0.0,-0.10310321112640948,-0.10310321112640948,-0.10310321112640948,-0.028020817361111113,71563.11448910099,-16563.11448910103
