,t,B0w.Q,B0w.W,B0w.z,B1w.Q,B1w.W,B1w.z,B3w.Q,B3w.W,B3w.z,Irrigation1w.Qin,Irrigation1w.Qout,Irrigation3w.Qin,Irrigation3w.Qout,Pump4w.Qin,Pump4w.Qout,Pump4w.H,Pump4w.Hfix,Pump4w.Ph,Pump4w.Pe,Pump4w.PumpOn,Pump7w.Qin,Pump7w.Qout,Pump7w.H,Pump7w.Hfix,Pump7w.Ph,Pump7w.Pe,Pump7w.PumpOn,Pump8w.Qin,Pump8w.Qout,Pump8w.H,Pump8w.Hfix,Pump8w.Ph,Pump8w.Pe,Pump8w.PumpOn,Pipe0w.Q,Pipe0w.H,Pipe0w.zlow,Pipe0w.zhigh,Pipe0w.Qp,Pipe0w.Qn,Pipe2w.Q,Pipe2w.H,Pipe2w.zlow,Pipe2w.zhigh,Pipe2w.Qp,Pipe2w.Qn,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,B0s.Q,B0s.W,B0s.z,B1s.Q,B1s.W,B1s.z,B3s.Q,B3s.W,B3s.z,Irrigation1s.Qin,Irrigation1s.Qout,Irrigation3s.Qin,Irrigation3s.Qout,Pump4s.Qin,Pump4s.Qout,Pump4s.H,Pump4s.Hfix,Pump4s.Ph,Pump4s.Pe,Pump4s.PumpOn,Pump7s.Qin,Pump7s.Qout,Pump7s.H,Pump7s.Hfix,Pump7s.Ph,Pump7s.Pe,Pump7s.PumpOn,Pump8s.Qin,Pump8s.Qout,Pump8s.H,Pump8s.Hfix,Pump8s.Ph,Pump8s.Pe,Pump8s.PumpOn,Pipe0s.Q,Pipe0s.H,Pipe0s.zlow,Pipe0s.zhigh,Pipe0s.Qp,Pipe0s.Qn,Pipe2s.Q,Pipe2s.H,Pipe2s.zlow,Pipe2s.zhigh,Pipe2s.Qp,Pipe2s.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBgs.P_bal,p4r1w_expanded.Q,p4ebw_expanded.P,p7r0w_expanded.Q,p7c0_Qw_expanded.Q,p7ebw_expanded.P,p8r0w_expanded.Q,p8c2_Qw_expanded.Q,p8ebw_expanded.P,c0r1_Qw_expanded.Q,c2r3_Qw_expanded.Q,r3i3w_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,p4r1s_expanded.Q,p4ebs_expanded.P,p7r0s_expanded.Q,p7c0_Qs_expanded.Q,p7ebs_expanded.P,p8r0s_expanded.Q,p8c0_Qs_expanded.Q,p8ebs_expanded.P,c0r1_Qs_expanded.Q,c2r3_Qs_expanded.Q,r3i3s_expanded.Q,r1i1s_expanded.Q,gridebs_expanded.P,pvebs_expanded.P
0,0,-2.443514682024571e-11,119999999.99999991,130.0,-0.06240214407418526,119775.35228133293,338.5810817260055,-0.013497528044785897,69951.40889903877,419.74259818798697,-0.062402143999365084,0.062402143999365084,-0.01349752814404122,0.01349752814404122,-9.925532320028725e-11,9.925532320028725e-11,81.16151646198144,80,7.902654009433976e-05,9.637382938334119e-05,0.0,-1.2224116947790858e-11,1.2224116947790858e-11,208.5810817260055,204.5,2.5012748649292892e-05,2.7128794630469517e-05,0.0,-1.2211029872454852e-11,1.2211029872454852e-11,208.5810817260055,204.5,2.4985970132093493e-05,2.712917495341313e-05,0.0,2.443514682024571e-11,208.5810817260055,130.0,338.5810817260055,6.555572155781781e-09,6.5311370089615355e-09,9.925532320028725e-11,81.16151646198144,338.5810817260055,419.74259818798697,7.144565131756683e-09,7.045309808556396e-09,0.0,-3.3341167422023895e-09,-0.00015062846485048155,2.2740180970126226e-05,0.0001733686458206078,0,-1.7084501179749857e-11,119999999.99999994,130.0,-0.21471496067545587,119227.02614156836,338.571135101598,-0.02039742910321396,69926.56925522843,419.7405589997021,-0.21471495415532224,0.21471495415532224,-0.020397435640432095,0.020397435640432095,-6.537218133313012e-09,6.537218133313012e-09,81.16942389810407,80,0.0052054040741102165,0.006348053748914898,0.0,-8.546835357604991e-12,8.546835357604991e-12,208.571135101598,204.5,1.7487533121736468e-05,1.896695566348858e-05,0.0,-8.537665822144866e-12,8.537665822144866e-12,208.571135101598,204.5,1.746877149262339e-05,1.8967178602196952e-05,0.0,1.7084501179749857e-11,208.571135101598,130.0,338.571135101598,6.5279435471748085e-09,6.5108590459950596e-09,6.537218133313012e-09,81.16942389810407,338.571135101598,419.7405589997021,1.0850679960898573e-08,4.313461827585561e-09,0.0,-3.334444637667143e-09,-0.006385984548735946,2.3567325653582313e-05,0.006409551874389529,0,-9.925532320028725e-11,9.637382938334119e-05,-1.2224116947790858e-11,1.2224116947790858e-11,2.7128794630469517e-05,-1.2211029872454852e-11,1.2211029872454852e-11,2.712917495341313e-05,2.443514682024571e-11,9.925532320028725e-11,-0.01349752814404122,-0.062402143999365084,-0.00015062846485048155,-3.3341167422023895e-09,-6.537218133313012e-09,0.006348053748914898,-8.546835357604991e-12,8.546835357604991e-12,1.896695566348858e-05,-8.537665822144866e-12,8.537665822144866e-12,1.8967178602196952e-05,1.7084501179749857e-11,6.537218133313012e-09,-0.020397435640432095,-0.21471495415532224,-0.006385984548735946,-3.334444637667143e-09
1,1,-2.5284862156063272e-11,119999999.99999982,130.0,-0.06508137345992002,119541.05933687722,338.57683165702133,-0.01021027044569026,69914.65192543429,419.7395806571989,-0.065081373372183,0.065081373372183,-0.010210270558712122,0.010210270558712122,-1.1302186262990694e-10,1.1302186262990694e-10,81.1627490001776,80,8.998874931820523e-05,0.00010974237721732348,0.0,-1.2649205954320608e-11,1.2649205954320608e-11,208.57683165702133,204.5,2.5882030062118228e-05,2.807161611943409e-05,0.0,-1.2635656201742662e-11,1.2635656201742662e-11,208.57683165702133,204.5,2.5854305388741646e-05,2.8071992821652167e-05,0.0,2.5284862156063272e-11,208.57683165702133,130.0,338.57683165702133,6.555114096180302e-09,6.529829234024239e-09,1.1302186262990694e-10,81.1627490001776,338.57683165702133,419.7395806571989,7.150224925624382e-09,7.0372030629944745e-09,0.0,-3.3340906150002092e-09,-0.00016588265206779468,2.1895624367362878e-05,0.00018777827643515752,0,-1.727113744126444e-11,119999999.99999988,130.0,-0.20715832273028587,118481.25617973934,338.5576068504957,-0.01988187948771934,69854.99448907263,419.7346831334558,-0.20715831463607,0.20715831463607,-0.01988188759920635,0.01988188759920635,-8.111487009774433e-09,8.111487009774433e-09,81.17707628296009,80,0.006459559305651625,0.00787751134835564,0.0,-8.640178652611808e-12,8.640178652611808e-12,208.55760685049566,204.5,1.7677374578818033e-05,1.9172857460757087e-05,0.0,-8.63095878865263e-12,8.63095878865263e-12,208.55760685049566,204.5,1.765851119701483e-05,1.917319348210079e-05,0.0,1.727113744126444e-11,208.55760685049566,130.0,338.5576068504957,2.3235889360986693e-08,2.3218618223545427e-08,8.111487009774433e-09,81.17707628296009,338.5576068504957,419.7346831334558,2.296759085009844e-08,1.485610384032401e-08,0.0,-3.3344317642785582e-09,-0.007915854064866732,2.3264944630872496e-05,0.007939119009497604,0,-1.1302186262990694e-10,0.00010974237721732348,-1.2649205954320608e-11,1.2649205954320608e-11,2.807161611943409e-05,-1.2635656201742662e-11,1.2635656201742662e-11,2.8071992821652167e-05,2.5284862156063272e-11,1.1302186262990694e-10,-0.010210270558712122,-0.065081373372183,-0.00016588265206779468,-3.3340906150002092e-09,-8.111487009774433e-09,0.00787751134835564,-8.640178652611808e-12,8.640178652611808e-12,1.9172857460757087e-05,-8.63095878865263e-12,8.63095878865263e-12,1.917319348210079e-05,1.727113744126444e-11,8.111487009774433e-09,-0.01988188759920635,-0.20715831463607,-0.007915854064866732,-3.3344317642785582e-09
2,2,-2.5271541847411274e-11,119999999.99999973,130.0,-0.06193802277347073,119318.08245489273,338.5727868611675,-0.011611098620747976,69872.8519703996,419.73614912737247,-0.06193802268596858,0.06193802268596858,-0.011611098733521659,0.011611098733521659,-1.127736813962711e-10,1.127736813962711e-10,81.16336226620496,80,8.979182425196306e-05,0.00010950222469751592,0.0,-1.2642542282238062e-11,1.2642542282238062e-11,208.57278686116751,204.5,2.5867893615572698e-05,2.805628374790965e-05,0.0,-1.262899956517321e-11,1.262899956517321e-11,208.57278686116751,204.5,2.584018387519939e-05,2.8056660016503135e-05,0.0,2.5271541847411274e-11,208.57278686116751,130.0,338.5727868611675,6.554912653284208e-09,6.529641111436797e-09,1.127736813962711e-10,81.16336226620496,338.5727868611675,419.73614912737247,7.150325417252544e-09,7.037551735856273e-09,0.0,-3.3340910693314305e-09,-0.0001656118343708594,2.089362853915429e-05,0.00018650546291001368,0,-0.3179999900113295,119998855.20003584,129.9999904600003,-0.13416147335894876,117998.27487564713,338.5488455800049,0.2047301833350295,70592.02314907874,419.79518884040385,-0.2239438802435821,0.2239438802435821,-0.023487399791666665,0.023487399791666665,-0.22821758312669616,0.22821758312669616,81.56494180224864,80,182608.77362145216,222693.62636762456,1.0,-0.3179999900028563,0.3179999900028563,211.37021454276163,204.5,659386.2731538129,715169.4936592331,1.0,-8.47326900118273e-12,8.47326900118273e-12,211.37021454276163,204.5,1.756967749631884e-05,1.907673995257203e-05,0.0,0.3179999900113295,211.37021454276163,129.9999904600003,338.5488455800049,0.3179999900113295,0.0,0.22821758312669616,81.56494180224864,338.5488455800049,419.79518884040385,0.22821758312669616,2.6668696187329196e-41,0.0,-3.334416523881281e-09,-937863.1200459311,2.36988517907278e-05,937863.1200696299,0,-1.127736813962711e-10,0.00010950222469751592,-1.2642542282238062e-11,1.2642542282238062e-11,2.805628374790965e-05,-1.262899956517321e-11,1.262899956517321e-11,2.8056660016503135e-05,2.5271541847411274e-11,1.127736813962711e-10,-0.011611098733521659,-0.06193802268596858,-0.0001656118343708594,-3.3340910693314305e-09,-0.22821758312669616,222693.62636762456,-0.3179999900028563,0.3179999900028563,715169.4936592331,-8.47326900118273e-12,8.47326900118273e-12,1.907673995257203e-05,0.3179999900113295,0.22821758312669616,-0.023487399791666665,-0.2239438802435821,-937863.1200459311,-3.334416523881281e-09
3,3,-2.560826642851532e-11,119999999.99999964,130.0,-0.054303548763513315,119122.58967934408,338.5692406264146,-0.011693759414211633,69830.75443650843,419.73269316807665,-0.054303548670504936,0.054303548670504936,-0.011693759532828281,0.011693759532828281,-1.1861664734259764e-10,1.1861664734259764e-10,81.16345254166207,80,9.44441723121538e-05,0.0001151758198928705,0.0,-1.2810995795136322e-11,1.2810995795136322e-11,208.5692406264146,204.5,2.6212120510315877e-05,2.842963178993045e-05,0.0,-1.2797270633379e-11,1.2797270633379e-11,208.5692406264146,204.5,2.6184037947511268e-05,2.8430008629219617e-05,0.0,2.560826642851532e-11,208.5692406264146,130.0,338.5692406264146,6.554588220715355e-09,6.528979954286839e-09,1.1861664734259764e-10,81.16345254166207,338.5692406264146,419.73269316807665,7.152912782098396e-09,7.034296134755798e-09,0.0,-3.334081184961305e-09,-0.00017203212623083557,2.0845126754625887e-05,0.00019287725298546143,0,-1.7040059468721802e-11,119998855.20003578,129.9999904600003,-0.2131783037259174,117230.83298223381,338.5349242005288,-0.02218778075373572,70512.1471383653,419.7886314909293,-0.21317829802099872,0.21317829802099872,-0.022187786475694447,0.022187786475694447,-5.721958726855782e-09,5.721958726855782e-09,81.2537072904005,80,0.004560966826709918,0.005562154666719412,0.0,-8.524603159284108e-12,8.524603159284108e-12,208.53493374052846,204.5,1.7439016814646447e-05,1.8914334939963608e-05,0.0,-8.515456309437694e-12,8.515456309437694e-12,208.53493374052846,204.5,1.7420304850547698e-05,1.8914554669432897e-05,0.0,1.7040059468721802e-11,208.53493374052846,129.9999904600003,338.5349242005288,6.537138569213862e-09,6.5200985097451395e-09,5.721958726855782e-09,81.2537072904005,338.5349242005288,419.7886314909293,1.0335085510512123e-08,4.613126783656341e-09,0.0,-3.3344483242928645e-09,-0.0055999802218804845,2.3477256416318966e-05,0.005623457478296803,0,-1.1861664734259764e-10,0.0001151758198928705,-1.2810995795136322e-11,1.2810995795136322e-11,2.842963178993045e-05,-1.2797270633379e-11,1.2797270633379e-11,2.8430008629219617e-05,2.560826642851532e-11,1.1861664734259764e-10,-0.011693759532828281,-0.054303548670504936,-0.00017203212623083557,-3.334081184961305e-09,-5.721958726855782e-09,0.005562154666719412,-8.524603159284108e-12,8.524603159284108e-12,1.8914334939963608e-05,-8.515456309437694e-12,8.515456309437694e-12,1.8914554669432897e-05,1.7040059468721802e-11,5.721958726855782e-09,-0.022187786475694447,-0.21317829802099872,-0.0055999802218804845,-3.3344483242928645e-09
4,4,-2.4439479719559043e-11,119999999.99999955,130.0,-0.058255978216387845,118912.86815776509,338.5654362825141,-0.012040160974726632,69787.40985699941,419.72913483368905,-0.05825597814155971,0.05825597814155971,-0.012040161073994254,0.012040161073994254,-9.92676217283202e-11,9.92676217283202e-11,81.16369855117495,80,7.903845706562729e-05,9.638836227515521e-05,0.0,-1.2226284681223562e-11,1.2226284681223562e-11,208.56543628251407,204.5,2.5015307710796002e-05,2.7131570185245117e-05,0.0,-1.2213195038335482e-11,1.2213195038335482e-11,208.56543628251407,204.5,2.4988525948943802e-05,2.7131949998853206e-05,0.0,2.4439479719559043e-11,208.56543628251407,130.0,338.5654362825141,6.554711441470059e-09,6.5302719617504995e-09,9.92676217283202e-11,81.16369855117495,338.5654362825141,419.72913483368905,7.145124738247044e-09,7.045857116518723e-09,0.0,-3.3341167282228796e-09,-0.00015064854834252538,2.1153329817323896e-05,0.00017180187815984927,0,-1.6185798559692932e-11,119998855.20003572,129.9999904600003,-0.2146863551656312,116457.96210363755,338.520904339378,-0.028883944992469827,70408.16493639241,419.7800951652994,-0.21468635495603286,0.21468635495603286,-0.028883945218253965,0.028883945218253965,-2.2578413865569896e-10,2.2578413865569896e-10,81.25919082592142,80,0.00017998442710990856,0.0002194932037925714,0.0,-8.09725411312561e-12,8.09725411312561e-12,208.52091387937764,204.5,1.6563663378810997e-05,1.796492774274511e-05,0.0,-8.08854444656732e-12,8.08854444656732e-12,208.52091387937764,204.5,1.6545846970557316e-05,1.7965089001690896e-05,0.0,1.6185798559692935e-11,208.52091387937764,129.9999904600003,338.520904339378,6.553838776679252e-09,6.537652978119558e-09,2.2578413865569896e-10,81.25919082592142,338.520904339378,419.7800951652994,7.1520142667011435e-09,6.9262301280454445e-09,0.0,-3.334523730517249e-09,-0.00025541988601327685,2.6209403385569975e-05,0.00028162928939884683,0,-9.92676217283202e-11,9.638836227515521e-05,-1.2226284681223562e-11,1.2226284681223562e-11,2.7131570185245117e-05,-1.2213195038335482e-11,1.2213195038335482e-11,2.7131949998853206e-05,2.4439479719559043e-11,9.92676217283202e-11,-0.012040161073994254,-0.05825597814155971,-0.00015064854834252538,-3.3341167282228796e-09,-2.2578413865569896e-10,0.0002194932037925714,-8.09725411312561e-12,8.09725411312561e-12,1.796492774274511e-05,-8.08854444656732e-12,8.08854444656732e-12,1.7965089001690896e-05,1.6185798559692935e-11,2.2578413865569896e-10,-0.028883945218253965,-0.21468635495603286,-0.00025541988601327685,-3.334523730517249e-09
5,5,-2.1613337623598252e-11,119999999.99999948,130.0,-0.06232136216835304,118688.511253959,338.561366453094,-0.013433844619783366,69739.0480163682,419.7251646117486,-0.06232136212288106,0.06232136212288106,-0.013433844686868689,0.013433844686868689,-6.708532370369621e-11,6.708532370369621e-11,81.16379815865456,80,5.341446578702688e-05,6.513959242320353e-05,0.0,-1.0812445184031794e-11,1.0812445184031794e-11,208.56136645309402,204.5,2.2122122337779446e-05,2.399362509520548e-05,0.0,-1.080089243956646e-11,1.080089243956646e-11,208.56136645309402,204.5,2.2098485572732384e-05,2.3994012565398897e-05,0.0,2.1613337623598256e-11,208.56136645309402,130.0,338.561366453094,6.555084730110268e-09,6.53347139248667e-09,6.708532370369621e-11,81.16379815865456,338.561366453094,419.7251646117486,7.127850404846609e-09,7.060765081142913e-09,0.0,-3.3342187877060126e-09,-0.0001131238958650202,2.2103805991372695e-05,0.00013522770185639288,0,-1.5519629978335282e-11,119998855.20003566,129.9999904600003,-0.27514027364809174,115467.45711850442,338.50293660020526,-0.03708030133312717,70274.67585159314,419.7691364985827,-0.2751402735210441,0.2751402735210441,-0.037080301475694445,0.037080301475694445,-1.4256727490057826e-10,1.4256727490057826e-10,81.26619989837742,80,0.00011365768545721466,0.00013860693348440812,0.0,-7.763995264570627e-12,7.763995264570627e-12,208.50294614020495,204.5,1.5880583846605848e-05,1.722406057115602e-05,0.0,-7.755634713764657e-12,7.755634713764657e-12,208.50294614020495,204.5,1.586348305976175e-05,1.7224194418850976e-05,0.0,1.551962997833528e-11,208.50294614020495,129.9999904600003,338.50293660020526,6.554551462560393e-09,6.539031832582058e-09,1.4256727490057826e-10,81.26619989837742,338.50293660020526,419.7691364985827,7.130328962031911e-09,6.987761687131333e-09,0.0,-3.334572197065104e-09,-0.00017305185390221805,2.6476649304264284e-05,0.00019952850320648232,0,-6.708532370369621e-11,6.513959242320353e-05,-1.0812445184031794e-11,1.0812445184031794e-11,2.399362509520548e-05,-1.080089243956646e-11,1.080089243956646e-11,2.3994012565398897e-05,2.1613337623598256e-11,6.708532370369621e-11,-0.013433844686868689,-0.06232136212288106,-0.0001131238958650202,-3.3342187877060126e-09,-1.4256727490057826e-10,0.00013860693348440812,-7.763995264570627e-12,7.763995264570627e-12,1.722406057115602e-05,-7.755634713764657e-12,7.755634713764657e-12,1.7224194418850976e-05,1.551962997833528e-11,1.4256727490057826e-10,-0.037080301475694445,-0.2751402735210441,-0.00017305185390221805,-3.334572197065104e-09
6,6,-1.891487459794395e-11,119999999.9999994,130.0,-0.07804693663218937,118407.54228208313,338.55626968197424,-0.021717395519489202,69660.86539249803,419.71874627934847,-0.07804693660290196,0.07804693660290196,-0.02171739556769148,0.02171739556769148,-4.820228028010287e-11,4.820228028010287e-11,81.16247659737425,80,3.8378843327070616e-05,4.680346747203734e-05,0.0,-9.462502782192576e-12,9.462502782192576e-12,208.55626968197421,204.5,1.9359684607497247e-05,2.0997488728305038e-05,0.0,-9.452371815751373e-12,9.452371815751373e-12,208.55626968197421,204.5,1.9338957288352897e-05,2.0997782072044406e-05,0.0,1.891487459794395e-11,208.55626968197421,130.0,338.55626968197424,6.5549800296104405e-09,6.536065155012496e-09,4.820228028010287e-11,81.16247659737425,338.55626968197424,419.71874627934847,7.117065094123295e-09,7.068862813843192e-09,0.0,-3.334346311298876e-09,-8.879540392607548e-05,2.4296950581712902e-05,0.00011309235450778838,0,-1.966448040432903e-11,119998855.20003559,129.9999904600003,-0.40482488106378495,114010.08754667478,338.47649994744944,-0.05496772230866055,70076.79205128197,419.752891405439,-0.40482487116988775,0.40482487116988775,-0.054967732222222225,0.054967732222222225,-9.913561673394222e-09,9.913561673394222e-09,81.27639145798953,80,0.007904294874446634,0.009639383993227602,0.0,-9.837484607813721e-12,9.837484607813721e-12,208.47650948744914,204.5,2.0119176485911556e-05,2.182123263114052e-05,0.0,-9.826995796515305e-12,9.826995796515305e-12,208.47650948744914,204.5,2.0097725245675565e-05,2.1821634360125474e-05,0.0,1.9664480404329025e-11,208.47650948744914,129.9999904600003,338.47649994744944,8.578732624109136e-09,8.559068143704807e-09,9.913561673394222e-09,81.27639145798953,338.47649994744944,419.752891405439,1.3202869073876684e-08,3.289307400482463e-09,0.07357298277434086,-38033.5538181702,38033.54413514334,38033.54414935213,1.4208790061750233e-05,0,-4.820228028010287e-11,4.680346747203734e-05,-9.462502782192576e-12,9.462502782192576e-12,2.0997488728305038e-05,-9.452371815751373e-12,9.452371815751373e-12,2.0997782072044406e-05,1.891487459794395e-11,4.820228028010287e-11,-0.02171739556769148,-0.07804693660290196,-8.879540392607548e-05,-3.334346311298876e-09,-9.913561673394222e-09,0.009639383993227602,-9.837484607813721e-12,9.837484607813721e-12,2.182123263114052e-05,-9.826995796515305e-12,9.826995796515305e-12,2.1821634360125474e-05,1.9664480404329025e-11,9.913561673394222e-09,-0.054967732222222225,-0.40482487116988775,38033.54413514334,-38033.5538181702
7,7,-2.1336818034818678e-11,119999999.99999933,130.0,-0.07830285603122067,118125.65200037074,338.5511561983137,-0.03250685914695458,69543.840699569,419.7091392421188,-0.07830285598773618,0.07830285598773618,-0.03250685921177588,0.03250685921177588,-6.482130617283538e-11,6.482130617283538e-11,81.15798304380509,80,5.160811904355483e-05,6.293673054092052e-05,0.0,-1.0674115068791103e-11,1.0674115068791103e-11,208.5511561983137,204.5,2.1838031572499247e-05,2.368550062093194e-05,0.0,-1.0662702966027576e-11,1.0662702966027576e-11,208.5511561983137,204.5,2.1814683701612305e-05,2.3685867211305443e-05,0.0,2.1336818034818684e-11,208.5511561983137,130.0,338.5511561983137,6.612208244793683e-09,6.590871426758865e-09,6.482130617283538e-11,81.15798304380509,338.5511561983137,419.7091392421188,7.068285716505752e-09,7.003464410332916e-09,0.07477177315670108,-38653.26851189398,38653.268401585876,38653.26841417632,1.2590436291940773e-05,0,-2.2305094608467066e-11,119998855.20003551,129.9999904600003,-0.432120497061397,112454.45375725377,338.4482807838955,-0.07205412581048175,69817.39719836424,419.73159661758865,-0.4321204871203743,0.4321204871203743,-0.07205413577380952,0.07205413577380952,-9.96332776949455e-09,9.96332776949455e-09,81.28331583369321,80,0.007944651238042437,0.009688599070783458,0.0,-1.115850925190167e-11,1.115850925190167e-11,208.44829032389515,204.5,2.2817787048074332e-05,2.474814213457086e-05,0.0,-1.1146585356565399e-11,1.1146585356565399e-11,208.44829032389515,204.5,2.279340414006893e-05,2.474853869714325e-05,0.0,2.2305094608467066e-11,208.44829032389515,129.9999904600003,338.4482807838955,1.6774253758963636e-08,1.675194866435517e-08,9.96332776949455e-09,81.28331583369321,338.4482807838955,419.73159661758865,1.3189151427597669e-08,3.2258236581031203e-09,0.27945187048193765,-144462.6458819004,144462.63614380462,144462.63615848724,1.4682615765397736e-05,0,-6.482130617283538e-11,6.293673054092052e-05,-1.0674115068791103e-11,1.0674115068791103e-11,2.368550062093194e-05,-1.0662702966027576e-11,1.0662702966027576e-11,2.3685867211305443e-05,2.1336818034818684e-11,6.482130617283538e-11,-0.03250685921177588,-0.07830285598773618,38653.268401585876,-38653.26851189398,-9.96332776949455e-09,0.009688599070783458,-1.115850925190167e-11,1.115850925190167e-11,2.474814213457086e-05,-1.1146585356565399e-11,1.1146585356565399e-11,2.474853869714325e-05,2.2305094608467066e-11,9.96332776949455e-09,-0.07205413577380952,-0.4321204871203743,144462.63614380462,-144462.6458819004
8,8,-2.2705323467041263e-11,119999999.99999924,130.0,-0.09533610099020302,117782.44203680601,338.54493037694044,-0.04344462594573283,69387.44004616437,419.69629967072234,-0.09533610093524937,0.09533610093524937,-0.04344462602339181,0.04344462602339181,-7.765897844263931e-11,7.765897844263931e-11,81.1513692937819,80,6.18239192218682e-05,7.539502344130268e-05,0.0,-1.1358734927731718e-11,1.1358734927731718e-11,208.5449303769404,204.5,2.3237992595657226e-05,2.5203896524574e-05,0.0,-1.1346588539309547e-11,1.1346588539309547e-11,208.5449303769404,204.5,2.321314320124718e-05,2.5204281434578914e-05,0.0,2.270532346704126e-11,208.5449303769404,130.0,338.54493037694044,6.587397737778654e-09,6.5646924143116125e-09,7.765897844263931e-11,81.1513692937819,338.54493037694044,419.69629967072234,7.056922667224895e-09,6.979263688782256e-09,0.2358591708815945,-121927.39959799901,121927.39947219582,121927.39948508728,1.2891477385445254e-05,0,-2.5505106534953115e-11,119998855.20003542,129.99999046000028,-0.4976559740904201,110662.89225052825,338.4157818966128,-0.08885822727104291,69497.50758018848,419.7053355662302,-0.49765596413949337,0.49765596413949337,-0.08885823724747476,0.08885823724747476,-9.976431855918466e-09,9.976431855918466e-09,81.28955366961736,80,0.007955710786205855,0.009702086324641286,0.0,-1.2759387330376668e-11,1.2759387330376668e-11,208.41579143661258,204.5,2.6087319103771157e-05,2.8294272346823378e-05,0.0,-1.2745719204576445e-11,1.2745719204576445e-11,208.41579143661258,204.5,2.6059373815328354e-05,2.829465126528594e-05,0.0,2.5505106534953115e-11,208.41579143661258,129.99999046000028,338.4157818966128,2.1154319375704704e-08,2.112881426916975e-08,9.976431855918466e-09,81.28955366961736,338.4157818966128,419.7053355662302,1.3132010688320815e-08,3.155578832402347e-09,0.4971078908988494,-256979.92676037893,256979.91700170367,256979.9170101533,8.449619433470213e-06,0,-7.765897844263931e-11,7.539502344130268e-05,-1.1358734927731718e-11,1.1358734927731718e-11,2.5203896524574e-05,-1.1346588539309547e-11,1.1346588539309547e-11,2.5204281434578914e-05,2.270532346704126e-11,7.765897844263931e-11,-0.04344462602339181,-0.09533610093524937,121927.39947219582,-121927.39959799901,-9.976431855918466e-09,0.009702086324641286,-1.2759387330376668e-11,1.2759387330376668e-11,2.8294272346823378e-05,-1.2745719204576445e-11,1.2745719204576445e-11,2.829465126528594e-05,2.5505106534953115e-11,9.976431855918466e-09,-0.08885823724747476,-0.49765596413949337,256979.91700170367,-256979.92676037893
9,9,-2.641348562543004e-11,119999999.99999915,129.99999999999997,-0.10953995494933136,117388.09819898842,338.5377769881856,-0.04247170646882145,69234.5419028766,419.6837476347532,-0.1095399548418131,0.1095399548418131,-0.0424717066027532,0.0424717066027532,-1.3393174475506698e-10,1.3393174475506698e-10,81.1459706465676,80,0.00010661529021237327,0.00013001864660045517,0.0,-1.321381685908446e-11,1.321381685908446e-11,208.5377769881856,204.5,2.703223973450232e-05,2.9319132033082785e-05,0.0,-1.3199668766345578e-11,1.3199668766345578e-11,208.5377769881856,204.5,2.7003296194662014e-05,2.9319539842195457e-05,0.0,2.6413485625430034e-11,208.5377769881856,129.99999999999997,338.5377769881856,6.583858242472406e-09,6.557444756846976e-09,1.3393174475506698e-10,81.1459706465676,338.5377769881856,419.6837476347532,7.077923943207209e-09,6.943992198452142e-09,0.3846877203897489,-198864.31903419842,198864.3188455411,198864.31885359148,8.050388606159753e-06,0,-2.744074898609592e-11,119998855.20003532,129.99999046000028,-0.7515780235727844,107957.21136566623,338.3667009034292,0.1652691565642982,70092.47654381995,419.7541790097896,-0.4960717799525936,0.4960717799525936,-0.09023708708333333,0.09023708708333333,-0.2555062436476315,0.2555062436476315,81.78682344050551,80,205000.0,250000.0,1.0,-1.3727718134396579e-11,1.3727718134396579e-11,208.36671044342893,204.5,2.806051879675497e-05,3.043440216567785e-05,0.0,-1.3713030851699341e-11,1.3713030851699341e-11,208.36671044342893,204.5,2.803049685369319e-05,3.0434850004009988e-05,0.0,2.744074898609592e-11,208.36671044342893,129.99999046000028,338.3667009034292,2.3268360193517573e-08,2.324091944453148e-08,0.2555062436476315,81.78682344050551,338.3667009034292,419.7541790097896,0.2555062436476315,9.200775598567114e-41,0.6902159686444646,-356807.14854851185,106807.14604313442,106807.14605175726,8.62283906423726e-06,0,-1.3393174475506698e-10,0.00013001864660045517,-1.321381685908446e-11,1.321381685908446e-11,2.9319132033082785e-05,-1.3199668766345578e-11,1.3199668766345578e-11,2.9319539842195457e-05,2.6413485625430034e-11,1.3393174475506698e-10,-0.0424717066027532,-0.1095399548418131,198864.3188455411,-198864.31903419842,-0.2555062436476315,250000.0,-1.3727718134396579e-11,1.3727718134396579e-11,3.043440216567785e-05,-1.3713030851699341e-11,1.3713030851699341e-11,3.0434850004009988e-05,2.744074898609592e-11,0.2555062436476315,-0.09023708708333333,-0.4960717799525936,106807.14604313442,-356807.14854851185
