,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,-0.062200783663966495,199776.07717880973,29.83296012863135,0.04678499065562785,10168.42596636026,139.69311967678166,-0.015415793008333333,0.015415793008333333,-0.06220078366397559,0.06220078366397198,109.86023692690007,2757.138926382638,67035.57603467433,83794.47004334294,1.0,0.0,0.0,109.86023692690007,0.0,0.0,0.06220078366396091,109.86023692690007,29.832960128631356,139.69311967678166,109.8601595481503,1.0,0.0,-83794.47004334292,0.0,83794.47004334292,0.0,-0.06220078366397559,0.06220078366397198,83794.47004334294,0.0,0.0,0.0,0.06220078366396091,-0.015415793008333333,-83794.47004334292,0.0
1,1,-0.08158124217516644,199482.38470697915,29.832470641178293,0.05798494703907282,10377.171775700921,139.78946389647734,-0.023596295136111108,0.023596295136111108,-0.08158124217516645,0.08158124217518394,109.95712636526885,2758.3544756896536,87999.99999999999,110000.00000000001,1.0,0.0,0.0,109.95712636526885,0.0,0.0,0.08158124217518394,109.95712636526885,29.832470641178293,139.78946389647734,109.95699325529907,1.0,0.0,-110000.0,0.0,110000.00000000001,0.0,-0.08158124217516645,0.08158124217518394,110000.00000000001,0.0,0.0,0.0,0.08158124217518394,-0.023596295136111108,-110000.0,0.0
2,2,-0.08151183609897168,199188.9420970228,29.8319815701617,0.056059776123962735,10578.986969747188,139.88260937065255,-0.025452059975,0.025452059975,-0.0815118360989717,0.08151183609896252,110.05076068406765,2759.528668196129,88000.0,110000.00000000001,1.0,0.0,0.0,110.05076068406765,0.0,0.0,0.08151183609896254,110.05076068406765,29.8319815701617,139.88260937065255,110.05062780049083,1.0,0.0,-110000.00000000001,0.0,110000.00000000001,0.0,-0.0815118360989717,0.08151183609896252,110000.00000000001,0.0,0.0,0.0,0.08151183609896254,-0.025452059975,-110000.00000000001,0.0
3,3,-0.081460463506625,198895.68442839896,29.831492807380663,0.04147642931217532,10728.302115271019,139.951524053202,-0.03998403419444444,0.03998403419444444,-0.08146046350662502,0.08146046350662027,110.120163961952,2760.398676442534,88000.0,110000.00000000001,1.0,0.0,0.0,110.120163961952,0.0,0.0,0.08146046350662028,110.120163961952,29.831492807380663,139.951524053202,110.12003124582134,1.0,0.0,-110000.00000000001,0.0,110000.00000000001,0.0,-0.08146046350662502,0.08146046350662027,110000.00000000001,0.0,0.0,0.0,0.08146046350662028,-0.03998403419444444,-110000.00000000001,0.0
4,4,-0.0814338591143191,198602.5225355874,29.831004204225977,0.02135855141987677,10805.192900382577,139.98701210786888,-0.06007530769444444,0.06007530769444444,-0.0814338591143191,0.08143385911432179,110.15614053309953,2760.849554649388,87999.99999999999,110000.00000000001,1.0,0.0,0.0,110.15614053309953,0.0,0.0,0.08143385911432179,110.15614053309953,29.831004204225977,139.98701210786888,110.15600790364292,1.0,0.0,-110000.0,0.0,110000.0,0.0,-0.0814338591143191,0.08143385911432179,110000.00000000001,0.0,0.0,0.0,0.08143385911432179,-0.06007530769444444,-110000.0,0.0
5,5,0.0,198602.52253558743,29.831004204225977,-0.06245466294444445,10580.356113782576,139.88324128328426,-0.06245466294444445,0.06245466294444445,0.0,0.0,110.0522370790583,2759.5471534848048,0.0,0.0,0.0,0.0,0.0,110.0522370790583,0.0,0.0,0.0,110.0522370790583,29.831004204225977,139.88324128328426,110.0522370790583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06245466294444445,0.0,0.0
6,6,0.0,198602.5225355877,29.831004204225977,-0.06305825783333334,10353.346385582578,139.77846756257657,-0.06305825783333334,0.06305825783333334,0.0,0.0,109.94746335835062,2758.2332462063964,0.0,0.0,0.0,-5.9631119486702744e-18,0.0,109.94746335835062,0.0,0.0,0.0,109.94746335835062,29.83100420422598,139.77846756257657,109.9474633583506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9631119486702744e-18,0.0,0.0,-0.06305825783333334,0.0,0.0
7,7,0.0,198602.5225355877,29.831004204225977,-0.05495390947222222,10155.512311482576,139.68715952837658,-0.05495390947222222,0.05495390947222222,0.0,0.0,109.85615532415062,2757.087693786113,0.0,0.0,0.0,0.0,0.0,109.85615532415062,0.0,0.0,0.0,109.85615532415062,29.83100420422598,139.68715952837658,109.85615532415062,1.0,-3219.3734650349215,3219.373465034922,3219.373465034922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05495390947222222,3219.373465034922,-3219.3734650349215
8,8,0.0,198602.5225355877,29.83100420422598,-0.053859248083333325,9961.619018382577,139.5976703161766,-0.05385924808333333,0.05385924808333333,0.0,0.0,109.76666611195061,2755.964498312298,0.0,0.0,0.0,-7.047314121155779e-19,0.0,109.76666611195061,0.0,0.0,0.0,109.76666611195061,29.831004204225977,139.5976703161766,109.76666611195063,0.0,-10155.152461477932,10155.152461477932,10155.152461477932,0.0,0.0,0.0,0.0,0.0,0.0,-7.047314121155779e-19,0.0,0.0,-0.05385924808333333,10155.152461477932,-10155.152461477932
9,9,0.0,198602.5225355877,29.83100420422598,-0.028020817361111113,9860.744075882578,139.55111265040736,-0.028020817361111113,0.028020817361111113,0.0,0.0,109.7201084461814,2755.3799634655093,0.0,0.0,0.0,-1.3806637040245096e-18,0.0,109.7201084461814,0.0,0.0,0.0,109.7201084461814,29.83100420422598,139.55111265040736,109.7201084461814,0.0,-16563.11448910103,16563.11448910103,16563.11448910103,0.0,0.0,0.0,0.0,0.0,0.0,-1.3806637040245096e-18,0.0,0.0,-0.028020817361111113,16563.11448910103,-16563.11448910103
