,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,0.0,200000.0,29.833333333333332,-0.01541579300843055,12944.50314516965,140.97438606700138,-0.015415793008333333,0.015415793008333333,0.0,0.0,111.14105273366806,2773.164518592275,3.733156714323027e-08,4.6664458929037834e-08,0.0,-8.555482711170014e-14,0.0,111.14105273366806,-9.332891785807568e-08,-4.666445892903784e-08,0.0,111.14105273366806,29.83333333333333,140.97438606700138,111.14105273366808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6664458929037834e-08,0.0,-8.555482711170014e-14,-4.666445892903784e-08,0.0,-0.015415793008333333,0.0,0.0
1,1,-0.0278,199899.92,29.833166533333333,0.0042037048638888875,12959.636482679654,140.9813706843137,-0.023596295136111108,0.023596295136111108,-0.0278,0.0278,111.14821960778035,2773.2537260618033,30312.120154994635,37890.1501937433,1.0,0.0,0.0,111.14821960778035,0.0,0.0,0.027799999999999995,111.14821960778035,29.833166533333333,140.9813706843137,111.14820415098035,1.0,0.0,-37890.15019374329,0.0,37890.15019374329,0.0,-0.0278,0.0278,37890.1501937433,0.0,0.0,0.0,0.027799999999999995,-0.023596295136111108,-37890.15019374329,0.0
2,2,0.0,199899.92,29.833166533333333,-0.025452059975,12868.009066769651,140.93908110773984,-0.025452059975,0.025452059975,0.0,0.0,111.1059145744065,2772.7259559513486,0.0,0.0,0.0,-5.149960319306146e-19,0.0,111.1059145744065,0.0,0.0,0.0,111.1059145744065,29.833166533333333,140.93908110773984,111.1059145744065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.149960319306146e-19,0.0,0.0,-0.025452059975,0.0,0.0
3,3,-0.07664818231400163,199623.9865436696,29.83270664423945,0.03666414811955718,13000.000000000056,141.00000000000003,-0.03998403419444444,0.03998403419444444,-0.07664818231400163,0.07664818231400164,111.16741085463747,2773.493108444253,83588.8495911101,104486.06198888764,1.0,0.0,0.0,111.16741085463747,0.0,0.0,0.07664818231400163,111.16741085463747,29.832706644239448,141.00000000000003,111.16729335576058,1.0,0.0,-104486.06198888764,0.0,104486.06198888764,0.0,-0.07664818231400163,0.07664818231400164,104486.06198888764,0.0,0.0,0.0,0.07664818231400163,-0.03998403419444444,-104486.06198888764,0.0
4,4,-0.06007530769441968,199407.7154359697,29.83234619239328,0.0,12999.999999999967,140.99999999999997,-0.06007530769444444,0.06007530769444444,-0.06007530769441968,0.06007530769441968,111.16772598839275,2773.4970779130385,65515.450215857825,81894.3127698223,1.0,0.0,0.0,111.16772598839275,0.0,0.0,0.06007530769441968,111.16772598839275,29.83234619239328,140.99999999999997,111.16765380760668,1.0,0.0,-81894.3127698223,0.0,81894.3127698223,0.0,-0.06007530769441968,0.06007530769441968,81894.3127698223,0.0,0.0,0.0,0.06007530769441968,-0.06007530769444444,-81894.3127698223,0.0
5,5,-0.06245466294444444,199182.8786493697,29.831971464415613,0.0,12999.999999999969,140.99999999999997,-0.06245466294444445,0.06245466294444445,-0.06245466294444445,0.06245466294444445,111.16810654723805,2773.5017803875994,68110.49101698722,85138.11377123403,1.0,0.0,0.0,111.16810654723805,0.0,0.0,0.06245466294444444,111.16810654723805,29.831971464415613,140.99999999999997,111.16802853558436,1.0,0.0,-85138.11377123403,0.0,85138.11377123403,0.0,-0.06245466294444445,0.06245466294444445,85138.11377123403,0.0,0.0,0.0,0.06245466294444444,-0.06245466294444445,-85138.11377123403,0.0
6,6,0.0,199182.8786493697,29.831971464415613,-0.0630582578333332,12772.99027179997,140.89522627929227,-0.06305825783333334,0.06305825783333334,0.0,0.0,111.0632548148767,2772.1935450991787,0.0,0.0,0.0,0.0,0.0,111.0632548148767,0.0,0.0,0.0,111.0632548148767,29.831971464415613,140.89522627929227,111.06325481487667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06305825783333334,0.0,0.0
7,7,0.0,199182.8786493697,29.831971464415613,-0.05495390947222222,12575.15619769997,140.8039182450923,-0.05495390947222222,0.05495390947222222,0.0,0.0,110.97194678067669,2771.0537157474423,4.5379014438277746e-11,5.672376804784718e-11,0.0,0.0,0.0,110.97194678067669,0.0,0.0,0.0,110.97194678067669,29.831971464415613,140.8039182450923,110.97194678067669,1.0,-3219.3734650349215,3219.3734650348647,3219.373465034865,0.0,0.0,0.0,0.0,5.672376804784718e-11,0.0,0.0,0.0,0.0,-0.05495390947222222,3219.3734650348647,-3219.3734650349215
8,8,0.0,199182.8786493697,29.831971464415613,-0.05385924808333333,12381.26290459997,140.7144290328923,-0.05385924808333333,0.05385924808333333,0.0,0.0,110.8824575684767,2769.936257733435,2.4212152015006156e-10,3.0265190018757687e-10,0.0,0.0,0.0,110.8824575684767,0.0,0.0,0.0,110.8824575684767,29.831971464415613,140.7144290328923,110.8824575684767,1.0,-10155.152461477932,10155.15246147763,10155.15246147763,0.0,0.0,0.0,0.0,3.0265190018757687e-10,0.0,0.0,0.0,0.0,-0.05385924808333333,10155.15246147763,-10155.152461477932
9,9,-0.027800000000000005,199082.7986493697,29.831804664415614,-0.00022081736111111591,12380.467962099974,140.71406213635385,-0.028020817361111113,0.028020817361111113,-0.0278,0.0278,110.88227292872786,2769.933889915734,30239.5917085768,37799.48963572101,1.0,0.0,0.0,110.88227292872786,0.0,0.0,0.0278,110.88227292872786,29.831804664415614,140.71406213635385,110.88225747193822,1.0,-16563.11448910103,-21236.37514661998,0.0,21236.37514661998,0.0,-0.0278,0.0278,37799.48963572101,0.0,0.0,0.0,0.0278,-0.028020817361111113,-21236.37514661998,-16563.11448910103
